"id","d11","d12","d13","d14","d15","d16"
"37063000101",766,618,663,773,767,780
"37063000102",838,973,1129,878,917,875
"37063000200",593,736,949,799,682,689
"37063000301",365,449,471,450,476,441
"37063000302",618,547,614,568,656,685
"37063000401",615,738,694,568,550,563
"37063000402",163,163,201,227,206,206
"37063000500",499,418,441,506,597,610
"37063000600",924,1292,1278,1193,1411,1315
"37063000700",426,477,467,606,652,934
"37063000900",505,352,360,471,589,486
"37063001001",959,1544,1764,1311,1410,1325
"37063001002",1718,1681,1758,1827,1905,1692
"37063001100",712,676,852,866,947,1078
"37063001301",260,200,235,246,278,339
"37063001303",222,264,187,205,231,282
"37063001304",764,960,1003,911,1007,990
"37063001400",1182,1225,1078,939,821,968
"37063001501",0,0,0,0,0,0
"37063001502",1343,1318,1419,1263,1178,1086
"37063001503",0,0,0,0,0,0
"37063001601",1569,1516,1627,1720,1282,1384
"37063001603",1498,1506,1565,1413,1448,1391
"37063001604",1729,1735,1788,1557,1686,1434
"37063001705",780,680,662,781,701,1065
"37063001706",779,771,789,848,828,869
"37063001707",1340,1267,1353,1313,1198,1182
"37063001708",1390,1375,1275,1444,1652,1611
"37063001709",2098,2102,2398,2207,2090,2049
"37063001710",1186,1198,1112,1187,1191,1305
"37063001711",1201,1100,973,1101,1236,1172
"37063001801",1952,2629,2241,2226,2359,1988
"37063001802",2335,2068,2083,1984,1825,2236
"37063001806",1596,1557,1514,1386,1524,1530
"37063001807",2594,2822,2670,2813,2655,2494
"37063001808",1050,1080,1257,1421,1805,1836
"37063001809",1589,1554,1640,1555,1410,1162
"37063001900",335,306,330,454,489,496
"37063002007",714,756,824,781,880,930
"37063002008",731,761,754,705,665,682
"37063002009",1331,1286,1043,979,823,958
"37063002013",1105,1124,1097,1050,989,973
"37063002015",1453,1282,1061,1151,1114,1204
"37063002016",1273,1063,1102,1368,1297,1369
"37063002017",1525,1393,1377,1324,1471,1444
"37063002018",1192,1129,1096,1094,1170,1219
"37063002019",664,796,721,635,657,635
"37063002020",1393,1506,1780,1914,2004,2018
"37063002021",821,991,715,995,908,964
"37063002022",754,687,761,751,871,924
"37063002023",443,406,363,461,530,560
"37063002024",989,936,861,1087,1108,1076
"37063002025",1515,1408,1232,1551,1714,1915
"37063002026",1193,1219,1249,1491,1576,1648
"37063002027",1498,1492,1486,1818,1923,2092
"37063002028",896,1024,1022,1280,1286,1421
"37063002100",1150,1109,1334,1355,1332,1216
"37063002200",294,175,246,225,190,274
"37063002300",273,247,298,354,290,316
"37063980100",24,24,25,26,0,0
