id,y_2010,y_2011,y_2013,y_2014,y_2016,y_2019,y_2020,y_2021
37063000101,3264,2705,2705,2738,3069,3150,3298.99999999953,3935.75343721313
37063000102,4649,4517,4517,4380,4386,4430,4430,3739
37063000200,3038,3307,3307,3096,3216,3343,2893,3405
37063000301,2599,2672,2672,2563,2454,2381,2351.9999999994698,2577.272672318447
37063000302,3534,3571,3571,3388,3556,3819,3672,3610
37063000401,2584,3031,3031,2882,2916,2900,2726.999999999784,2687.723498489736
37063000402,2027,1961,1961,2044,2242,2337,3094.999999999997,2807.003829191248
37063000500,4209,2834,2834,3076,4496,4532,4143.999999999502,4451.724429416008
37063000600,5329,5652,5652,5628,5559,5504,5555.0000000004975,5423.275570583992
37063000700,2911,2977,2977,3291,3606,3682,3701,3942
37063000900,1713,1729,1729,1904,1806,1710,1783,1751
37063001001,3571,4621,4621,4231,4136,3706,3879,3672
37063001002,6149,5437,5437,5643,5779,5931,6140,5538
37063001100,3295,2825,2825,2963,3173,3183,4151,3102
37063001301,1146,1008,1008,1087,1486,1382,1432,1957
37063001303,3728,3284,3284,3303,3928,3985,4052,4537
37063001304,2613,2772,2772,2694,3226,3411,2781,2577
37063001400,2664,2921,2921,2573,2505,2397,2746,2573
37063001501,3097,2929,2929,2849,3162,3387,3430,3559
37063001502,6216,6423,6423,6655,6177,5928,6984,6115
37063001503,1960,1836,1836,1792,1671,1727,1861,1909
37063001601,5953,6326,6326,6580,6107,6435,6117,5184
37063001603,6432,6267,6267,6151,6586,6829,6822.000000000432,7235.000000000342
37063001604,6773,6794,6794,6474,6532,6381,6655,6591
37063001705,4651,4317,4317,4764,5115,5050,5460.999999999191,5348.940083881816
37063001706,4303,4453,4453,4645,5188,5321,5252,5219
37063001707,6611,7075,7075,7072,6723,7085,7534.999999999905,8202.654700854613
37063001708,4106,4612,4612,5005,5273,5245,4895,5049
37063001709,6265,6462,6462,6404,7222,6964,8132.000000000469,7242.24656278687
37063001710,4918,4146,4146,4392,4519,4894,4646,4847
37063001711,4646,4327,4327,4536,4473,4465,5081.000000000809,4722.0599161181835
37063001801,7330,7372,7372,7716,8265,8618,8293,8967
37063001802,6937,6979,6979,7165,7951,8121,7548,7131
37063001806,5773,5460,5460,5375,7543,7416,6760,7635
37063001807,9638,9411,9411,9516,9435,10155,9928,10246
37063001808,5164,5300,5300,6124,9744,10407,11477.000000000671,11015.815824468667
37063001809,5286,6334,6334,5979,6171,6217,7336.999999999328,6956.184175531333
37063001900,2899,2376,2376,2662,4128,4418,6200.999769513504,5610.999789555808
37063002007,4985,4856,4856,4869,4929,4855,5080,5184
37063002008,2958,3099,3099,3093,3065,3069,3178,3784
37063002009,4776,4632,4632,4415,4688,5052,4800,5039
37063002013,4618,4636,4636,4717,4577,4679,4805,4771
37063002015,5352,4997,4997,5376,5938,5801,5264.0000000017135,5179.036599766159
37063002016,5616,5815,5815,5967,5462,5304,5501.33084314004,5127.657346718376
37063002017,6815,6701,6701,6879,7805,7660,8192.000000000398,8063.963400236433
37063002018,7737,8126,8126,8344,9409,9587,10364.66915685996,10500.342653281625
37063002019,4542,4895,4895,4625,4548,5064,5117.99999999916,4655.30261212348
37063002020,6076,6150,6150,6635,7157,7445,8334.998620937791,9267.411489405087
37063002021,4560,4490,4490,4766,4376,4285,4604,4836
37063002022,4476,4627,4627,4562,4895,4819,4524,4250
37063002023,2894,2813,2813,2837,3273,3287,2837,2931
37063002024,6026,5699,5699,6037,6421,6361,7058,5827
37063002025,6155,5901,5901,6250,7162,6746,6410,6652
37063002026,5974,5612,5612,5977,6994,7296,6831,9183
37063002027,7519,7672,7672,8179,9995,10567,10989,9084
37063002028,6183,6010,6010,6995,9192,10201,12483.585618588342,10801.771403660172
37063002100,6492,9308,9308,9162,9396,9200,9055.998548245529,9091.998925457014
37063002200,2024,1795,1795,1867,2054,2091,3177,2410
37063002300,1345,1547,1547,1455,1597,1633,2434,2005
37063980100,4,90,90,75,0,0,10.414381412966,0.919722975373
