id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
37063000101,3152,2705,2738,2895,3026,3074,3069,3150,3299,3936
37063000102,4535,4517,4380,4445,4506,4520,4386,4430,4430,3739
37063000200,2946,3307,3096,3190,3239,3319,3216,3343,2893,3405
37063000301,2504,2672,2563,2552,2578,2618,2454,2381,2352,2577
37063000302,3426,3571,3388,3478,3593,3410,3556,3819,3672,3610
37063000401,2523,3031,2882,2882,3035,2967,2916,2900,2727,2688
37063000402,1963,1961,2044,2021,2054,2093,2242,2337,3095,2807
37063000500,4093,2834,3076,3477,3770,4170,4496,4532,4144,4452
37063000600,5177,5652,5628,6148,6017,5734,5559,5504,5555,5423
37063000700,2830,2977,3291,3480,3731,3745,3606,3682,3701,3942
37063000900,1668,1729,1904,2176,1999,2109,1806,1710,1783,1751
37063001001,3466,4621,4231,4330,4377,3801,4136,3706,3879,3672
37063001002,5974,5437,5643,5925,5776,6123,5779,5931,6140,5538
37063001100,3225,2825,2963,3335,3617,3425,3173,3183,4151,3102
37063001301,1128,1008,1087,1292,1408,1384,1486,1382,1432,1957
37063001303,3676,3284,3303,3465,3591,3646,3928,3985,4052,4537
37063001304,2557,2772,2694,2798,3006,3305,3226,3411,2781,2577
37063001400,2609,2921,2573,2460,2542,2375,2505,2397,2746,2573
37063001501,3070,2929,2849,2836,2911,2948,3162,3387,3430,3559
37063001502,5986,6423,6655,6441,6292,6041,6177,5928,6984,6115
37063001503,1941,1836,1792,1621,1642,1638,1671,1727,1861,1909
37063001601,5806,6326,6580,5838,6114,6061,6107,6435,6117,5184
37063001603,6271,6267,6151,6255,6277,6488,6586,6829,6822,7235
37063001604,6645,6794,6474,6777,6599,6664,6532,6381,6655,6591
37063001705,4519,4317,4764,4735,5202,5198,5115,5050,5461,5349
37063001706,4179,4453,4645,4808,5033,4954,5188,5321,5252,5219
37063001707,6485,7075,7072,6914,7042,6832,6723,7085,7535,8203
37063001708,3989,4612,5005,5414,5260,5674,5273,5245,4895,5049
37063001709,6109,6462,6404,6489,6477,6926,7222,6964,8132,7242
37063001710,4705,4146,4392,4244,4348,4402,4519,4894,4646,4847
37063001711,4503,4327,4536,4700,4620,4740,4473,4465,5081,4722
37063001801,7123,7372,7716,8008,7852,7903,8265,8618,8293,8967
37063001802,6736,6979,7165,6857,7452,8193,7951,8121,7548,7131
37063001806,5672,5460,5375,5674,6004,6806,7543,7416,6760,7635
37063001807,9416,9411,9516,9292,9153,9632,9435,10155,9928,10246
37063001808,5046,5300,6124,7118,7954,8732,9744,10407,11477,11016
37063001809,5148,6334,5979,6096,5448,5936,6171,6217,7337,6956
37063001900,2847,2376,2662,3011,3102,3453,4128,4418,6201,5611
37063002007,4854,4856,4869,4864,5081,5172,4929,4855,5080,5184
37063002008,2907,3099,3093,3069,3101,3103,3065,3069,3178,3784
37063002009,4685,4632,4415,4403,4559,4556,4688,5052,4800,5039
37063002013,4481,4636,4717,4683,4550,4447,4577,4679,4805,4771
37063002015,5127,4997,5376,5446,5505,5782,5938,5801,5264,5179
37063002016,5384,5815,5967,5833,5731,5941,5462,5304,5501,5128
37063002017,6654,6701,6879,7450,7615,7506,7805,7660,8192,8064
37063002018,7483,8126,8344,8202,8674,9481,9409,9587,10365,10500
37063002019,4408,4895,4625,4750,4844,4839,4548,5064,5118,4655
37063002020,5894,6150,6635,6902,6971,6893,7157,7445,8335,9267
37063002021,4432,4490,4766,4476,4518,4410,4376,4285,4604,4836
37063002022,4307,4627,4562,4616,4688,4638,4895,4819,4524,4250
37063002023,2808,2813,2837,3144,3308,3197,3273,3287,2837,2931
37063002024,5848,5699,6037,6139,6188,6475,6421,6361,7058,5827
37063002025,5938,5901,6250,6583,6898,7030,7162,6746,6410,6652
37063002026,5813,5612,5977,6385,6434,6391,6994,7296,6831,9183
37063002027,7272,7672,8179,8942,9099,9298,9995,10567,10989,9084
37063002028,6001,6010,6995,7083,7604,8019,9192,10201,12484,10802
37063002100,6362,9308,9162,9247,9284,9149,9396,9200,9056,9092
37063002200,1946,1795,1867,1758,1835,2153,2054,2091,3177,2410
37063002300,1331,1547,1455,1365,1484,1346,1597,1633,2434,2005
37063980100,4,90,75,0,0,0,0,0,10,1
