id,y_2015,y_2017
37063000101,746,756
37063000102,976,970
37063000200,703,783
37063000301,612,664
37063000302,933,914
37063000401,759,772
37063000402,653,783
37063000500,941,891
37063000600,1518,1486
37063000700,811,962
37063000900,494,519
37063001001,944,988
37063001002,1349,1461
37063001100,1227,1382
37063001301,407,392
37063001303,537,521
37063001304,586,614
37063001400,555,567
37063001501,63,63
37063001502,1633,1858
37063001503,,
37063001601,1405,1537
37063001603,1696,1827
37063001604,1658,1814
37063001705,1260,1317
37063001706,1263,1303
37063001707,1820,1975
37063001708,924,1047
37063001709,1298,1396
37063001710,894,985
37063001711,851,897
37063001801,1720,1905
37063001802,1511,1585
37063001806,1261,1379
37063001807,1870,2018
37063001808,1584,1996
37063001809,1151,1233
37063001900,821,1101
37063002007,1152,1253
37063002008,824,859
37063002009,1261,1263
37063002013,1031,1070
37063002015,1168,1210
37063002016,1031,984
37063002017,1893,1968
37063002018,1598,1652
37063002019,594,639
37063002020,1422,1614
37063002021,804,810
37063002022,937,956
37063002023,642,634
37063002024,1428,1524
37063002025,1276,1344
37063002026,1143,1178
37063002027,1445,1642
37063002028,1377,1592
37063002100,1590,1814
37063002200,538,571
37063002300,321,346
37063980100,14,12
