year,fips,value
2017,37063001502,1094
2018,37063001502,864
2019,37063001502,1464
2015,37063001603,131
2017,37063001603,145
2018,37063001603,145
2019,37063001603,160
2019,37063001604,96
2015,37063001706,266
2017,37063001706,243
2018,37063001706,222
2019,37063001706,298
2015,37063001707,124
2017,37063001707,144
2018,37063001707,131
2019,37063001707,192
2015,37063001710,71
2017,37063001710,81
2018,37063001710,72
2019,37063001710,87
2015,37063001808,159
2017,37063001808,218
2018,37063001808,199
2019,37063001808,246
2019,37063001809,124
2019,37063001900,91
2019,37063002007,67
2019,37063002013,100
2015,37063002015,174
2017,37063002015,232
2018,37063002015,195
2019,37063002015,254
2015,37063002017,323
2017,37063002017,343
2018,37063002017,315
2019,37063002017,351
2015,37063002018,235
2017,37063002018,276
2018,37063002018,254
2019,37063002018,287
2015,37063002020,278
2017,37063002020,354
2018,37063002020,313
2019,37063002020,401
2015,37063002021,166
2017,37063002021,172
2018,37063002021,164
2019,37063002021,155
2015,37063002022,149
2017,37063002022,133
2018,37063002022,115
2019,37063002022,120
2015,37063002024,240
2017,37063002024,270
2018,37063002024,233
2019,37063002024,260
2015,37063002025,194
2017,37063002025,198
2018,37063002025,190
2019,37063002025,218
2019,37063002026,89
2015,37063002027,277
2017,37063002027,278
2018,37063002027,236
2019,37063002027,299
2015,37063002028,296
2017,37063002028,413
2018,37063002028,328
2019,37063002028,409
