year,fips,value
2015,37063000101,6
2017,37063000101,7
2018,37063000101,6
2019,37063000101,6
2015,37063000102,0
2017,37063000102,8
2018,37063000102,6
2019,37063000102,7
2015,37063000200,0
2017,37063000200,0
2018,37063000200,0
2019,37063000200,0
2015,37063000301,0
2017,37063000301,3
2018,37063000301,3
2019,37063000301,0
2015,37063000302,3
2017,37063000302,4
2018,37063000302,4
2019,37063000302,4
2015,37063000401,3
2017,37063000401,3
2018,37063000401,3
2019,37063000401,5
2015,37063000402,3
2017,37063000402,3
2018,37063000402,0
2019,37063000402,0
2015,37063000500,0
2017,37063000500,0
2018,37063000500,0
2019,37063000500,0
2015,37063000600,6
2017,37063000600,7
2018,37063000600,4
2019,37063000600,7
2015,37063000700,5
2017,37063000700,0
2018,37063000700,0
2019,37063000700,3
2015,37063000900,0
2017,37063000900,0
2018,37063000900,0
2019,37063000900,0
2015,37063001001,3
2017,37063001001,0
2018,37063001001,0
2019,37063001001,3
2015,37063001002,3
2017,37063001002,6
2018,37063001002,5
2019,37063001002,6
2015,37063001100,0
2017,37063001100,0
2018,37063001100,0
2019,37063001100,3
2015,37063001301,0
2017,37063001301,0
2018,37063001301,0
2019,37063001301,0
2015,37063001303,0
2017,37063001303,0
2018,37063001303,0
2019,37063001303,0
2015,37063001304,3
2017,37063001304,3
2018,37063001304,0
2019,37063001304,0
2015,37063001400,0
2017,37063001400,0
2018,37063001400,0
2019,37063001400,0
2015,37063001501,0
2017,37063001501,0
2018,37063001501,0
2019,37063001501,0
2015,37063001502,9
2017,37063001502,20
2018,37063001502,17
2019,37063001502,17
2015,37063001503,0
2017,37063001503,0
2018,37063001503,0
2019,37063001503,0
2015,37063001601,3
2017,37063001601,5
2018,37063001601,5
2019,37063001601,6
2015,37063001603,15
2017,37063001603,19
2018,37063001603,19
2019,37063001603,25
2015,37063001604,9
2017,37063001604,8
2018,37063001604,8
2019,37063001604,12
2015,37063001705,6
2017,37063001705,5
2018,37063001705,6
2019,37063001705,8
2015,37063001706,13
2017,37063001706,13
2018,37063001706,12
2019,37063001706,11
2015,37063001707,15
2017,37063001707,17
2018,37063001707,14
2019,37063001707,28
2015,37063001708,7
2017,37063001708,7
2018,37063001708,7
2019,37063001708,8
2015,37063001709,0
2017,37063001709,5
2018,37063001709,6
2019,37063001709,6
2015,37063001710,16
2017,37063001710,14
2018,37063001710,14
2019,37063001710,20
2015,37063001711,4
2017,37063001711,3
2018,37063001711,0
2019,37063001711,3
2015,37063001801,3
2017,37063001801,3
2018,37063001801,3
2019,37063001801,4
2015,37063001802,6
2017,37063001802,5
2018,37063001802,4
2019,37063001802,6
2015,37063001806,0
2017,37063001806,0
2018,37063001806,0
2019,37063001806,0
2015,37063001807,9
2017,37063001807,9
2018,37063001807,9
2019,37063001807,9
2015,37063001808,12
2017,37063001808,21
2018,37063001808,18
2019,37063001808,31
2015,37063001809,5
2017,37063001809,7
2018,37063001809,4
2019,37063001809,12
2015,37063001900,5
2017,37063001900,8
2018,37063001900,4
2019,37063001900,11
2015,37063002007,10
2017,37063002007,8
2018,37063002007,9
2019,37063002007,11
2015,37063002008,6
2017,37063002008,4
2018,37063002008,4
2019,37063002008,6
2015,37063002009,0
2017,37063002009,0
2018,37063002009,0
2019,37063002009,0
2015,37063002013,8
2017,37063002013,9
2018,37063002013,6
2019,37063002013,11
2015,37063002015,15
2017,37063002015,14
2018,37063002015,12
2019,37063002015,12
2015,37063002016,9
2017,37063002016,7
2018,37063002016,6
2019,37063002016,5
2015,37063002017,27
2017,37063002017,26
2018,37063002017,25
2019,37063002017,31
2015,37063002018,21
2017,37063002018,25
2018,37063002018,24
2019,37063002018,31
2015,37063002019,4
2017,37063002019,3
2018,37063002019,3
2019,37063002019,6
2015,37063002020,35
2017,37063002020,36
2018,37063002020,32
2019,37063002020,40
2015,37063002021,17
2017,37063002021,13
2018,37063002021,13
2019,37063002021,17
2015,37063002022,19
2017,37063002022,16
2018,37063002022,15
2019,37063002022,21
2015,37063002023,8
2017,37063002023,6
2018,37063002023,5
2019,37063002023,5
2015,37063002024,31
2017,37063002024,36
2018,37063002024,29
2019,37063002024,38
2015,37063002025,30
2017,37063002025,32
2018,37063002025,33
2019,37063002025,35
2015,37063002026,9
2017,37063002026,10
2018,37063002026,10
2019,37063002026,12
2015,37063002027,19
2017,37063002027,25
2018,37063002027,21
2019,37063002027,28
2015,37063002028,27
2017,37063002028,32
2018,37063002028,26
2019,37063002028,41
2015,37063002100,4
2017,37063002100,5
2018,37063002100,4
2019,37063002100,7
2015,37063002200,0
2017,37063002200,0
2018,37063002200,0
2019,37063002200,0
2015,37063002300,0
2017,37063002300,0
2018,37063002300,0
2019,37063002300,0
2015,37063980100,0
2017,37063980100,0
2018,37063980100,0
2019,37063980100,0
