year,fips,value
2015,37063000101,210
2017,37063000101,224
2018,37063000101,192
2019,37063000101,222
2015,37063000102,250
2017,37063000102,216
2018,37063000102,185
2019,37063000102,210
2015,37063000200,136
2017,37063000200,128
2018,37063000200,103
2019,37063000200,110
2015,37063000301,128
2017,37063000301,110
2018,37063000301,84
2019,37063000301,100
2015,37063000302,101
2017,37063000302,84
2018,37063000302,71
2019,37063000302,80
2015,37063000401,73
2017,37063000401,64
2018,37063000401,55
2019,37063000401,68
2015,37063000402,37
2017,37063000402,37
2018,37063000402,25
2019,37063000402,36
2015,37063000500,180
2017,37063000500,166
2018,37063000500,147
2019,37063000500,178
2015,37063000600,214
2017,37063000600,188
2018,37063000600,145
2019,37063000600,190
2015,37063000700,132
2017,37063000700,112
2018,37063000700,103
2019,37063000700,119
2015,37063000900,137
2017,37063000900,139
2018,37063000900,113
2019,37063000900,119
2015,37063001001,268
2017,37063001001,283
2018,37063001001,242
2019,37063001001,266
2015,37063001002,403
2017,37063001002,373
2018,37063001002,310
2019,37063001002,396
2015,37063001100,283
2017,37063001100,278
2018,37063001100,210
2019,37063001100,244
2015,37063001301,95
2017,37063001301,92
2018,37063001301,74
2019,37063001301,107
2015,37063001303,161
2017,37063001303,162
2018,37063001303,141
2019,37063001303,149
2015,37063001304,211
2017,37063001304,209
2018,37063001304,183
2019,37063001304,216
2015,37063001400,201
2017,37063001400,194
2018,37063001400,151
2019,37063001400,178
2015,37063001502,225
2017,37063001502,220
2018,37063001502,164
2019,37063001502,194
2015,37063001601,285
2017,37063001601,308
2018,37063001601,286
2019,37063001601,356
2015,37063001603,259
2017,37063001603,283
2018,37063001603,255
2019,37063001603,320
2015,37063001604,254
2017,37063001604,257
2018,37063001604,245
2019,37063001604,297
2015,37063001705,237
2017,37063001705,240
2018,37063001705,230
2019,37063001705,269
2015,37063001706,127
2017,37063001706,132
2018,37063001706,118
2019,37063001706,161
2015,37063001707,219
2017,37063001707,238
2018,37063001707,220
2019,37063001707,249
2015,37063001708,311
2017,37063001708,328
2018,37063001708,319
2019,37063001708,376
2015,37063001709,481
2017,37063001709,497
2018,37063001709,458
2019,37063001709,513
2015,37063001710,227
2017,37063001710,214
2018,37063001710,203
2019,37063001710,238
2015,37063001711,246
2017,37063001711,224
2018,37063001711,183
2019,37063001711,261
2015,37063001801,465
2017,37063001801,495
2018,37063001801,461
2019,37063001801,545
2015,37063001802,442
2017,37063001802,435
2018,37063001802,394
2019,37063001802,481
2015,37063001806,271
2017,37063001806,269
2018,37063001806,252
2019,37063001806,313
2015,37063001807,490
2017,37063001807,515
2018,37063001807,470
2019,37063001807,576
2015,37063001808,251
2017,37063001808,300
2018,37063001808,271
2019,37063001808,353
2015,37063001809,207
2017,37063001809,215
2018,37063001809,187
2019,37063001809,246
2015,37063001900,129
2017,37063001900,158
2018,37063001900,132
2019,37063001900,198
2015,37063002007,229
2017,37063002007,221
2018,37063002007,193
2019,37063002007,227
2015,37063002008,68
2017,37063002008,59
2018,37063002008,57
2019,37063002008,70
2015,37063002009,436
2017,37063002009,431
2018,37063002009,394
2019,37063002009,424
2015,37063002013,167
2017,37063002013,170
2018,37063002013,144
2019,37063002013,168
2015,37063002015,170
2017,37063002015,179
2018,37063002015,151
2019,37063002015,201
2015,37063002016,151
2017,37063002016,156
2018,37063002016,127
2019,37063002016,156
2015,37063002017,181
2017,37063002017,192
2018,37063002017,170
2019,37063002017,195
2015,37063002018,162
2017,37063002018,159
2018,37063002018,146
2019,37063002018,190
2015,37063002019,43
2017,37063002019,49
2018,37063002019,43
2019,37063002019,59
2015,37063002020,124
2017,37063002020,136
2018,37063002020,122
2019,37063002020,159
2015,37063002021,143
2017,37063002021,135
2018,37063002021,109
2019,37063002021,145
2015,37063002022,149
2017,37063002022,144
2018,37063002022,131
2019,37063002022,140
2015,37063002023,82
2017,37063002023,66
2018,37063002023,58
2019,37063002023,85
2015,37063002024,194
2017,37063002024,186
2018,37063002024,150
2019,37063002024,180
2015,37063002025,267
2017,37063002025,270
2018,37063002025,244
2019,37063002025,282
2015,37063002026,319
2017,37063002026,350
2018,37063002026,346
2019,37063002026,360
2015,37063002027,302
2017,37063002027,308
2018,37063002027,292
2019,37063002027,365
2015,37063002028,174
2017,37063002028,199
2018,37063002028,164
2019,37063002028,219
2015,37063002100,227
2017,37063002100,247
2018,37063002100,217
2019,37063002100,273
2015,37063002200,60
2017,37063002200,53
2018,37063002200,69
2019,37063002200,54
2015,37063002300,84
2017,37063002300,92
2018,37063002300,69
2019,37063002300,105
