year,fips,value
2015,37063000101,28
2017,37063000101,32
2018,37063000101,32
2019,37063000101,35
2015,37063000102,64
2017,37063000102,68
2018,37063000102,61
2019,37063000102,66
2015,37063000200,32
2017,37063000200,36
2018,37063000200,28
2019,37063000200,29
2015,37063000301,36
2017,37063000301,36
2018,37063000301,20
2019,37063000301,24
2015,37063000302,31
2017,37063000302,24
2018,37063000302,22
2019,37063000302,33
2017,37063000401,11
2018,37063000401,14
2019,37063000401,18
2017,37063000402,12
2019,37063000402,14
2015,37063000500,28
2017,37063000500,29
2018,37063000500,23
2019,37063000500,25
2015,37063000600,77
2017,37063000600,66
2018,37063000600,49
2019,37063000600,59
2015,37063000900,38
2017,37063000900,44
2018,37063000900,41
2019,37063000900,50
2015,37063001001,82
2017,37063001001,84
2018,37063001001,65
2019,37063001001,70
2015,37063001002,161
2017,37063001002,173
2018,37063001002,168
2019,37063001002,209
2015,37063001100,55
2017,37063001100,57
2018,37063001100,56
2019,37063001100,60
2019,37063001301,15
2019,37063001303,11
2015,37063001304,25
2017,37063001304,22
2018,37063001304,13
2019,37063001304,14
2015,37063001400,13
2017,37063001400,17
2018,37063001400,15
2019,37063001400,22
2015,37063001502,79
2017,37063001502,82
2018,37063001502,46
2019,37063001502,69
2015,37063001601,12
2017,37063001601,22
2018,37063001601,26
2019,37063001601,34
2015,37063001603,18
2017,37063001603,32
2018,37063001603,30
2019,37063001603,39
2018,37063001604,15
2019,37063001604,14
2015,37063001705,34
2017,37063001705,35
2018,37063001705,36
2019,37063001705,55
2015,37063001706,17
2017,37063001706,18
2018,37063001706,15
2019,37063001706,21
2019,37063001707,13
2015,37063001708,30
2017,37063001708,34
2018,37063001708,36
2019,37063001708,52
2015,37063001709,37
2017,37063001709,55
2018,37063001709,53
2019,37063001709,71
2015,37063001710,41
2017,37063001710,40
2018,37063001710,37
2019,37063001710,54
2015,37063001711,46
2017,37063001711,51
2018,37063001711,49
2019,37063001711,57
2015,37063001801,78
2017,37063001801,93
2018,37063001801,91
2019,37063001801,132
2015,37063001802,108
2017,37063001802,119
2018,37063001802,113
2019,37063001802,165
2015,37063001806,24
2017,37063001806,32
2018,37063001806,32
2019,37063001806,54
2015,37063001807,77
2017,37063001807,113
2018,37063001807,113
2019,37063001807,151
2015,37063001808,34
2017,37063001808,36
2018,37063001808,34
2019,37063001808,50
2015,37063001809,28
2017,37063001809,28
2018,37063001809,26
2019,37063001809,35
2019,37063001900,15
2019,37063002007,15
2015,37063002009,33
2017,37063002009,47
2018,37063002009,50
2019,37063002009,63
2015,37063002013,16
2017,37063002013,16
2018,37063002013,15
2019,37063002013,19
2015,37063002015,45
2017,37063002015,64
2018,37063002015,55
2019,37063002015,59
2015,37063002016,65
2017,37063002016,68
2018,37063002016,52
2019,37063002016,62
2017,37063002017,13
2019,37063002017,12
2017,37063002018,11
2018,37063002018,11
2019,37063002018,17
2015,37063002021,11
2019,37063002021,15
2019,37063002024,13
2015,37063002025,29
2017,37063002025,31
2018,37063002025,25
2019,37063002025,34
2015,37063002026,31
2017,37063002026,45
2018,37063002026,44
2019,37063002026,53
2015,37063002027,28
2017,37063002027,31
2018,37063002027,30
2019,37063002027,41
2015,37063002028,19
2017,37063002028,17
2018,37063002028,14
2019,37063002028,25
2017,37063002100,11
2017,37063002200,13
2019,37063002200,12
2019,37063002300,12
