year,fips,value
2015,37063000101,73
2017,37063000101,68
2018,37063000101,62
2019,37063000101,71
2015,37063000102,121
2017,37063000102,111
2018,37063000102,100
2019,37063000102,120
2015,37063000200,54
2017,37063000200,60
2018,37063000200,50
2019,37063000200,50
2015,37063000301,40
2017,37063000301,48
2018,37063000301,39
2019,37063000301,44
2015,37063000302,87
2017,37063000302,72
2018,37063000302,69
2019,37063000302,74
2015,37063000401,83
2017,37063000401,75
2018,37063000401,65
2019,37063000401,75
2015,37063000402,42
2017,37063000402,47
2018,37063000402,42
2019,37063000402,41
2015,37063000500,39
2017,37063000500,35
2018,37063000500,31
2019,37063000500,39
2015,37063000600,98
2017,37063000600,86
2018,37063000600,74
2019,37063000600,84
2015,37063000700,74
2017,37063000700,60
2018,37063000700,50
2019,37063000700,69
2015,37063000900,8
2017,37063000900,5
2018,37063000900,4
2019,37063000900,8
2015,37063001001,54
2017,37063001001,61
2018,37063001001,44
2019,37063001001,58
2015,37063001002,61
2017,37063001002,65
2018,37063001002,54
2019,37063001002,56
2015,37063001100,52
2017,37063001100,56
2018,37063001100,24
2019,37063001100,47
2015,37063001301,8
2017,37063001301,3
2018,37063001301,4
2019,37063001301,8
2015,37063001303,0
2017,37063001303,8
2018,37063001303,8
2019,37063001303,8
2015,37063001304,10
2017,37063001304,10
2018,37063001304,7
2019,37063001304,8
2015,37063001400,5
2017,37063001400,5
2018,37063001400,5
2019,37063001400,9
2015,37063001501,6
2017,37063001501,0
2018,37063001501,0
2019,37063001501,3
2015,37063001502,60
2017,37063001502,63
2018,37063001502,46
2019,37063001502,66
2015,37063001503,0
2017,37063001503,0
2018,37063001503,0
2019,37063001503,0
2015,37063001601,298
2017,37063001601,316
2018,37063001601,291
2019,37063001601,340
2015,37063001603,357
2017,37063001603,360
2018,37063001603,319
2019,37063001603,371
2015,37063001604,376
2017,37063001604,387
2018,37063001604,361
2019,37063001604,437
2015,37063001705,249
2017,37063001705,239
2018,37063001705,219
2019,37063001705,250
2015,37063001706,135
2017,37063001706,128
2018,37063001706,110
2019,37063001706,142
2015,37063001707,370
2017,37063001707,396
2018,37063001707,372
2019,37063001707,438
2015,37063001708,59
2017,37063001708,69
2018,37063001708,66
2019,37063001708,73
2015,37063001709,60
2017,37063001709,80
2018,37063001709,79
2019,37063001709,81
2015,37063001710,110
2017,37063001710,110
2018,37063001710,97
2019,37063001710,105
2015,37063001711,99
2017,37063001711,96
2018,37063001711,87
2019,37063001711,119
2015,37063001801,278
2017,37063001801,264
2018,37063001801,236
2019,37063001801,286
2015,37063001802,101
2017,37063001802,110
2018,37063001802,99
2019,37063001802,111
2015,37063001806,251
2017,37063001806,231
2018,37063001806,210
2019,37063001806,249
2015,37063001807,200
2017,37063001807,197
2018,37063001807,163
2019,37063001807,206
2015,37063001808,229
2017,37063001808,254
2018,37063001808,225
2019,37063001808,264
2015,37063001809,210
2017,37063001809,205
2018,37063001809,175
2019,37063001809,202
2015,37063001900,226
2017,37063001900,284
2018,37063001900,225
2019,37063001900,326
2015,37063002007,164
2017,37063002007,163
2018,37063002007,144
2019,37063002007,175
2015,37063002008,115
2017,37063002008,102
2018,37063002008,91
2019,37063002008,113
2015,37063002009,12
2017,37063002009,15
2018,37063002009,13
2019,37063002009,15
2015,37063002013,184
2017,37063002013,182
2018,37063002013,154
2019,37063002013,174
2015,37063002015,92
2017,37063002015,89
2018,37063002015,82
2019,37063002015,94
2015,37063002016,51
2017,37063002016,58
2018,37063002016,52
2019,37063002016,52
2015,37063002017,279
2017,37063002017,271
2018,37063002017,244
2019,37063002017,289
2015,37063002018,191
2017,37063002018,194
2018,37063002018,175
2019,37063002018,197
2015,37063002019,69
2017,37063002019,70
2018,37063002019,59
2019,37063002019,77
2015,37063002020,131
2017,37063002020,139
2018,37063002020,119
2019,37063002020,172
2015,37063002021,96
2017,37063002021,86
2018,37063002021,80
2019,37063002021,105
2015,37063002022,91
2017,37063002022,89
2018,37063002022,79
2019,37063002022,84
2015,37063002023,84
2017,37063002023,68
2018,37063002023,59
2019,37063002023,79
2015,37063002024,170
2017,37063002024,179
2018,37063002024,153
2019,37063002024,170
2015,37063002025,85
2017,37063002025,92
2018,37063002025,83
2019,37063002025,93
2015,37063002026,33
2017,37063002026,38
2018,37063002026,41
2019,37063002026,55
2015,37063002027,173
2017,37063002027,169
2018,37063002027,145
2019,37063002027,184
2015,37063002028,130
2017,37063002028,169
2018,37063002028,120
2019,37063002028,151
2015,37063002100,369
2017,37063002100,381
2018,37063002100,348
2019,37063002100,438
2015,37063002200,21
2017,37063002200,28
2018,37063002200,43
2019,37063002200,41
2015,37063002300,8
2017,37063002300,10
2018,37063002300,9
2019,37063002300,16
2015,37063980100,3
2017,37063980100,0
2018,37063980100,0
2019,37063980100,0
