year,fips,value
2015,37063000101,0
2017,37063000101,0
2018,37063000101,0
2019,37063000101,3
2015,37063000102,0
2017,37063000102,0
2018,37063000102,0
2019,37063000102,0
2015,37063000200,0
2017,37063000200,0
2018,37063000200,0
2019,37063000200,0
2015,37063000301,0
2017,37063000301,0
2018,37063000301,0
2019,37063000301,0
2015,37063000302,0
2017,37063000302,0
2018,37063000302,0
2019,37063000302,0
2015,37063000401,0
2017,37063000401,0
2018,37063000401,0
2019,37063000401,0
2015,37063000402,0
2017,37063000402,0
2018,37063000402,0
2019,37063000402,0
2015,37063000500,0
2017,37063000500,0
2018,37063000500,3
2019,37063000500,0
2015,37063000600,4
2017,37063000600,6
2018,37063000600,4
2019,37063000600,4
2015,37063000700,0
2017,37063000700,0
2018,37063000700,0
2019,37063000700,0
2015,37063000900,0
2017,37063000900,0
2018,37063000900,0
2019,37063000900,0
2015,37063001001,0
2017,37063001001,0
2018,37063001001,3
2019,37063001001,5
2015,37063001002,0
2017,37063001002,0
2018,37063001002,3
2019,37063001002,5
2015,37063001100,0
2017,37063001100,0
2018,37063001100,0
2019,37063001100,5
2015,37063001301,0
2017,37063001301,0
2018,37063001301,0
2019,37063001301,0
2015,37063001303,0
2017,37063001303,0
2018,37063001303,0
2019,37063001303,0
2015,37063001304,0
2017,37063001304,0
2018,37063001304,0
2019,37063001304,0
2015,37063001400,0
2017,37063001400,0
2018,37063001400,0
2019,37063001400,0
2015,37063001501,0
2017,37063001501,0
2018,37063001501,0
2019,37063001501,0
2015,37063001502,4
2017,37063001502,3
2018,37063001502,0
2019,37063001502,0
2015,37063001503,0
2017,37063001503,0
2018,37063001503,0
2019,37063001503,0
2015,37063001601,0
2017,37063001601,0
2018,37063001601,0
2019,37063001601,3
2015,37063001603,0
2017,37063001603,0
2018,37063001603,0
2019,37063001603,0
2015,37063001604,0
2017,37063001604,0
2018,37063001604,0
2019,37063001604,0
2015,37063001705,0
2017,37063001705,0
2018,37063001705,0
2019,37063001705,0
2015,37063001706,0
2017,37063001706,0
2018,37063001706,0
2019,37063001706,0
2015,37063001707,0
2017,37063001707,0
2018,37063001707,0
2019,37063001707,0
2015,37063001708,0
2017,37063001708,0
2018,37063001708,0
2019,37063001708,0
2015,37063001709,5
2017,37063001709,4
2018,37063001709,3
2019,37063001709,3
2015,37063001710,0
2017,37063001710,0
2018,37063001710,0
2019,37063001710,0
2015,37063001711,3
2017,37063001711,3
2018,37063001711,0
2019,37063001711,5
2015,37063001801,0
2017,37063001801,3
2018,37063001801,0
2019,37063001801,6
2015,37063001802,5
2017,37063001802,6
2018,37063001802,6
2019,37063001802,9
2015,37063001806,0
2017,37063001806,0
2018,37063001806,0
2019,37063001806,0
2015,37063001807,0
2017,37063001807,4
2018,37063001807,5
2019,37063001807,7
2015,37063001808,0
2017,37063001808,0
2018,37063001808,0
2019,37063001808,3
2015,37063001809,0
2017,37063001809,0
2018,37063001809,0
2019,37063001809,0
2015,37063001900,0
2017,37063001900,0
2018,37063001900,0
2019,37063001900,0
2015,37063002007,0
2017,37063002007,0
2018,37063002007,0
2019,37063002007,0
2015,37063002008,0
2017,37063002008,0
2018,37063002008,0
2019,37063002008,0
2015,37063002009,0
2017,37063002009,0
2018,37063002009,0
2019,37063002009,3
2015,37063002013,3
2017,37063002013,0
2018,37063002013,0
2019,37063002013,0
2015,37063002015,0
2017,37063002015,0
2018,37063002015,0
2019,37063002015,0
2015,37063002016,0
2017,37063002016,0
2018,37063002016,0
2019,37063002016,0
2015,37063002017,0
2017,37063002017,0
2018,37063002017,0
2019,37063002017,0
2015,37063002018,0
2017,37063002018,0
2018,37063002018,0
2019,37063002018,0
2015,37063002019,0
2017,37063002019,0
2018,37063002019,0
2019,37063002019,0
2015,37063002020,0
2017,37063002020,0
2018,37063002020,0
2019,37063002020,0
2015,37063002021,0
2017,37063002021,0
2018,37063002021,0
2019,37063002021,0
2015,37063002022,0
2017,37063002022,0
2018,37063002022,0
2019,37063002022,0
2015,37063002023,0
2017,37063002023,0
2018,37063002023,0
2019,37063002023,0
2015,37063002024,0
2017,37063002024,0
2018,37063002024,0
2019,37063002024,0
2015,37063002025,0
2017,37063002025,0
2018,37063002025,0
2019,37063002025,0
2015,37063002026,3
2017,37063002026,0
2018,37063002026,0
2019,37063002026,0
2015,37063002027,0
2017,37063002027,0
2018,37063002027,0
2019,37063002027,0
2015,37063002028,3
2017,37063002028,0
2018,37063002028,0
2019,37063002028,3
2015,37063002100,0
2017,37063002100,0
2018,37063002100,0
2019,37063002100,0
2015,37063002200,0
2017,37063002200,0
2018,37063002200,0
2019,37063002200,0
2015,37063002300,0
2017,37063002300,0
2018,37063002300,0
2019,37063002300,0
2015,37063980100,0
2017,37063980100,0
2018,37063980100,0
2019,37063980100,0
