year,fips,value
2015,37063000101,41
2017,37063000101,38
2018,37063000101,35
2019,37063000101,47
2015,37063000102,64
2017,37063000102,44
2018,37063000102,36
2019,37063000102,53
2015,37063000200,32
2017,37063000200,25
2018,37063000200,17
2019,37063000200,27
2015,37063000301,24
2017,37063000301,21
2018,37063000301,16
2019,37063000301,24
2015,37063000302,26
2017,37063000302,23
2018,37063000302,20
2019,37063000302,26
2015,37063000401,18
2017,37063000401,15
2018,37063000401,15
2019,37063000401,15
2015,37063000402,13
2017,37063000402,14
2015,37063000500,41
2017,37063000500,38
2018,37063000500,33
2019,37063000500,45
2015,37063000600,54
2017,37063000600,57
2018,37063000600,40
2019,37063000600,45
2015,37063000700,50
2017,37063000700,53
2018,37063000700,41
2019,37063000700,49
2015,37063000900,30
2017,37063000900,31
2018,37063000900,21
2019,37063000900,27
2015,37063001001,60
2017,37063001001,58
2018,37063001001,45
2019,37063001001,70
2015,37063001002,76
2017,37063001002,76
2018,37063001002,54
2019,37063001002,84
2015,37063001100,65
2017,37063001100,60
2018,37063001100,41
2019,37063001100,61
2015,37063001301,22
2017,37063001301,23
2018,37063001301,12
2019,37063001301,32
2015,37063001303,57
2017,37063001303,44
2018,37063001303,32
2019,37063001303,35
2015,37063001304,45
2017,37063001304,43
2018,37063001304,34
2019,37063001304,39
2015,37063001400,47
2017,37063001400,49
2018,37063001400,33
2019,37063001400,50
2015,37063001502,52
2017,37063001502,43
2018,37063001502,36
2019,37063001502,55
2015,37063001601,117
2017,37063001601,115
2018,37063001601,104
2019,37063001601,127
2015,37063001603,94
2017,37063001603,104
2018,37063001603,92
2019,37063001603,118
2015,37063001604,112
2017,37063001604,105
2018,37063001604,100
2019,37063001604,112
2015,37063001705,82
2017,37063001705,72
2018,37063001705,68
2019,37063001705,79
2015,37063001706,36
2017,37063001706,34
2018,37063001706,26
2019,37063001706,32
2015,37063001707,137
2017,37063001707,129
2018,37063001707,123
2019,37063001707,153
2015,37063001708,64
2017,37063001708,63
2018,37063001708,58
2019,37063001708,73
2015,37063001709,114
2017,37063001709,117
2018,37063001709,107
2019,37063001709,127
2015,37063001710,55
2017,37063001710,42
2018,37063001710,36
2019,37063001710,47
2015,37063001711,54
2017,37063001711,56
2018,37063001711,46
2019,37063001711,60
2015,37063001801,121
2017,37063001801,112
2018,37063001801,95
2019,37063001801,121
2015,37063001802,89
2017,37063001802,75
2018,37063001802,72
2019,37063001802,91
2015,37063001806,79
2017,37063001806,79
2018,37063001806,72
2019,37063001806,92
2015,37063001807,84
2017,37063001807,93
2018,37063001807,86
2019,37063001807,117
2015,37063001808,67
2017,37063001808,66
2018,37063001808,57
2019,37063001808,94
2015,37063001809,64
2017,37063001809,67
2018,37063001809,57
2019,37063001809,74
2015,37063001900,63
2017,37063001900,73
2018,37063001900,62
2019,37063001900,85
2015,37063002007,68
2017,37063002007,62
2018,37063002007,57
2019,37063002007,63
2015,37063002008,32
2017,37063002008,31
2018,37063002008,30
2019,37063002008,40
2015,37063002009,110
2017,37063002009,102
2018,37063002009,94
2019,37063002009,114
2015,37063002013,57
2017,37063002013,59
2018,37063002013,41
2019,37063002013,59
2015,37063002015,60
2017,37063002015,57
2018,37063002015,42
2019,37063002015,61
2015,37063002016,19
2017,37063002016,18
2018,37063002016,12
2019,37063002016,21
2015,37063002017,91
2017,37063002017,89
2018,37063002017,82
2019,37063002017,107
2015,37063002018,57
2017,37063002018,47
2018,37063002018,41
2019,37063002018,65
2015,37063002019,13
2017,37063002019,15
2018,37063002019,12
2019,37063002019,18
2015,37063002020,42
2017,37063002020,40
2018,37063002020,32
2019,37063002020,49
2015,37063002021,29
2017,37063002021,28
2018,37063002021,25
2019,37063002021,31
2015,37063002022,45
2017,37063002022,37
2018,37063002022,34
2019,37063002022,34
2015,37063002023,14
2017,37063002023,12
2019,37063002023,16
2015,37063002024,38
2017,37063002024,33
2018,37063002024,28
2019,37063002024,48
2015,37063002025,46
2017,37063002025,52
2018,37063002025,44
2019,37063002025,52
2015,37063002026,75
2017,37063002026,65
2018,37063002026,55
2019,37063002026,74
2015,37063002027,78
2017,37063002027,74
2018,37063002027,66
2019,37063002027,81
2015,37063002028,42
2017,37063002028,46
2018,37063002028,35
2019,37063002028,57
2015,37063002100,105
2017,37063002100,93
2018,37063002100,79
2019,37063002100,116
2015,37063002200,14
2017,37063002200,16
2018,37063002200,26
2019,37063002200,23
2015,37063002300,20
2017,37063002300,19
2018,37063002300,15
2019,37063002300,22
