year,fips,value
2001,37063000101,0.6424
2001,37063000102,0.7538
2001,37063000200,0.6958
2001,37063000301,0.5618
2001,37063000302,0.4408
2001,37063000401,0.6789
2001,37063000402,0.5782
2001,37063000500,0.7441
2001,37063000600,0.3485
2001,37063000700,0.5663
2001,37063000900,0.5741
2001,37063001001,0.5936
2001,37063001002,0.5853
2001,37063001100,0.6872
2001,37063001301,0.4929
2001,37063001303,0.6112
2001,37063001304,0.7256
2001,37063001400,0.6659
2001,37063001501,0.0382
2001,37063001502,0.3604
2001,37063001503,0
2001,37063001601,0.6586
2001,37063001603,0.6048
2001,37063001604,0.5663
2001,37063001705,0.6626
2001,37063001706,0.5292
2001,37063001707,0.6954
2001,37063001708,0.7816
2001,37063001709,0.7557
2001,37063001710,0.7173
2001,37063001711,0.7772
2001,37063001801,0.6716
2001,37063001802,0.7022
2001,37063001806,0.6735
2001,37063001807,0.4705
2001,37063001808,0.6351
2001,37063001809,0.752
2001,37063001900,0.5633
2001,37063002007,0.3539
2001,37063002008,0.3336
2001,37063002009,0.7053
2001,37063002013,0.53
2001,37063002015,0.681
2001,37063002016,0.553
2001,37063002017,0.6281
2001,37063002018,0.7047
2001,37063002019,0.6022
2001,37063002020,0.6338
2001,37063002021,0.7549
2001,37063002022,0.4604
2001,37063002023,0.5612
2001,37063002024,0.2448
2001,37063002025,0.5882
2001,37063002026,0.7054
2001,37063002027,0.7799
2001,37063002028,0.7191
2001,37063002100,0.7308
2001,37063002200,0.6952
2001,37063002300,0.6558
2001,37063980100,0.2931
2005,37063000101,0.6594
2005,37063000102,0.7616
2005,37063000200,0.6961
2005,37063000301,0.5409
2005,37063000302,0.4449
2005,37063000401,0.6829
2005,37063000402,0.5766
2005,37063000500,0.7455
2005,37063000600,0.6762
2005,37063000700,0.5613
2005,37063000900,0.5783
2005,37063001001,0.6063
2005,37063001002,0.6025
2005,37063001100,0.6732
2005,37063001301,0.5078
2005,37063001303,0.6225
2005,37063001304,0.729
2005,37063001400,0.6593
2005,37063001501,0.0644
2005,37063001502,0.4859
2005,37063001503,0
2005,37063001601,0.6884
2005,37063001603,0.6008
2005,37063001604,0.5524
2005,37063001705,0.6299
