id,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
37063000101,6,6,11,11,20,19
37063000102,5,5,8,8,7,8
37063000200,6,2,12,12,11,11
37063000301,3,4,8,8,8,6
37063000302,6,6,7,7,5,2
37063000401,5,4,12,12,15,10
37063000402,7,3,16,15,15,14
37063000500,5,6,8,8,8,9
37063000600,5,5,17,17,15,16
37063000700,6,6,9,9,8,6
37063000900,7,5,14,13,12,12
37063001001,4,4,6,6,7,8
37063001002,3,3,6,6,7,6
37063001100,4,5,4,4,7,4
37063001301,6,7,15,14,14,15
37063001303,8,8,24,23,25,25
37063001304,6,6,8,8,8,9
37063001400,5,7,11,11,10,10
37063001501,20,34,38,36,189,207
37063001502,7,9,19,21,24,22
37063001503,68,61,30,66,75,84
37063001601,6,4,7,8,7,5
37063001603,6,6,6,7,6,8
37063001604,7,5,8,8,7,7
37063001705,6,6,4,4,4,5
37063001706,7,6,14,13,14,12
37063001707,3,4,18,18,22,18
37063001708,5,6,7,7,7,7
37063001709,5,5,7,7,6,7
37063001710,7,6,6,6,7,6
37063001711,5,6,12,12,12,14
37063001801,5,4,4,4,5,4
37063001802,4,4,5,5,6,5
37063001806,6,7,8,8,8,6
37063001807,5,5,16,16,17,13
37063001808,4,4,8,8,7,6
37063001809,6,5,13,13,12,11
37063001900,6,5,7,6,6,6
37063002007,10,5,7,7,4,13
37063002008,3,5,9,9,11,8
37063002009,4,4,6,6,6,7
37063002013,4,4,5,5,5,6
37063002015,6,8,8,8,11,6
37063002016,6,6,17,16,18,21
37063002017,5,4,23,23,25,27
37063002018,8,10,13,12,20,26
37063002019,7,5,7,8,2,7
37063002020,5,5,7,7,7,6
37063002021,11,8,8,9,10,8
37063002022,5,7,1,1,6,5
37063002023,8,2,3,3,1,4
37063002024,3,5,3,4,3,5
37063002025,5,6,6,6,6,6
37063002026,6,8,10,10,10,9
37063002027,4,6,23,23,27,22
37063002028,5,3,19,17,16,16
37063002100,4,2,4,4,5,5
37063002200,3,3,3,3,5,4
37063002300,7,6,5,4,5,7
37063980100,,,0,0,0,8
