id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022
37063000101,8,1,1,1,1,2,2,2,2,9,9,34
37063000102,1,1,1,1,1,1,1,1,1,5,5,34
37063000200,2,3,3,3,3,4,4,5,5,5,5,14
37063000301,5,5,1,1,1,1,1,1,1,1,1,21
37063000302,3,4,4,4,3,3,3,3,2,4,4,55
37063000401,3,3,3,3,3,3,3,3,4,5,5,28
37063000402,2,5,4,4,5,5,4,4,5,9,9,33
37063000500,2,2,3,3,3,3,2,1,2,4,4,77
37063000600,1,2,2,2,2,3,3,3,2,14,13,30
37063000700,2,2,1,2,2,2,2,2,1,3,3,14
37063000900,13,2,2,2,1,2,1,1,1,9,8,21
37063001001,9,1,1,1,1,1,1,1,1,11,11,14
37063001002,5,3,3,3,2,2,1,1,1,4,4,47
37063001100,15,3,3,3,2,2,2,3,3,5,5,14
37063001301,31,3,3,3,2,2,2,2,3,2,2,56
37063001303,10,1,1,1,1,0,1,1,1,3,3,33
37063001304,12,2,1,1,1,1,1,1,1,9,11,14
37063001400,3,2,1,2,2,2,2,2,2,4,4,14
37063001501,16,2,1,1,2,2,3,1,1,3,3,17
37063001502,2,2,2,1,2,1,1,1,1,7,7,38
37063001503,24,3,6,6,8,9,9,5,7,12,12,14
37063001601,3,1,1,1,1,1,1,1,1,4,4,19
37063001603,3,1,1,1,1,1,1,1,0,8,8,19
37063001604,1,1,1,1,1,1,1,1,1,3,3,19
37063001705,4,1,1,0,0,1,1,1,1,3,3,18
37063001706,2,3,3,3,2,2,0,1,1,3,3,27
37063001707,3,0,1,1,1,1,1,1,1,13,12,24
37063001708,6,1,1,1,1,1,1,1,1,7,8,14
37063001709,5,1,1,1,1,1,1,1,1,3,3,19
37063001710,5,1,1,1,1,1,1,1,0,3,3,14
37063001711,1,0,1,1,1,1,0,0,0,7,6,14
37063001801,3,1,0,1,1,1,1,0,0,5,6,19
37063001802,4,1,1,1,1,1,0,0,1,10,12,19
37063001806,4,1,1,1,1,1,0,0,0,3,3,19
37063001807,0,0,0,0,0,0,0,0,0,22,23,24
37063001808,4,1,1,0,0,0,0,0,0,3,3,21
37063001809,3,1,1,1,1,1,1,0,0,6,6,19
37063001900,8,1,1,1,1,1,1,1,1,3,3,19
37063002007,1,1,1,1,1,2,2,1,1,5,5,19
37063002008,6,1,1,1,1,1,1,1,1,2,2,14
37063002009,5,1,1,1,2,1,1,1,1,4,5,14
37063002013,4,1,0,1,1,1,1,1,0,4,4,14
37063002015,1,1,1,1,1,1,1,1,1,5,5,19
37063002016,4,1,1,1,1,1,1,1,1,26,26,20
37063002017,5,4,4,4,3,0,1,1,1,12,12,23
37063002018,2,0,0,0,0,0,0,0,0,4,4,24
37063002019,1,1,0,0,0,0,0,0,1,6,6,14
37063002020,0,1,1,1,1,1,0,0,0,3,3,19
37063002021,4,1,1,1,1,1,1,0,0,4,4,14
37063002022,3,0,1,1,1,1,1,0,0,3,2,14
37063002023,6,1,1,1,1,1,1,0,1,4,5,14
37063002024,1,1,1,1,0,0,1,1,1,2,2,19
37063002025,3,1,0,0,1,1,1,1,1,2,2,19
37063002026,4,1,1,1,1,1,1,0,0,2,2,19
37063002027,1,1,1,1,0,0,0,0,0,17,18,24
37063002028,3,0,0,0,0,0,0,0,0,8,8,44
37063002100,3,1,1,1,1,1,1,1,1,4,4,19
37063002200,1,2,2,2,1,1,2,3,2,10,9,23
37063002300,36,5,3,3,4,3,3,3,2,1,1,11
37063980100,408,24,29,50,,,,,,0,0,14
