id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021,y_2022
37063000101,14,8,4,8,13,13,9,10,10,26,18
37063000102,6,4,13,14,14,6,15,5,7,6,5
37063000200,6,8,7,11,6,12,7,5,6,12,13
37063000301,7,8,8,7,8,2,6,6,7,10,12
37063000302,8,11,6,8,6,8,6,5,5,9,9
37063000401,7,6,9,6,6,7,7,10,4,17,19
37063000402,13,11,15,15,11,13,10,8,9,16,21
37063000500,8,10,8,7,7,6,7,10,9,4,5
37063000600,15,9,2,6,5,6,5,5,6,14,17
37063000700,9,5,4,5,4,8,8,8,9,5,8
37063000900,9,14,12,10,7,11,12,11,12,13,14
37063001001,7,15,11,11,11,12,8,9,11,7,10
37063001002,8,4,18,8,9,10,8,10,10,11,13
37063001100,11,6,3,6,4,7,6,8,8,9,10
37063001301,22,14,9,23,21,6,11,9,10,16,14
37063001303,5,12,6,15,7,8,6,8,8,7,11
37063001304,8,7,7,10,6,7,8,9,11,11,15
37063001400,11,11,15,15,11,1,11,13,18,15,16
37063001501,9,6,6,4,6,8,9,13,13,17,12
37063001502,9,8,8,6,9,6,6,6,6,22,23
37063001503,20,12,10,6,10,13,13,16,21,21,15
37063001601,7,2,4,5,5,4,6,5,6,8,7
37063001603,2,4,4,6,5,6,6,6,7,8,11
37063001604,2,3,5,5,6,5,6,6,8,6,6
37063001705,14,6,16,17,2,10,9,6,6,7,10
37063001706,4,3,6,4,6,7,6,5,6,7,7
37063001707,2,10,6,3,7,6,7,7,9,12,19
37063001708,5,9,7,7,4,5,6,3,4,3,7
37063001709,6,4,9,9,8,8,4,5,9,10,3
37063001710,9,8,5,3,3,1,13,5,6,14,4
37063001711,6,8,6,3,7,6,6,6,6,13,18
37063001801,7,3,5,6,8,8,8,4,5,18,18
37063001802,5,6,8,6,17,5,4,7,6,6,19
37063001806,4,12,6,2,3,3,7,8,8,8,3
37063001807,6,7,5,8,6,7,5,5,1,16,17
37063001808,3,7,8,8,6,4,5,5,5,4,6
37063001809,7,7,7,5,6,2,5,7,7,20,7
37063001900,8,5,6,7,8,6,9,8,6,6,10
37063002007,11,11,6,4,4,7,5,1,5,9,9
37063002008,4,5,3,4,3,6,5,6,7,11,12
37063002009,12,9,9,7,9,6,8,5,4,12,4
37063002013,5,5,4,3,3,5,5,6,5,5,6
37063002015,9,6,7,6,8,6,15,5,4,7,8
37063002016,3,4,3,0,3,4,1,7,7,30,47
37063002017,5,6,6,6,4,5,6,5,6,23,27
37063002018,3,5,4,5,6,5,7,6,5,27,28
37063002019,5,9,7,6,5,7,8,8,7,10,7
37063002020,6,5,6,5,7,6,5,6,6,9,9
37063002021,7,10,10,8,10,6,4,8,7,9,9
37063002022,5,6,4,5,5,6,4,2,5,4,6
37063002023,7,9,7,7,6,7,4,6,5,7,8
37063002024,4,4,5,5,4,4,4,3,4,12,9
37063002025,6,2,4,4,7,6,6,5,7,5,4
37063002026,8,7,6,8,6,8,9,6,6,6,6
37063002027,5,3,1,3,3,0,6,3,4,21,19
37063002028,14,12,12,1,2,4,3,3,4,16,18
37063002100,2,4,3,6,5,4,2,6,5,5,8
37063002200,7,8,7,8,8,7,6,5,6,7,8
37063002300,35,12,26,18,17,13,13,16,11,9,9
37063980100,0,0,0,0,,,,,,0,0
