id,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
37063000101,6,5,8,4,8,7,8,9,11,9,16,18,15,16
37063000102,6,7,7,7,4,4,6,5,4,5,6,6,4,4
37063000200,8,7,8,8,8,9,6,6,6,5,6,8,5,7
37063000301,10,8,8,5,6,6,4,7,7,8,12,12,11,11
37063000302,10,7,5,7,6,6,5,7,7,6,9,9,10,7
37063000401,8,11,9,8,7,6,6,6,6,6,19,20,17,18
37063000402,9,7,9,8,8,9,5,8,7,9,26,21,22,21
37063000500,8,10,7,10,6,5,6,6,8,8,6,4,8,8
37063000600,7,3,6,6,5,6,5,6,6,7,12,11,13,13
37063000700,6,6,6,6,5,6,6,6,5,6,3,5,5,6
37063000900,12,9,9,7,6,5,5,5,6,6,6,7,5,6
37063001001,8,7,7,9,7,5,5,5,7,8,6,7,5,5
37063001002,5,7,6,5,6,6,5,6,4,7,8,8,7,9
37063001100,8,10,9,8,6,7,5,6,6,7,4,7,12,8
37063001301,6,12,9,8,7,6,7,9,7,7,12,11,13,10
37063001303,9,9,15,10,10,11,8,8,10,11,9,11,9,14
37063001304,14,14,9,7,8,8,8,8,10,10,11,11,14,13
37063001400,10,15,14,12,16,19,15,8,10,12,23,19,21,21
37063001501,20,18,15,14,16,12,9,18,20,15,14,18,18,18
37063001502,8,7,7,6,6,6,8,7,8,9,26,25,23,25
37063001503,18,22,10,3,37,15,19,18,23,23,21,24,16,24
37063001601,6,6,6,7,8,8,8,7,5,5,6,8,7,6
37063001603,6,6,6,5,6,6,4,6,6,7,8,9,9,8
37063001604,5,5,5,5,5,6,5,6,8,8,6,7,7,7
37063001705,7,5,7,6,7,9,8,10,9,8,9,6,9,9
37063001706,7,7,7,6,7,7,6,6,5,4,5,5,5,5
37063001707,6,5,4,4,6,7,7,6,7,6,15,15,16,14
37063001708,6,9,8,8,6,6,5,9,7,7,5,8,7,7
37063001709,7,8,9,10,8,9,6,7,7,6,8,11,8,12
37063001710,7,8,8,7,6,6,8,8,7,7,5,5,5,3
37063001711,5,6,6,5,5,5,6,7,7,7,14,11,15,15
37063001801,7,7,7,5,7,6,6,5,5,5,5,5,5,5
37063001802,7,6,5,5,6,4,6,5,6,7,6,7,7,8
37063001806,7,7,7,8,8,7,7,5,7,7,8,9,11,8
37063001807,6,6,4,5,5,7,6,6,5,5,20,23,20,23
37063001808,5,6,5,7,7,6,6,6,6,5,6,5,5,6
37063001809,7,7,7,6,7,9,8,9,7,10,12,12,13,11
37063001900,8,7,4,6,6,7,7,6,6,6,7,6,6,6
37063002007,7,6,6,7,7,8,9,8,9,7,8,8,6,5
37063002008,8,8,8,7,6,6,6,7,7,8,4,6,5,6
37063002009,7,5,5,3,7,7,6,7,7,8,11,12,13,9
37063002013,6,7,6,6,5,4,4,5,4,5,6,6,5,5
37063002015,6,10,8,8,9,9,8,6,7,8,7,10,10,8
37063002016,8,7,6,6,5,6,5,4,6,6,18,16,17,22
37063002017,6,6,6,6,6,7,6,6,8,7,32,34,33,30
37063002018,5,6,6,6,6,5,5,5,4,5,30,33,25,33
37063002019,6,7,8,5,6,5,6,7,8,7,8,8,5,6
37063002020,6,6,6,5,5,6,6,5,6,5,9,10,10,9
37063002021,9,7,6,9,7,8,7,7,8,8,8,9,9,8
37063002022,9,10,9,8,8,9,6,8,8,7,5,10,9,10
37063002023,7,8,9,9,8,9,7,7,8,8,6,7,7,5
37063002024,7,6,6,6,7,7,7,6,6,6,7,3,5,6
37063002025,6,5,6,8,8,6,6,4,5,6,7,7,6,6
37063002026,7,7,7,7,9,8,8,8,7,6,4,3,4,5
37063002027,5,9,9,9,9,8,5,5,5,7,16,16,14,17
37063002028,6,6,6,7,6,6,6,6,5,6,16,16,16,15
37063002100,7,6,7,6,5,6,5,5,4,5,7,6,8,8
37063002200,12,8,9,8,6,5,5,8,6,6,6,5,5,5
37063002300,10,10,12,6,11,14,16,13,9,6,17,15,12,10
37063980100,223,408,24,29,50,,,,,,8,8,8,6
