"id","y_2010","y_2011","y_2012","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019"
37063000101,160,126,114,209,57,57,71,126,178,282
37063000102,46,37,77,36,37,35,60,66,79,66
37063000200,164,148,88,108,199,140,55,62,57,83
37063000301,68,41,31,24,35,60,59,63,61,64
37063000302,86,100,65,85,59,47,46,61,33,90
37063000401,195,124,92,107,87,85,155,172,192,468
37063000402,115,120,182,137,121,138,117,156,106,100
37063000500,39,37,25,56,59,59,56,56,59,56
37063000600,57,107,172,153,220,196,101,67,71,90
37063000700,223,178,194,140,187,97,79,93,79,158
37063000900,54,23,23,42,94,161,108,115,110,158
37063001001,74,84,81,118,93,80,98,148,172,146
37063001002,63,162,129,74,57,83,43,63,43,89
37063001100,56,80,102,51,104,76,52,59,39,59
37063001301,88,102,110,71,55,52,56,57,81,72
37063001303,419,142,117,123,124,89,126,147,140,90
37063001304,47,28,57,54,64,65,126,60,52,64
37063001400,176,154,171,229,102,156,141,140,90,271
37063001501,605,1526,1014,45,89,178,168,106,120,482
37063001502,22,19,22,33,27,28,41,38,51,100
37063001503,,,,,,,,,,
37063001601,164,105,147,151,275,160,162,146,446,196
37063001603,830,247,131,355,703,479,831,421,167,704
37063001604,318,326,554,335,279,211,230,364,570,744
37063001705,42,39,50,43,87,75,67,67,64,81
37063001706,76,106,68,62,72,37,33,67,75,32
37063001707,145,92,192,162,128,85,93,99,98,128
37063001708,372,89,103,44,79,106,99,166,164,400
37063001709,50,52,56,50,43,43,52,61,74,99
37063001710,51,85,96,56,56,54,44,55,49,51
37063001711,34,22,37,24,28,28,25,28,32,24
37063001801,142,186,120,120,147,129,89,162,144,289
37063001802,243,198,178,118,106,55,83,107,93,140
37063001806,205,408,464,474,568,370,252,122,65,82
37063001807,179,166,194,105,193,214,213,217,582,233
37063001808,293,120,120,363,215,149,200,369,164,187
37063001809,44,95,98,120,83,99,102,85,84,93
37063001900,537,484,333,178,98,196,116,358,440,403
37063002007,33,74,61,76,122,114,72,110,76,60
37063002008,244,312,160,173,192,231,169,64,,
37063002009,120,83,117,109,118,90,128,122,98,295
37063002013,416,329,311,156,83,86,84,122,173,261
37063002015,34,45,36,43,57,46,28,32,57,45
37063002016,36,20,31,36,45,26,33,33,47,50
37063002017,82,83,85,146,109,150,131,161,116,98
37063002018,50,46,126,92,108,93,116,112,145,136
37063002019,62,49,80,94,85,85,72,67,73,87
37063002020,1261,306,898,992,1480,1110,,1461,872,993
37063002021,72,123,112,95,114,137,81,77,102,109
37063002022,28,49,47,78,66,70,73,62,54,44
37063002023,60,113,58,58,49,54,53,64,39,37
37063002024,157,96,128,204,159,180,147,157,158,164
37063002025,68,58,59,97,203,132,154,132,84,92
37063002026,38,49,80,73,52,39,50,51,54,68
37063002027,29,67,64,45,45,45,28,31,49,49
37063002028,40,32,41,56,59,65,50,65,53,58
37063002100,54,161,175,184,141,238,496,,404,808
37063002200,206,92,112,95,113,67,93,76,67,91
37063002300,215,92,164,48,72,71,204,98,154,210
37063980100,,,,,,,,,,
