id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
37063000101,18501,3598,4512,3326,4647,3637,7640,6487,15328,6868,7708,6488,8668
37063000102,4049,5754,5974,4326,6684,8158,7289,13371,14128,6596,7883,18453,17337
37063000200,17437,21320,20465,16652,13450,15190,17979,16879,14910,16879,19576,24232,23982
37063000301,15348,4651,3104,6640,8179,7869,5283,8483,6749,3662,17541,23651,24807
37063000302,24063,17125,17266,10430,13044,16559,12191,15621,9260,18163,27000,18076,37967
37063000401,15741,13814,18239,15222,12323,10676,8104,20586,11723,8788,18084,8970,10690
37063000402,3340,5573,15323,9669,8934,9052,11432,9447,8465,4644,5530,14870,18230
37063000500,9704,7806,11135,14743,15935,5921,9109,13034,10911,18180,29812,20007,
37063000600,5360,13026,23303,21861,19848,22957,18057,24296,20664,3389,27859,46073,38385
37063000700,25744,24111,16850,19523,20982,27558,19298,26196,32509,37282,29445,25138,24011
37063000900,6871,6769,7407,8153,5747,22866,24323,30391,34814,30746,46149,53907,48265
37063001001,5663,6211,5267,14860,14411,11665,13925,11686,12613,22309,18682,38187,27517
37063001002,8317,19061,12231,8613,6306,5129,11759,7426,14638,14834,24230,10359,57777
37063001100,2535,4528,11334,12630,9171,14774,11904,9532,7752,10648,21079,29512,31512
37063001301,,66063,11930,8301,,20514,11320,,,16653,13538,14349,21315
37063001303,,22784,22610,16664,23524,21844,,21234,19876,16310,17578,17913,36277
37063001304,12739,7397,6623,5840,10133,7322,,28293,7746,12728,27730,39153,15529
37063001400,,357556,,,,,28041,,25347,3056,16994,11999,3804
37063001501,,,,,,7827,7103,9305,,,,,
37063001502,13708,5738,4319,4514,5845,6329,5018,7106,6495,12321,13403,16687,11819
37063001503,,,,,,,,,,,,,
37063001601,6447,16316,9373,10232,10946,3601,8703,13261,8208,15358,19025,12986,14759
37063001603,11241,10615,10914,9395,10556,8213,13813,18365,20620,29439,11481,11989,27587
37063001604,4946,3759,4465,10314,12317,13848,12610,10093,10151,15812,15322,20320,17000
37063001705,4580,3656,9354,6046,12024,15295,12709,16276,13661,12008,15746,4874,8996
37063001706,4878,8437,5768,9498,8499,12647,14490,15245,12991,10638,18122,21696,22603
37063001707,5225,6036,9486,12821,9324,10354,11455,10094,21863,38479,50270,69139,43732
37063001708,6880,8448,11081,14959,5429,,25117,18286,22106,20250,18109,12123,9045
37063001709,3901,10943,13399,6037,13385,7641,7093,17576,3282,2061,4039,10106,36204
37063001710,7811,8060,17492,7888,10334,9319,10100,4500,7686,14382,5865,7660,9031
37063001711,5491,6653,6897,7332,5723,12342,17139,16319,13239,30669,36207,47348,49815
37063001801,14479,8452,10289,20266,11838,13144,12363,10466,10481,17084,13190,17772,23070
37063001802,11464,8881,6988,6836,7891,8760,6273,7405,9909,4894,11143,25999,20664
37063001806,9448,14589,14117,10661,10157,12144,12790,13008,16386,17388,15775,41527,30748
37063001807,14504,19104,25560,11820,29452,11945,15294,13181,17539,28064,43834,20139,31140
37063001808,21263,13815,18057,12053,10903,10421,5627,5531,4666,9857,11738,17664,21559
37063001809,10727,12702,11457,13791,8681,6891,20979,21707,20549,27033,14195,28710,
37063001900,10511,8949,7070,15511,11371,12161,13156,10694,9871,8969,6645,13285,15660
37063002007,20017,26118,19735,10415,14445,19655,14323,23438,15819,14811,22784,24084,34126
37063002008,18094,21971,18689,22182,36527,28529,30802,23352,14711,61989,72292,94467,96436
37063002009,619,643,10469,13322,17471,27280,15061,18508,25778,37622,33886,51230,
37063002013,12022,8045,14105,8621,9823,4624,8361,8913,15257,18876,17628,18393,16663
37063002015,19247,9465,7731,8978,7183,9267,15452,15245,24060,14669,24666,18499,23835
37063002016,3443,3809,6564,5172,6353,11366,7601,12487,13735,18223,45491,33688,22203
37063002017,10464,9202,10447,11400,9777,7282,12329,11009,15844,46959,30199,38302,28198
37063002018,9681,21664,15893,21578,10107,6626,6544,9554,10129,36757,31053,25560,34887
37063002019,12657,8982,7251,15284,12469,10467,12194,24431,13204,14952,15876,14930,18035
37063002020,26324,27275,17363,25431,28459,18684,27703,25013,21753,27629,20921,16930,19086
37063002021,17076,33264,34403,34371,31434,22662,25531,17850,16363,10206,14968,22814,14000
37063002022,14619,27530,32129,22991,23374,18084,20100,21070,26108,11838,15557,14771,25419
37063002023,14293,24860,19585,17250,26057,23761,10980,12779,12076,13459,13335,27585,19886
37063002024,8609,4668,4897,6028,9337,7658,7161,6408,11784,10992,11294,14448,9319
37063002025,18915,15533,21948,20409,24640,15868,10646,8823,7911,27596,24854,33273,31887
37063002026,9565,12872,5677,28613,28678,48685,38538,38164,18296,25839,21530,24724,26820
37063002027,2814,5531,6192,4622,3417,16838,25075,29963,23157,39573,36784,31487,
37063002028,12073,20209,13194,15222,14264,8764,10061,11058,6853,63491,81153,90170,
37063002100,12279,11171,11769,21869,17228,8107,5976,5761,5501,17310,29632,31790,27454
37063002200,12726,15221,9517,20497,24877,14117,13951,12937,19450,33451,27066,17663,21776
37063002300,19346,11422,9930,9775,8390,4393,17829,5521,31129,16302,32689,24614,35182
37063980100,,102503,,,,,,,,,,,
