"id","y_1970","y_1980","y_1990","y_2000","y_2010","y_2011","y_2012","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019"
37063000101,NA,NA,NA,NA,NA,8167,9620,13364,5884,4104,11974,9696,14394,14206
37063000102,NA,NA,NA,NA,NA,3603,5039,5631,7213,6979,11671,11331,6917,7332
37063000200,NA,NA,NA,NA,NA,4112,9540,5983,5809,6890,8115,9101,10047,12159
37063000301,NA,NA,NA,NA,NA,7655,3172,9114,4099,2903,5490,7988,6556,7005
37063000302,NA,NA,NA,NA,NA,15279,13701,8374,12130,13639,11917,6419,17466,10450
37063000401,NA,NA,NA,NA,NA,19728,13481,17996,15071,12909,10520,8413,12796,7108
37063000402,NA,NA,NA,NA,NA,7835,13991,15531,13280,5739,9107,12408,10065,9210
37063000500,NA,NA,NA,NA,NA,2382,2908,2810,4069,2994,5318,4388,3758,5827
37063000600,NA,NA,NA,NA,NA,9984,11069,8611,8979,10121,3710,8157,6713,11472
37063000700,NA,NA,NA,NA,NA,5660,4109,3822,4552,5901,7288,11714,15292,8070
37063000900,NA,NA,NA,NA,NA,6994,3336,5301,4784,5590,4514,3966,4229,7403
37063001001,NA,NA,NA,NA,NA,7895,4877,6308,7836,6946,10134,10123,6004,7393
37063001002,NA,NA,NA,NA,NA,6652,6286,3795,5134,5121,8964,8581,8542,6118
37063001100,NA,NA,NA,NA,NA,3318,2151,1707,1700,1974,2259,2981,3506,2914
37063001301,NA,NA,NA,NA,NA,6569,5896,6259,4097,4534,4622,10795,10711,6511
37063001303,NA,NA,NA,NA,NA,7917,6796,4629,6213,6412,5915,8424,10482,6958
37063001304,NA,NA,NA,NA,NA,5281,3761,4913,4369,2232,2008,7166,4378,4113
37063001400,NA,NA,NA,NA,NA,3741,6475,3692,4301,4837,3350,7214,10017,9061
37063001501,NA,NA,NA,NA,NA,8752,6160,4092,3542,5987,5445,7103,NA,NA
37063001502,NA,NA,NA,NA,NA,2311,2173,1962,2498,3284,4351,2815,3417,7771
37063001503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37063001601,NA,NA,NA,NA,NA,7259,5238,5731,9280,7856,3182,4213,8969,7880
37063001603,NA,NA,NA,NA,NA,12397,9753,10808,13132,9975,11073,17532,16419,14336
37063001604,NA,NA,NA,NA,NA,4205,4716,4816,8952,8267,11007,11850,8200,12227
37063001705,NA,NA,NA,NA,NA,4757,4556,8084,7588,12910,13374,14902,19622,14140
37063001706,NA,NA,NA,NA,NA,3491,5021,5145,7102,7506,7008,8630,8108,6680
37063001707,NA,NA,NA,NA,NA,4190,6547,10165,11459,7085,8695,8310,9209,18316
37063001708,NA,NA,NA,NA,NA,9179,8278,6920,11868,12254,8913,9352,7242,5642
37063001709,NA,NA,NA,NA,NA,3896,4924,3341,3347,5718,5742,4957,6020,7521
37063001710,NA,NA,NA,NA,NA,8474,4136,9838,4434,4979,6285,7755,5503,7056
37063001711,NA,NA,NA,NA,NA,4394,3832,3286,4209,4609,3055,2685,3039,3297
37063001801,NA,NA,NA,NA,NA,5139,4493,5960,10811,7277,9574,8561,6922,10070
37063001802,NA,NA,NA,NA,NA,7554,8713,6815,6602,3572,2372,5248,8696,5503
37063001806,NA,NA,NA,NA,NA,8401,7477,5798,9966,12944,11836,9574,20938,9228
37063001807,NA,NA,NA,NA,NA,8646,9349,13341,9677,8613,8137,12853,11254,9265
37063001808,NA,NA,NA,NA,NA,6682,7955,11765,11508,4292,4177,7134,7849,8633
37063001809,NA,NA,NA,NA,NA,9111,10278,14112,13341,10602,7485,7934,8534,9917
37063001900,NA,NA,NA,NA,NA,11260,11019,7998,13311,10898,7124,9848,10294,8325
37063002007,NA,NA,NA,NA,NA,9207,10956,11289,5007,14654,10893,11249,15386,15473
37063002008,NA,NA,NA,NA,NA,26392,32354,25626,29722,38907,32934,21471,22404,14216
37063002009,NA,NA,NA,NA,NA,5552,5751,9093,5475,5698,6642,5960,4173,4322
37063002013,NA,NA,NA,NA,NA,5490,4466,4491,11105,5015,4629,9585,9693,18214
37063002015,NA,NA,NA,NA,NA,3621,5476,5623,8026,6454,8296,4980,6092,4833
37063002016,NA,NA,NA,NA,NA,5013,7537,4559,3526,5786,5517,5727,6615,5548
37063002017,NA,NA,NA,NA,NA,11805,9834,8076,7671,10858,6768,10153,13576,12063
37063002018,NA,NA,NA,NA,NA,10272,11838,9815,9753,11332,15203,13763,9002,9675
37063002019,NA,NA,NA,NA,NA,8385,9259,10098,15655,12408,8822,13128,22072,15647
37063002020,NA,NA,NA,NA,NA,16325,21919,19409,16928,16384,9233,8939,15139,14126
37063002021,NA,NA,NA,NA,NA,10178,12271,13246,17703,16028,11913,10647,17509,13100
37063002022,NA,NA,NA,NA,NA,13353,9552,7132,7070,8168,4603,5154,10378,12476
37063002023,NA,NA,NA,NA,NA,11822,10197,21205,18614,13702,10169,11559,6845,6888
37063002024,NA,NA,NA,NA,NA,8802,10506,13396,11104,7356,4998,5553,4936,5428
37063002025,NA,NA,NA,NA,NA,5451,6857,10364,11921,14549,12612,10601,10689,12863
37063002026,NA,NA,NA,NA,NA,7143,6197,4676,7658,6649,4323,4657,6621,4800
37063002027,NA,NA,NA,NA,NA,5104,4202,2650,4858,4103,7394,8664,4337,15219
37063002028,NA,NA,NA,NA,NA,3489,4878,4910,4668,2201,4797,9355,5539,5359
37063002100,NA,NA,NA,NA,NA,11138,10607,18419,20832,11859,8101,9618,11763,9818
37063002200,NA,NA,NA,NA,NA,6707,5387,13045,9364,9083,7659,8047,11034,13415
37063002300,NA,NA,NA,NA,NA,3881,4264,3802,3815,5405,6090,15431,15050,11208
37063980100,NA,NA,NA,NA,NA,NA,102503,NA,NA,NA,NA,NA,NA,NA
