id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022
37063000101,3534,3399,3113,3558,3044,3380,3850,5479,4964,4782,6317,6034
37063000102,2268,1983,2758,2815,2700,2805,2676,2439,3518,3116,3895,4843
37063000200,3738,3629,3468,3183,3724,3133,3848,4578,5359,5367,5650,7596
37063000301,2913,3599,3358,2747,2774,2949,4735,5015,5935,5065,6188,7650
37063000302,5160,4838,4767,5173,4595,5920,6441,6020,6439,7638,8934,9900
37063000401,4427,6012,6182,3914,4567,3463,3647,4361,3411,5051,5662,7182
37063000402,5215,5161,4844,5440,3326,3801,4621,4676,5068,6398,6555,6867
37063000500,2027,2441,2051,2402,2124,1957,2491,2867,3185,4463,5102,4924
37063000600,4416,5354,4450,4183,4551,4240,5771,6542,7762,8135,9275,12738
37063000700,6776,6263,5863,5126,4655,7348,6794,8342,7141,7820,5691,9179
37063000900,2264,1835,1886,2149,2041,2157,2668,3283,4111,7782,11119,10748
37063001001,1794,2459,2358,2426,1997,1856,2328,2080,2538,2583,3249,3884
37063001002,1662,1634,2527,2312,2492,2276,2670,1892,1668,2009,2358,4800
37063001100,1166,1456,1252,1759,1396,1627,1967,2413,2930,2613,2725,3618
37063001301,2491,3405,2870,4023,3901,2499,3013,3917,3869,5213,7884,6021
37063001303,2500,2058,1714,1923,2423,1394,1461,1576,1320,1698,2019,2143
37063001304,1955,1684,1824,2209,1941,2080,1759,2805,3095,3954,4339,6017
37063001400,2008,2008,9109,11439,11043,9381,16745,2253,2678,4419,5528,4928
37063001501,2100,1456,1098,1169,1387,478,485,360,332,591,682,1277
37063001502,1560,1302,1452,1489,2257,2695,2691,2802,3375,6402,5943,7042
37063001503,2490,469,471,639,512,540,488,532,433,319,401,1618
37063001601,4386,3167,3487,3322,3430,2424,3709,4748,5288,5335,5928,6219
37063001603,3573,2858,3630,5224,4610,4961,5305,6918,4565,5414,6259,7801
37063001604,4276,3874,4856,4357,4481,4003,4342,3913,3885,4614,4811,5235
37063001705,8967,10883,7833,8932,11029,11273,11554,7265,5083,5983,5804,5479
37063001706,4701,4613,5225,5751,8266,7136,6850,6974,7377,6886,7908,9423
37063001707,4476,5362,5668,5825,4847,5087,5221,5652,5851,22938,25599,26174
37063001708,2252,6023,7427,6282,5374,6674,5237,5254,5133,7225,4352,3542
37063001709,1659,1717,1610,1472,1668,2048,1737,2424,2277,3025,3293,3115
37063001710,2582,2229,2598,2092,2230,2244,2381,2311,2148,2533,3293,3700
37063001711,2102,1849,2278,1539,1653,1769,1678,2337,3114,9175,10830,11306
37063001801,2908,3114,3156,2712,2651,2986,2206,2124,2009,2612,2924,3243
37063001802,2042,2094,1795,1731,1609,1463,1364,1691,1981,2543,2604,2442
37063001806,2277,2123,2329,2543,2357,2885,2970,3493,3307,4017,4090,5748
37063001807,1528,1847,2711,2417,2948,6772,6174,9241,10156,11093,7939,8179
37063001808,5999,5978,2855,3365,3310,2818,2984,3527,3364,4133,4125,6016
37063001809,3752,3291,4159,4457,5728,5373,4670,3788,5150,10482,10060,10515
37063001900,4906,3787,3767,3716,3719,3348,3810,4081,4221,4299,4754,5298
37063002007,4351,4548,4341,4088,5520,4970,4795,5636,6691,5119,6297,9772
37063002008,8108,7466,10028,10576,12326,14774,16366,13658,15614,11936,14016,15683
37063002009,2581,2822,3086,3293,2405,1864,1596,1744,1627,1551,4049,6419
37063002013,2964,2970,3436,2318,2597,2742,3210,2818,3589,4733,4328,4736
37063002015,2921,3319,2768,3688,3504,4413,3986,4234,4824,5116,5288,6848
37063002016,2127,2866,2925,2908,2603,3409,2661,4304,3234,10310,10084,12598
37063002017,4232,3903,4970,4295,5363,4070,5932,5804,6812,11171,11319,14010
37063002018,5505,5991,5720,5682,4583,4966,6924,7033,8136,19282,19316,11922
37063002019,3999,7638,8605,10685,8782,9137,5911,7233,6969,6878,8497,7759
37063002020,4756,5137,6050,5617,4813,4795,6601,4634,5742,5118,6443,7469
37063002021,6494,4519,5873,5593,6379,7695,8145,10684,7048,8604,6350,6161
37063002022,4615,6967,8216,10196,6854,5753,4027,4807,4713,6208,6495,6241
37063002023,3995,3901,5517,4092,4975,4236,3353,3635,3555,6478,8144,9492
37063002024,5130,3778,5013,5150,6050,6665,7052,6526,5075,6637,6473,4858
37063002025,2441,3054,3383,3336,3486,3187,4073,3355,3815,4319,4158,4413
37063002026,3075,3524,2905,2927,2480,3005,3550,4765,3867,5665,5999,6636
37063002027,3118,2840,2902,3135,2869,3331,3265,3281,3394,7547,12053,12001
37063002028,3707,3832,3361,3486,7633,8231,7638,8481,7876,10113,10609,11387
37063002100,4874,6363,6228,5479,5663,5476,4869,3277,4166,4899,9275,10675
37063002200,12488,11926,11643,13552,11030,6926,4381,6444,8334,9847,13505,17401
37063002300,2091,1438,1476,1443,4091,4248,3894,4530,7505,3616,4427,8574
37063980100,,23072,20639,,,,,,,,,
