id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022
37063000101,10,7,13,11,9,8,10,8,9,9,9,13
37063000102,12,11,7,6,5,7,8,9,10,5,5,6
37063000200,8,10,11,13,10,8,9,10,8,5,5,4
37063000301,12,8,10,8,10,8,8,8,8,1,1,3
37063000302,6,6,9,7,6,6,6,6,7,4,4,4
37063000401,7,8,11,10,9,9,8,7,7,5,5,8
37063000402,14,6,8,8,6,6,6,5,7,9,9,12
37063000500,8,7,8,7,8,8,9,9,9,4,4,2
37063000600,8,7,8,8,8,8,8,8,8,14,13,11
37063000700,6,5,5,5,3,4,4,6,8,3,3,4
37063000900,15,8,6,8,9,11,14,11,11,9,8,8
37063001001,10,11,10,9,7,6,8,9,11,11,11,5
37063001002,13,8,9,11,10,9,11,9,7,4,4,3
37063001100,10,9,11,11,11,11,12,11,12,5,5,7
37063001301,17,13,12,10,7,7,9,8,9,2,2,5
37063001303,9,6,4,3,4,4,4,4,5,3,3,3
37063001304,16,11,8,7,8,8,9,10,13,9,11,10
37063001400,13,14,13,12,13,13,18,15,17,4,4,4
37063001501,17,3,4,3,5,7,8,6,9,3,3,1
37063001502,8,8,8,6,5,7,8,7,7,7,7,9
37063001503,27,7,7,6,9,7,8,11,16,12,12,3
37063001601,7,6,7,6,6,6,6,6,6,4,4,3
37063001603,8,8,8,8,8,8,7,7,7,8,8,7
37063001604,6,6,6,6,8,8,8,7,8,3,3,3
37063001705,7,8,8,7,8,8,7,7,6,3,3,2
37063001706,6,5,5,7,8,7,8,7,7,3,3,2
37063001707,5,5,5,6,6,6,6,7,7,13,12,10
37063001708,12,9,7,7,7,8,7,8,9,7,8,8
37063001709,9,7,9,7,7,8,10,8,8,3,3,8
37063001710,10,7,7,7,7,7,8,7,7,3,3,4
37063001711,6,6,5,6,6,6,7,7,8,7,6,7
37063001801,7,7,7,8,7,8,8,8,8,5,6,5
37063001802,11,10,7,8,8,7,8,9,9,10,12,12
37063001806,9,7,10,9,8,7,6,9,9,3,3,7
37063001807,6,6,6,7,6,7,6,5,6,22,23,20
37063001808,10,5,5,6,5,5,6,6,7,3,3,3
37063001809,5,5,5,5,5,10,9,8,7,6,6,7
37063001900,9,7,6,6,8,7,6,7,7,3,3,3
37063002007,7,6,6,6,7,5,5,6,7,5,5,3
37063002008,9,5,5,4,5,6,6,7,6,2,2,2
37063002009,8,7,7,6,6,8,8,7,8,4,5,7
37063002013,5,4,5,9,8,8,9,7,6,4,4,4
37063002015,8,7,9,8,10,6,7,6,6,5,5,6
37063002016,10,9,9,8,11,10,11,14,14,26,26,17
37063002017,5,5,5,5,5,4,4,5,6,12,12,11
37063002018,6,5,4,4,3,4,4,4,4,4,4,17
37063002019,7,7,7,6,6,6,6,7,5,6,6,1
37063002020,5,6,6,6,6,6,5,5,5,3,3,5
37063002021,7,6,6,7,6,6,5,7,7,4,4,4
37063002022,8,7,7,7,5,5,5,6,7,3,2,8
37063002023,11,9,9,9,8,7,6,7,7,4,5,4
37063002024,5,5,6,5,5,6,6,5,6,2,2,2
37063002025,5,5,6,7,6,5,6,6,6,2,2,1
37063002026,8,7,7,6,6,6,6,7,6,2,2,5
37063002027,7,7,7,7,6,6,6,5,6,17,18,17
37063002028,7,5,6,6,6,4,4,4,4,8,8,10
37063002100,8,7,7,6,7,7,8,8,9,4,4,5
37063002200,7,7,6,6,5,6,7,7,7,10,9,8
37063002300,37,14,12,12,15,15,11,17,12,1,1,6
37063980100,408,32,37,50,,,,,,0,0,4
