"id","y_1970","y_1980","y_1990","y_2000","y_2010","y_2015","y_2016"
37063000101,,,,,,443,424
37063000102,,,,,,405,445
37063000200,,,,,,382,424
37063000301,,,,,,251,277
37063000302,,,,,,317,372
37063000401,,,,,,171,151
37063000402,,,,,,167,184
37063000500,,,,,,381,413
37063000600,,,,,,540,602
37063000700,,,,,,318,327
37063000900,,,,,,279,307
37063001001,,,,,,722,666
37063001002,,,,,,712,708
37063001100,,,,,,377,405
37063001301,,,,,,228,209
37063001303,,,,,,411,330
37063001304,,,,,,347,345
37063001400,,,,,,296,375
37063001501,,,,,,345,530
37063001502,,,,,,637,533
37063001503,,,,,,194,225
37063001601,,,,,,549,609
37063001603,,,,,,363,452
37063001604,,,,,,376,397
37063001705,,,,,,337,381
37063001706,,,,,,391,417
37063001707,,,,,,397,336
37063001708,,,,,,442,328
37063001709,,,,,,666,668
37063001710,,,,,,384,449
37063001711,,,,,,481,461
37063001801,,,,,,602,754
37063001802,,,,,,829,682
37063001806,,,,,,362,388
37063001807,,,,,,852,791
37063001808,,,,,,486,424
37063001809,,,,,,624,382
37063001900,,,,,,238,268
37063002007,,,,,,459,484
37063002008,,,,,,165,202
37063002009,,,,,,323,417
37063002013,,,,,,304,302
37063002015,,,,,,522,547
37063002016,,,,,,493,573
37063002017,,,,,,405,407
37063002018,,,,,,610,705
37063002019,,,,,,488,475
37063002020,,,,,,484,476
37063002021,,,,,,449,538
37063002022,,,,,,273,341
37063002023,,,,,,372,345
37063002024,,,,,,405,429
37063002025,,,,,,501,396
37063002026,,,,,,610,581
37063002027,,,,,,692,708
37063002028,,,,,,471,390
37063002100,,,,,,519,427
37063002200,,,,,,270,223
37063002300,,,,,,250,230
37063980100,,,,,,12,12
