id,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021,y_2022,y_2023
37063000101,2,2,3,3,3,11,3,3
37063000102,2,2,2,3,3,7,3,4
37063000200,3,2,2,2,3,13,4,5
37063000301,3,3,3,4,4,22,9,8
37063000302,2,2,2,2,2,13,6,7
37063000401,3,3,3,3,3,25,11,11
37063000402,3,4,3,3,3,4,1,1
37063000500,3,3,3,2,2,19,8,8
37063000600,2,2,2,2,3,26,12,12
37063000700,4,3,3,4,4,25,9,10
37063000900,6,6,5,6,4,13,3,4
37063001001,2,2,3,3,3,28,10,15
37063001002,2,2,2,2,2,21,23,21
37063001100,3,2,3,3,3,18,5,5
37063001301,2,3,3,3,4,8,3,3
37063001303,2,2,2,2,2,13,4,5
37063001304,3,3,3,3,3,14,3,4
37063001400,3,3,3,3,2,27,13,12
37063001501,0,0,0,0,0,0,0,0
37063001502,2,2,2,2,2,6,3,3
37063001503,1,1,1,1,1,0,1,1
37063001601,3,3,3,3,3,31,11,12
37063001603,3,3,3,3,3,29,11,11
37063001604,3,4,4,4,4,30,14,13
37063001705,4,4,5,5,4,23,11,10
37063001706,3,3,3,3,3,10,3,4
37063001707,4,4,4,4,3,48,22,18
37063001708,2,3,2,3,3,7,4,3
37063001709,3,3,2,2,3,30,13,11
37063001710,2,2,2,2,2,11,3,4
37063001711,2,2,3,2,2,11,4,4
37063001801,2,2,3,3,2,26,15,12
37063001802,2,2,2,3,3,23,13,19
37063001806,3,2,2,2,2,23,15,14
37063001807,2,2,2,2,2,11,6,9
37063001808,2,2,2,2,2,15,6,3
37063001809,2,2,2,2,2,16,6,5
37063001900,3,2,3,3,4,44,8,9
37063002007,4,4,5,5,5,43,18,15
37063002008,5,4,4,4,4,29,13,13
37063002009,3,3,3,3,3,41,15,12
37063002013,2,2,3,2,3,26,10,10
37063002015,2,3,2,2,2,65,29,21
37063002016,2,2,1,2,2,4,2,2
37063002017,3,3,3,3,3,36,9,7
37063002018,3,3,3,3,3,33,9,10
37063002019,4,3,4,5,4,21,8,9
37063002020,2,2,2,2,2,17,4,4
37063002021,3,3,4,3,3,8,2,3
37063002022,3,3,3,3,4,18,4,4
37063002023,2,3,3,3,3,14,4,4
37063002024,2,3,3,3,3,28,4,6
37063002025,3,3,3,2,3,16,6,6
37063002026,3,2,3,3,2,7,4,2
37063002027,2,2,2,3,3,18,7,5
37063002028,1,2,2,2,2,15,4,6
37063002100,2,3,3,3,3,30,9,12
37063002200,3,3,3,4,3,9,2,2
37063002300,2,2,2,2,2,13,4,3
