id,y_2011,y_2016,y_2019,y_2021,y_2022,y_2023
37063000101,6,0,1,1,4,3
37063000102,1,0,2,1,11,11
37063000200,1,2,1,2,3,3
37063000301,1,1,0,3,3,3
37063000302,0,0,0,2,2,2
37063000401,1,1,1,3,6,5
37063000402,3,1,1,1,6,6
37063000500,1,1,1,5,9,9
37063000600,1,1,1,2,6,6
37063000700,0,1,2,3,2,2
37063000900,4,2,2,2,2,2
37063001001,5,2,1,5,6,8
37063001002,2,2,2,3,4,4
37063001100,1,1,1,1,6,6
37063001301,6,1,1,1,8,7
37063001303,0,1,1,1,1,1
37063001304,0,10,9,1,2,3
37063001400,2,0,1,2,2,3
37063001501,2,0,0,1,1,1
37063001502,1,1,3,4,7,7
37063001503,2,1,1,1,1,1
37063001601,0,2,1,2,5,6
37063001603,2,1,0,4,10,11
37063001604,1,1,1,2,7,8
37063001705,0,1,1,3,7,6
37063001706,1,1,1,1,5,5
37063001707,2,0,1,4,7,7
37063001708,5,1,1,1,6,7
37063001709,3,3,3,2,9,8
37063001710,3,1,1,1,3,2
37063001711,1,1,1,1,3,3
37063001801,1,0,0,2,9,8
37063001802,0,1,1,7,9,10
37063001806,0,0,2,1,4,5
37063001807,2,1,1,1,7,7
37063001808,4,1,1,1,3,3
37063001809,0,1,1,1,5,4
37063001900,1,2,1,1,10,10
37063002007,1,1,1,2,5,5
37063002008,1,3,2,1,4,4
37063002009,1,1,1,2,2,2
37063002013,3,1,2,2,6,7
37063002015,0,0,0,2,4,4
37063002016,0,1,1,1,6,8
37063002017,1,1,1,3,8,6
37063002018,0,1,1,1,6,6
37063002019,0,0,0,1,2,1
37063002020,1,3,2,1,3,2
37063002021,1,0,0,1,3,3
37063002022,2,0,0,1,3,5
37063002023,2,1,0,2,2,3
37063002024,1,0,1,2,7,7
37063002025,0,1,1,1,2,2
37063002026,1,0,0,0,1,1
37063002027,1,0,0,1,6,6
37063002028,2,1,1,2,6,5
37063002100,1,1,1,1,9,10
37063002200,1,1,1,1,2,2
37063002300,5,1,1,1,1,1
