id,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021,y_2022,y_2023
37063000101,4,6,2,4,4,20,29,23
37063000102,3,2,4,3,4,14,85,42
37063000200,5,4,4,6,6,41,35,26
37063000301,6,6,3,5,5,35,35,20
37063000302,2,1,3,4,7,39,21,20
37063000401,3,4,6,6,6,34,62,58
37063000402,9,8,7,4,6,9,68,42
37063000500,5,5,6,4,3,31,32,36
37063000600,5,6,5,6,4,41,42,42
37063000700,4,5,6,6,6,36,35,35
37063000900,2,2,5,6,6,25,9,9
37063001001,3,5,3,2,3,35,32,32
37063001002,6,4,3,4,4,82,28,25
37063001100,4,4,4,4,3,17,30,29
37063001301,3,2,2,2,2,17,26,27
37063001303,3,3,4,3,5,9,18,21
37063001304,2,3,1,1,2,12,15,16
37063001400,0,2,1,1,2,29,32,29
37063001501,7,8,8,5,4,9,7,7
37063001502,4,3,4,4,5,31,43,36
37063001503,8,6,7,7,9,11,8,7
37063001601,3,1,7,6,6,29,53,52
37063001603,8,6,5,3,3,44,119,101
37063001604,3,2,2,2,2,25,74,80
37063001705,5,6,7,6,6,23,63,64
37063001706,5,5,5,3,2,16,49,43
37063001707,5,4,3,3,3,65,98,75
37063001708,2,4,4,4,4,6,30,30
37063001709,4,3,3,3,4,30,31,32
37063001710,4,4,4,4,4,26,24,18
37063001711,5,4,4,3,5,17,53,56
37063001801,5,4,4,3,3,54,57,106
37063001802,2,2,2,2,2,62,25,24
37063001806,5,3,5,3,4,40,41,47
37063001807,2,2,1,3,3,17,85,69
37063001808,2,4,4,2,3,17,40,36
37063001809,5,5,4,5,6,22,85,63
37063001900,4,5,5,5,5,19,65,69
37063002007,6,6,8,8,6,35,107,49
37063002008,7,6,6,3,5,45,26,26
37063002009,1,1,1,1,2,23,5,5
37063002013,2,3,4,4,3,23,44,34
37063002015,5,6,6,7,7,31,103,68
37063002016,5,5,5,5,6,25,35,60
37063002017,3,2,3,2,6,23,83,64
37063002018,3,4,1,7,9,34,108,101
37063002019,10,6,4,2,7,28,17,21
37063002020,5,4,5,6,3,18,50,57
37063002021,10,7,7,10,6,25,35,40
37063002022,7,5,3,4,4,11,31,13
37063002023,5,5,7,3,5,16,30,29
37063002024,3,5,5,4,3,30,71,59
37063002025,7,4,4,3,5,10,17,23
37063002026,5,5,4,5,4,28,10,11
37063002027,5,6,4,5,5,22,74,77
37063002028,6,5,4,4,3,15,85,81
37063002100,3,3,3,3,9,28,91,104
37063002200,14,7,5,4,11,11,17,21
37063002300,3,3,4,5,4,17,7,8
