id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022
37063000101,20,19,21,17,21,19,20,21,38,36,42,41
37063000102,17,17,15,14,12,13,13,14,7,18,18,23
37063000200,20,20,18,18,17,14,18,17,25,46,64,51
37063000301,13,12,10,11,13,12,10,12,6,59,71,60
37063000302,14,13,14,11,11,11,11,12,3,51,59,50
37063000401,29,20,23,19,20,21,19,12,6,46,63,51
37063000402,15,12,14,14,14,13,11,10,18,10,10,10
37063000500,12,11,13,11,10,10,13,13,25,43,54,53
37063000600,15,15,13,16,15,14,16,19,12,60,61,75
37063000700,16,16,13,14,12,11,12,13,18,64,69,65
37063000900,18,15,17,16,16,15,16,13,28,28,32,35
37063001001,15,16,17,15,13,14,15,14,28,41,47,53
37063001002,14,16,15,14,14,15,15,14,25,58,55,71
37063001100,15,13,13,13,11,11,11,11,9,24,27,28
37063001301,35,21,15,15,13,14,14,16,29,9,11,10
37063001303,34,13,13,13,11,16,18,15,43,28,27,30
37063001304,12,12,12,13,13,14,14,13,24,14,15,12
37063001400,14,14,12,14,17,16,17,20,7,26,26,22
37063001501,274,50,34,31,53,45,53,39,179,281,151,346
37063001502,8,8,8,9,9,8,8,9,17,30,29,30
37063001503,377,,,,,,,,,,,
37063001601,58,32,29,32,17,25,21,29,97,99,123,116
37063001603,113,61,20,18,15,18,32,29,111,,,
37063001604,16,30,37,26,26,25,20,25,10,162,173,154
37063001705,16,14,16,12,13,13,17,17,24,62,43,53
37063001706,13,10,12,13,13,13,14,14,4,28,28,29
37063001707,13,12,13,13,12,13,13,12,23,,,
37063001708,13,12,17,17,18,16,15,14,29,8,11,11
37063001709,13,12,13,11,13,13,13,13,9,56,63,52
37063001710,17,17,16,16,15,16,19,17,32,22,24,23
37063001711,11,11,11,11,10,11,10,11,8,30,29,30
37063001801,28,22,18,19,19,21,23,25,42,119,109,654
37063001802,17,18,17,17,17,15,15,18,31,79,83,229
37063001806,49,32,30,31,22,14,14,21,68,458,1029,265
37063001807,18,18,17,17,19,18,17,18,24,114,67,60
37063001808,75,17,16,18,15,15,27,22,38,82,91,92
37063001809,16,17,17,15,14,15,17,16,8,42,38,39
37063001900,69,15,14,20,24,25,20,11,60,45,34,41
37063002007,21,19,19,16,17,15,19,14,5,143,191,
37063002008,107,34,32,36,40,44,41,45,41,,,
37063002009,22,16,17,15,16,16,16,17,36,47,62,54
37063002013,31,22,21,23,18,20,19,21,38,98,103,106
37063002015,14,13,11,13,12,11,13,12,13,40,45,43
37063002016,10,8,9,10,9,10,11,12,4,25,24,22
37063002017,11,12,12,13,14,12,13,12,24,59,58,51
37063002018,12,12,12,13,13,14,13,13,21,44,37,40
37063002019,16,15,13,16,13,13,12,12,19,88,71,65
37063002020,210,55,47,56,50,43,42,60,108,142,154,131
37063002021,24,23,23,22,21,14,11,14,10,33,31,37
37063002022,20,18,15,17,14,11,13,13,11,25,22,26
37063002023,23,19,17,17,16,12,12,12,11,23,27,28
37063002024,23,18,13,17,16,17,17,20,38,98,85,65
37063002025,18,24,23,27,19,20,20,16,36,46,61,58
37063002026,16,16,14,14,13,14,17,15,8,32,28,33
37063002027,13,13,12,12,11,12,13,12,7,30,31,26
37063002028,9,8,8,9,9,9,9,9,8,29,26,41
37063002100,15,22,30,37,43,31,57,32,80,144,388,365
37063002200,22,13,11,11,9,9,10,12,5,15,16,15
37063002300,17,20,17,17,16,14,19,14,27,21,18,16
