id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022
37063000101,1,2,3,2,2,2,2,3,2,9,11,11
37063000102,3,2,3,2,2,1,1,1,2,4,5,7
37063000200,3,3,4,4,3,2,2,4,4,3,3,3
37063000301,2,3,2,2,2,3,3,3,4,8,7,8
37063000302,3,4,5,5,3,3,4,4,4,6,6,7
37063000401,6,4,4,4,4,4,4,5,4,13,15,17
37063000402,7,6,7,8,5,5,5,5,5,16,15,15
37063000500,2,4,4,3,3,6,3,3,3,6,7,7
37063000600,4,4,3,3,3,3,3,3,3,9,11,11
37063000700,6,3,2,3,4,4,4,4,5,6,8,7
37063000900,13,2,2,2,1,2,1,1,2,4,5,6
37063001001,9,3,4,3,3,3,3,1,2,4,8,7
37063001002,6,5,1,1,1,1,1,1,1,2,3,6
37063001100,4,3,3,2,2,3,4,4,5,6,6,8
37063001301,31,3,3,1,1,1,4,3,4,5,5,4
37063001303,4,5,7,8,8,6,6,6,6,5,5,4
37063001304,3,3,4,3,3,3,2,1,1,1,2,2
37063001400,12,3,4,5,4,5,5,4,5,4,2,1
37063001501,4,5,7,10,10,11,12,7,9,9,8,9
37063001502,4,1,1,1,1,1,1,1,1,16,16,19
37063001503,6,13,10,8,14,17,16,17,16,8,9,35
37063001601,3,2,3,3,3,3,3,3,3,3,5,7
37063001603,3,3,2,2,2,3,3,3,2,6,7,8
37063001604,3,2,2,3,3,3,4,4,4,6,7,7
37063001705,4,3,3,1,1,2,4,4,2,3,4,4
37063001706,2,3,2,3,2,2,1,2,2,3,5,4
37063001707,2,2,2,3,3,4,4,4,4,30,27,26
37063001708,4,5,3,4,3,2,2,1,2,5,6,6
37063001709,3,3,3,3,3,2,1,1,2,4,5,5
37063001710,3,4,2,2,2,3,4,4,2,4,5,5
37063001711,5,1,2,2,2,2,1,2,2,15,15,14
37063001801,3,2,2,2,2,2,3,3,2,6,6,7
37063001802,3,3,3,3,2,2,3,3,4,4,6,4
37063001806,2,3,2,2,2,1,2,3,3,3,4,4
37063001807,3,2,2,2,2,2,2,2,2,11,13,16
37063001808,4,3,3,3,3,3,3,2,4,4,5,5
37063001809,1,2,2,3,2,3,3,3,3,13,12,13
37063001900,3,3,3,2,4,3,3,4,4,6,6,9
37063002007,3,4,5,3,4,4,4,3,5,4,5,6
37063002008,3,4,4,4,4,4,3,3,4,5,6,6
37063002009,3,3,2,2,2,1,1,1,2,3,3,5
37063002013,2,2,3,2,3,2,3,3,3,5,6,6
37063002015,1,1,2,1,3,3,3,3,2,2,4,5
37063002016,1,2,2,2,2,2,1,1,1,4,11,11
37063002017,3,3,3,3,4,4,3,3,3,22,25,24
37063002018,2,3,4,3,3,3,3,2,2,18,19,16
37063002019,4,4,3,3,3,3,4,4,4,6,6,6
37063002020,4,4,4,4,4,3,3,4,3,8,8,7
37063002021,4,4,4,3,3,1,2,3,3,3,8,8
37063002022,1,2,2,2,3,3,3,3,3,4,6,5
37063002023,3,3,3,2,4,4,3,3,3,4,5,6
37063002024,5,3,3,3,3,3,3,2,3,4,13,12
37063002025,3,2,3,3,4,4,4,3,4,4,7,7
37063002026,1,1,2,2,3,2,3,4,3,12,12,10
37063002027,0,1,2,1,3,3,3,3,3,9,10,10
37063002028,2,2,3,2,2,2,2,2,2,9,12,13
37063002100,2,2,2,2,2,2,2,3,3,5,6,6
37063002200,2,2,3,2,2,3,3,4,4,6,6,6
37063002300,36,5,3,3,4,3,3,3,1,4,4,5
37063980100,408,24,29,50,,,,,,0,0,7
