id,y_2015,y_2019,y_2020,y_2021
37063000101,0.64,0.6,0.59,0.58
37063000102,0.67,0.71,0.71,0.7
37063000200,0.67,0.63,0.67,0.69
37063000301,0.7,0.65,0.67,0.66
37063000302,0.59,0.54,0.52,0.56
37063000401,0.18,0.3,0.37,0.39
37063000402,0.46,0.37,0.48,0.52
37063000500,0.62,0.64,0.65,0.67
37063000600,0.68,0.64,0.64,0.66
37063000700,0.61,0.49,0.44,0.54
37063000900,0.48,0.61,0.67,0.68
37063001001,0.56,0.57,0.63,0.59
37063001002,0.57,0.62,0.62,0.65
37063001100,0.49,0.54,0.52,0.59
37063001301,0.39,0.3,0.5,0.48
37063001303,0.36,0.38,0.45,0.51
37063001304,0.25,0.49,0.5,0.53
37063001400,0.28,0.32,0.43,0.48
37063001501,0.68,0.68,0.65,0.61
37063001502,0.75,0.78,0.75,0.74
37063001503,0.72,0.67,0.64,0.61
37063001601,0.59,0.61,0.61,0.6
37063001603,0.52,0.5,0.36,0.41
37063001604,0.31,0.38,0.52,0.57
37063001705,0.58,0.55,0.59,0.64
37063001706,0.67,0.63,0.66,0.65
37063001707,0.37,0.32,0.25,0.29
37063001708,0.46,0.53,0.44,0.45
37063001709,0.45,0.45,0.51,0.51
37063001710,0.68,0.65,0.64,0.67
37063001711,0.66,0.65,0.65,0.65
37063001801,0.64,0.66,0.65,0.66
37063001802,0.59,0.59,0.58,0.6
37063001806,0.59,0.61,0.64,0.68
37063001807,0.59,0.6,0.64,0.64
37063001808,0.66,0.63,0.61,0.62
37063001809,0.71,0.62,0.65,0.67
37063001900,0.32,0.4,0.42,0.43
37063002007,0.55,0.51,0.55,0.55
37063002008,0.27,0.29,0.23,0.28
37063002009,0.22,0.43,0.5,0.39
37063002013,0.59,0.61,0.59,0.59
37063002015,0.69,0.7,0.69,0.71
37063002016,0.72,0.73,0.72,0.73
37063002017,0.45,0.42,0.52,0.51
37063002018,0.49,0.6,0.61,0.58
37063002019,0.41,0.4,0.44,0.45
37063002020,0.53,0.55,0.61,0.62
37063002021,0.62,0.66,0.65,0.65
37063002022,0.6,0.65,0.66,0.68
37063002023,0.51,0.6,0.58,0.53
37063002024,0.54,0.49,0.49,0.45
37063002025,0.65,0.65,0.63,0.65
37063002026,0.43,0.55,0.58,0.56
37063002027,0.71,0.67,0.67,0.66
37063002028,0.67,0.69,0.69,0.68
37063002100,0.51,0.53,0.51,0.51
37063002200,0.5,0.58,0.57,0.55
37063002300,0.44,0.61,0.65,0.69
