year,fips,value
2014,37063002028,4111
2014,37063001802,2648
2018,37063000302,1789
2014,37063002013,1870
2018,37063002024,3268
2018,37063001301,704
2018,37063002300,1385
2014,37063001707,3351
2018,37063000700,2183
2014,37063001801,2850
2014,37063002021,2348
2014,37063001002,2300
2020,37063002007,2295
2020,37063001603,2684
2020,37063001100,1473
2020,37063000301,1259
2014,37063001601,2572
2014,37063002015,2657
2018,37063001002,2308
2020,37063002018,52795
2020,37063001705,2744
2014,37063002019,2764
2014,37063000900,846
2014,37063000302,1768
2018,37063000600,2597
2014,37063001303,802
2020,37063001807,5356
2014,37063001808,3115
2020,37063001709,2948
2018,37063002017,3655
2020,37063001710,1913
2020,37063000302,1752
2018,37063001707,3491
2018,37063002021,2314
2014,37063000102,1951
2018,37063002013,1916
2014,37063001705,2481
2018,37063001806,2503
2018,37063001708,1705
2014,37063000200,1528
2014,37063001001,1490
2014,37063001503,0
2018,37063000101,1330
2018,37063000500,2453
2018,37063001709,3491
2018,37063000900,901
2020,37063000402,2217
2014,37063001711,2156
2014,37063002026,2869
2018,37063002028,6909
2014,37063001501,137
2018,37063001501,137
2014,37063001809,2809
2018,37063001711,2938
2020,37063001809,3329
2020,37063001711,2286
2020,37063002025,2634
2014,37063001708,1709
2020,37063000900,929
2020,37063001708,1663
2018,37063000401,1253
2014,37063002025,2560
2014,37063000401,1227
2020,37063000401,1264
2020,37063001801,3040
2020,37063002016,4368
2018,37063001900,2533
2018,37063002026,2883
2014,37063001502,4093
2014,37063000301,1179
2020,37063000500,2822
2018,37063002009,1970
2014,37063001604,2679
2020,37063001002,2291
2014,37063000600,2574
2014,37063000101,1327
2020,37063002100,2739
2020,37063001400,1195
2020,37063001001,1529
2014,37063002300,552
2020,37063002013,4066
2020,37063001900,2748
2014,37063002017,3582
2018,37063001710,1885
2020,37063002028,20447
2014,37063001603,2659
2018,37063002007,2383
2014,37063001301,674
2018,37063001303,818
2018,37063002016,2834
2020,37063000200,1365
2020,37063002019,17505
2020,37063002020,2809
2020,37063000102,13610
2018,37063002019,2825
2020,37063001706,4394
2014,37063002022,2258
2018,37063002008,1249
2020,37063002024,5745
2014,37063000402,1558
2020,37063000101,1326
2018,37063001604,2703
2020,37063002015,2598
2014,37063002016,2821
2020,37063001802,6573
2020,37063000700,2031
2018,37063000102,1965
2018,37063001603,2721
2014,37063002027,4276
2020,37063001707,2971
2014,37063002009,1963
2014,37063001900,1441
2018,37063002025,2637
2020,37063001808,4287
2014,37063002023,1486
2014,37063002007,2367
2014,37063001706,2500
2018,37063000402,2215
2018,37063001503,0
2014,37063001709,3214
2018,37063000200,1551
2014,37063001710,1874
2020,37063002200,11107
2020,37063001304,1078
2018,37063000301,1248
2018,37063002015,2681
2020,37063001806,2457
2020,37063002027,5386
2014,37063002008,1225
2014,37063002200,801
2020,37063980100,
2018,37063980100,0
2018,37063001304,1100
2014,37063000700,1837
2020,37063002300,1277
2014,37063001304,1092
2020,37063000600,2300
2018,37063001400,1203
2020,37063002017,3820
2020,37063001303,778
2018,37063001705,2535
2018,37063001809,3186
2018,37063001100,1497
2020,37063001601,2352
2018,37063001801,3071
2020,37063002021,3238
2020,37063002008,1238
2018,37063001807,3751
2014,37063980100,0
2020,37063002022,2239
2018,37063001001,1565
2020,37063002026,5480
2018,37063002027,5364
2014,37063001100,1437
2014,37063001807,3517
2020,37063002009,1950
2020,37063002023,1340
2014,37063001806,2327
2014,37063002018,4715
2018,37063002023,1486
2018,37063001706,2766
2018,37063002022,2356
2020,37063001503,
2014,37063002024,3090
2018,37063002020,2832
2014,37063001400,1215
2018,37063001601,2642
2020,37063001301,686
2018,37063002200,1782
2018,37063002018,5322
2018,37063002100,2844
2014,37063000500,2434
2020,37063001604,2686
2020,37063001501,136
2018,37063001502,4258
2014,37063002020,2424
2014,37063002100,2558
2020,37063001502,8000
2018,37063001808,4219
2018,37063001802,2633
