id,y_1990,y_2000,y_2010,y_2018,y_2019,y_2020,y_2021
37063000101,304,451,399,627,787,513.49,541.99
37063000102,687,705,769,941,995,613.33,707.33
37063000200,672,761,882,1196,1192,1309,1297
37063000301,377,304,679,722,821,471.86,542.57
37063000302,1173,1239,1417,1875,1950,1857,1859
37063000401,799,996,1137,1633,1496,947.29,988.66
37063000402,288,423,990,1312,1416,1515.36,1681.18
37063000500,706,627,487,1032,910,710,800.67
37063000600,1864,1710,1571,2005,2182,1997.37,2273.71
37063000700,1007,1158,1159,1731,1917,1933,1865
37063000900,76,69,96,120,127,317,440
37063001001,209,112,147,338,332,381,469
37063001002,249,275,176,222,234,281,414
37063001100,21,109,40,332,395,353,423
37063001301,211,148,65,141,138,286,289
37063001303,350,357,142,374,375,699,651
37063001304,291,202,207,293,359,427,403
37063001400,168,231,188,165,163,351,280
37063001501,32,43,0,33,27,11,11
37063001502,1460,1283,1011,1810,1712,1470.67,1390
37063001503,0,8,13,25,28,13.67,2.67
37063001601,773,1345,1606,1904,1867,1604,1346
37063001603,856,1471,1712,1968,2178,1871.2,1992
37063001604,1435,1661,2167,2960,2878,1507.5,1475.5
37063001705,811,957,1188,1609,1696,1167.75,1305
37063001706,1334,1618,1758,2419,2712,2708,2741
37063001707,1073,2001,2637,3484,3546,3943.75,4042.5
37063001708,616,567,644,1254,1264,534,500.5
37063001709,166,361,798,810,889,750,772.5
37063001710,518,693,694,960,994,906,1181
37063001711,796,908,530,930,857,876.63,901.58
37063001801,400,716,675,1461,1489,1205,1280.83
37063001802,223,837,886,459,567,412.8,380.8
37063001806,195,553,971,1242,1404,1112,1148.67
37063001807,397,1124,1600,2061,2265,2341,2456
37063001808,139,575,1168,3780,4138,3136.67,3243.33
37063001809,150,616,1983,1611,1654,1216.32,1383.49
37063001900,136,233,751,1779,2008,585.16,668.23
37063002007,1901,2191,2245,2798,2973,2714,2706
37063002008,1150,1641,1626,2006,1933,2396,2399
37063002009,509,705,846,632,684,796,966
37063002013,1191,1585,1724,1858,1893,2020,2255
37063002015,1512,1649,1390,1324,1364,1099.5,1196.25
37063002016,1044,1142,1327,1402,1302,918,843
37063002017,1686,2456,3527,4269,4084,4375.97,4315.02
37063002018,1672,2894,3897,4806,5079,2650.79,2949.34
37063002019,529,1931,2441,3136,3296,1747.8,1728.6
37063002020,284,1034,2819,3818,3951,3438.67,3555.33
37063002021,295,1074,1944,1937,2507,2257,2237
37063002022,535,1950,1945,2297,2190,1920,1948
37063002023,999,1523,1635,1508,1562,1468,1653
37063002024,1670,2546,3257,3802,3915,3766,3521
37063002025,842,1316,1979,2863,2799,2822,2794
37063002026,618,966,1173,1981,1789,1599,1733
37063002027,448,1243,2719,3556,3633,1961.12,1790.29
37063002028,165,458,2094,4283,4695,1586.7,1834.6
37063002100,535,1516,2070,2314,2237,832.62,792.29
37063002200,206,269,514,1066,1185,1271,1412
37063002300,111,67,69,214,299,447,529
37063980100,44,123,25,0,0,0,0
