"id","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019","y_2020"
37063000101,6,6,8,8,6,8,8,7
37063000102,5,4,4,4,4,2,3,3
37063000200,1,1,2,2,2,2,1,0
37063000301,2,2,2,2,2,1,1,1
37063000302,2,2,1,1,1,1,1,1
37063000401,5,3,4,4,4,4,4,3
37063000402,4,4,4,4,4,4,5,5
37063000500,8,6,5,5,4,4,4,4
37063000600,5,6,6,6,7,6,6,5
37063000700,8,8,8,8,6,5,5,5
37063000900,4,4,4,4,3,2,3,2
37063001001,12,10,10,10,7,8,10,9
37063001002,4,5,6,5,5,4,4,4
37063001100,5,5,4,4,4,2,2,2
37063001301,3,1,3,2,2,3,2,2
37063001303,7,7,7,7,4,4,5,5
37063001304,5,5,5,5,5,3,2,2
37063001400,8,8,8,9,9,8,7,7
37063001501,0,0,0,0,0,0,0,0
37063001502,1,1,0,0,0,0,0,0
37063001503,0,0,0,0,0,0,0,0
37063001601,5,5,5,5,4,4,3,2
37063001603,8,8,9,9,7,7,6,6
37063001604,2,2,2,2,2,2,2,1
37063001705,8,8,10,10,8,6,6,7
37063001706,1,1,1,1,1,1,1,1
37063001707,1,1,1,1,1,1,2,2
37063001708,7,6,6,6,2,1,1,1
37063001709,10,10,10,10,9,9,9,9
37063001710,5,5,5,5,6,6,7,6
37063001711,5,5,5,5,5,5,4,4
37063001801,17,16,13,13,13,9,9,10
37063001802,17,15,12,12,12,11,11,11
37063001806,8,7,3,3,3,3,3,3
37063001807,23,22,21,21,22,21,18,18
37063001808,8,8,7,7,6,6,5,5
37063001809,8,8,7,7,7,6,7,7
37063001900,0,0,0,0,0,0,0,0
37063002007,3,2,1,1,1,2,2,2
37063002008,2,2,2,2,2,2,2,2
37063002009,27,28,23,23,25,22,21,20
37063002013,8,8,8,8,11,11,8,7
37063002015,9,10,9,9,10,12,8,8
37063002016,1,1,1,1,1,1,1,1
37063002017,5,6,4,4,3,3,3,5
37063002018,6,5,5,4,5,5,6,7
37063002019,1,0,2,2,1,0,0,0
37063002020,4,5,5,5,6,6,7,6
37063002021,1,1,2,3,3,3,3,3
37063002022,5,4,5,5,3,3,3,2
37063002023,5,5,6,5,4,2,3,3
37063002024,5,7,6,6,5,5,5,4
37063002025,8,8,8,8,9,9,10,10
37063002026,6,6,7,7,6,6,7,6
37063002027,13,13,14,14,14,14,12,12
37063002028,5,3,5,5,4,4,5,5
37063002100,1,0,1,1,1,1,1,1
37063002200,4,3,3,3,3,2,2,2
37063002300,0,0,1,0,1,0,0,0
37063980100,4,1,4,4,4,4,4,3
