id,y_2015,y_2017
37063000101,51,65
37063000102,43,50
37063000200,26,30
37063000301,23,28
37063000302,18,26
37063000401,31,23
37063000402,11,10
37063000500,37,41
37063000600,46,54
37063000700,40,47
37063000900,27,26
37063001001,61,70
37063001002,58,71
37063001100,54,63
37063001301,19,23
37063001303,53,44
37063001304,35,55
37063001400,38,44
37063001501,0,0
37063001502,41,45
37063001503,,
37063001601,85,101
37063001603,92,100
37063001604,83,95
37063001705,82,103
37063001706,43,51
37063001707,116,137
37063001708,62,71
37063001709,118,130
37063001710,40,45
37063001711,52,65
37063001801,89,134
37063001802,95,89
37063001806,66,66
37063001807,77,83
37063001808,68,81
37063001809,41,56
37063001900,36,67
37063002007,75,77
37063002008,30,29
37063002009,110,118
37063002013,42,38
37063002015,62,56
37063002016,21,41
37063002017,76,85
37063002018,55,54
37063002019,10,18
37063002020,32,34
37063002021,25,27
37063002022,42,41
37063002023,21,15
37063002024,42,49
37063002025,52,67
37063002026,81,90
37063002027,68,89
37063002028,30,36
37063002100,66,97
37063002200,13,18
37063002300,14,26
37063980100,0,0
