id,y_2015,y_2017
37063000101,8,6
37063000102,10,9
37063000200,5,7
37063000301,8,9
37063000302,0,3
37063000401,3,3
37063000402,0,3
37063000500,5,9
37063000600,15,15
37063000700,3,4
37063000900,4,0
37063001001,7,10
37063001002,20,36
37063001100,6,14
37063001301,4,7
37063001303,0,0
37063001304,4,4
37063001400,3,0
37063001501,0,0
37063001502,15,17
37063001503,,
37063001601,4,6
37063001603,3,11
37063001604,3,4
37063001705,13,16
37063001706,0,3
37063001707,3,3
37063001708,7,14
37063001709,10,15
37063001710,3,7
37063001711,5,11
37063001801,10,20
37063001802,16,26
37063001806,4,4
37063001807,15,26
37063001808,8,10
37063001809,10,8
37063001900,0,0
37063002007,0,0
37063002008,0,0
37063002009,6,8
37063002013,3,3
37063002015,12,20
37063002016,8,12
37063002017,5,6
37063002018,3,6
37063002019,0,0
37063002020,0,6
37063002021,0,4
37063002022,4,3
37063002023,0,4
37063002024,5,3
37063002025,5,5
37063002026,3,9
37063002027,6,9
37063002028,6,7
37063002100,3,4
37063002200,0,3
37063002300,0,0
37063980100,,
