id,y_2015,y_2017
37063000101,65,66
37063000102,82,75
37063000200,40,61
37063000301,53,48
37063000302,45,53
37063000401,45,39
37063000402,20,30
37063000500,54,56
37063000600,101,117
37063000700,89,97
37063000900,47,60
37063001001,77,97
37063001002,105,133
37063001100,110,142
37063001301,39,40
37063001303,60,64
37063001304,57,66
37063001400,46,59
37063001501,0,0
37063001502,74,72
37063001503,,
37063001601,152,176
37063001603,178,196
37063001604,191,212
37063001705,134,156
37063001706,81,86
37063001707,217,249
37063001708,101,115
37063001709,136,171
37063001710,74,82
37063001711,59,70
37063001801,161,182
37063001802,121,142
37063001806,129,143
37063001807,150,178
37063001808,124,154
37063001809,98,111
37063001900,109,160
37063002007,128,160
37063002008,99,96
37063002009,141,147
37063002013,92,107
37063002015,90,90
37063002016,42,52
37063002017,172,209
37063002018,127,148
37063002019,43,50
37063002020,108,124
37063002021,56,61
37063002022,68,90
37063002023,40,48
37063002024,85,105
37063002025,94,110
37063002026,98,113
37063002027,106,121
37063002028,76,100
37063002100,201,228
37063002200,29,29
37063002300,30,24
37063980100,4,0
