id,y_2015,y_2017
37063000101,58,67
37063000102,110,97
37063000200,48,61
37063000301,36,45
37063000302,74,95
37063000401,126,111
37063000402,35,51
37063000500,31,48
37063000600,128,149
37063000700,97,109
37063000900,6,7
37063001001,40,45
37063001002,57,48
37063001100,34,60
37063001301,7,5
37063001303,3,6
37063001304,8,11
37063001400,6,10
37063001501,0,0
37063001502,44,43
37063001503,,
37063001601,284,315
37063001603,359,391
37063001604,358,427
37063001705,274,296
37063001706,141,166
37063001707,502,584
37063001708,57,69
37063001709,64,87
37063001710,113,113
37063001711,95,117
37063001801,235,246
37063001802,83,92
37063001806,206,230
37063001807,156,166
37063001808,197,242
37063001809,170,190
37063001900,214,359
37063002007,209,243
37063002008,162,188
37063002009,7,11
37063002013,160,169
37063002015,175,189
37063002016,61,85
37063002017,336,414
37063002018,255,292
37063002019,82,89
37063002020,128,185
37063002021,88,91
37063002022,110,129
37063002023,69,81
37063002024,142,192
37063002025,66,90
37063002026,25,38
37063002027,160,185
37063002028,98,151
37063002100,335,419
37063002200,20,43
37063002300,3,5
37063980100,5,0
