id,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020
37063000101,8,15,17,27,24,19,29,29,26
37063000102,7,24,12,20,18,29,25,34,25
37063000200,29,27,29,33,38,43,48,50,46
37063000301,15,16,14,26,24,36,34,15,30
37063000302,37,41,36,59,46,46,57,44,56
37063000401,37,40,50,62,56,35,69,53,42
37063000402,13,23,42,43,37,22,31,25,19
37063000500,53,57,48,41,41,25,29,21,73
37063000600,54,34,48,55,65,47,53,75,48
37063000700,35,36,49,44,71,28,37,29,49
37063000900,3,14,16,17,24,36,48,41,22
37063001001,20,17,23,29,40,47,40,47,51
37063001002,5,14,7,12,16,15,29,21,21
37063001100,48,33,33,24,37,42,30,23,23
37063001301,11,5,7,9,14,16,16,27,23
37063001303,8,2,4,4,6,11,20,34,9
37063001304,3,3,4,4,9,4,11,4,15
37063001400,4,7,1,5,6,2,8,5,5
37063001501,12,34,0,10,4,1,3,7,3
37063001502,32,6,6,10,12,8,9,42,30
37063001503,3,7,2,4,1,3,0,4,2
37063001601,28,26,25,37,48,28,32,29,33
37063001603,40,37,60,42,33,33,33,23,45
37063001604,41,33,31,47,48,55,46,48,43
37063001705,29,21,29,34,28,39,48,53,28
37063001706,89,87,123,54,8,20,42,34,72
37063001707,43,54,81,77,95,85,111,114,122
37063001708,23,89,5,8,9,6,4,2,3
37063001709,2,2,4,6,39,43,50,98,99
37063001710,5,7,7,11,31,12,11,10,14
37063001711,22,42,39,17,5,5,9,19,18
37063001801,41,26,54,36,65,42,20,30,32
37063001802,8,16,18,14,15,6,31,13,29
37063001806,44,41,25,38,50,60,50,78,162
37063001807,11,14,9,14,12,39,33,31,17
37063001808,213,316,286,289,355,366,200,149,110
37063001809,24,35,28,21,26,36,61,265,295
37063001900,14,97,226,329,304,305,403,328,248
37063002007,27,37,31,33,51,45,65,49,58
37063002008,51,62,57,57,71,54,78,47,43
37063002009,7,5,11,10,18,10,20,20,16
37063002013,24,12,18,22,48,65,79,75,46
37063002015,16,32,24,36,26,6,25,19,16
37063002016,10,14,13,22,27,17,9,4,12
37063002017,82,53,72,81,91,64,69,118,136
37063002018,111,129,55,56,48,91,131,102,125
37063002019,55,52,22,41,60,47,68,43,21
37063002020,63,130,98,199,159,172,203,216,211
37063002021,9,38,8,12,13,9,28,15,23
37063002022,34,5,7,12,9,11,20,32,44
37063002023,14,13,15,12,13,14,19,26,17
37063002024,53,67,67,84,120,64,46,33,40
37063002025,24,15,56,19,19,17,87,27,81
37063002026,78,74,3,16,7,21,19,191,43
37063002027,35,32,62,131,181,231,250,88,84
37063002028,141,111,95,194,277,202,360,397,446
37063002100,55,53,38,62,69,35,61,57,49
37063002200,20,32,19,16,34,27,21,32,41
37063002300,14,11,51,53,75,34,33,20,23
37063980100,0,1,1,0,0,0,0,0,1
