id,y_2015,y_2017
37063000101,219,230
37063000102,198,167
37063000200,153,137
37063000301,144,111
37063000302,64,63
37063000401,36,26
37063000402,24,15
37063000500,207,203
37063000600,178,160
37063000700,147,140
37063000900,198,190
37063001001,330,319
37063001002,419,418
37063001100,403,385
37063001301,149,142
37063001303,235,237
37063001304,270,276
37063001400,274,272
37063001501,0,0
37063001502,215,206
37063001503,,
37063001601,206,224
37063001603,127,148
37063001604,110,117
37063001705,126,151
37063001706,91,89
37063001707,65,74
37063001708,400,423
37063001709,617,638
37063001710,196,192
37063001711,242,220
37063001801,401,447
37063001802,524,504
37063001806,219,254
37063001807,550,547
37063001808,211,278
37063001809,140,151
37063001900,25,33
37063002007,216,215
37063002008,23,22
37063002009,674,625
37063002013,133,134
37063002015,149,146
37063002016,114,113
37063002017,44,58
37063002018,81,89
37063002019,20,22
37063002020,114,113
37063002021,95,102
37063002022,129,125
37063002023,51,48
37063002024,130,109
37063002025,326,308
37063002026,431,461
37063002027,266,272
37063002028,141,152
37063002100,112,123
37063002200,65,42
37063002300,125,124
37063980100,,
