id,y_2015,y_2017
37063000101,119,118
37063000102,136,140
37063000200,105,106
37063000301,91,83
37063000302,84,77
37063000401,58,54
37063000402,44,40
37063000500,96,106
37063000600,142,133
37063000700,104,99
37063000900,110,105
37063001001,199,178
37063001002,242,282
37063001100,233,226
37063001301,66,64
37063001303,82,89
37063001304,96,105
37063001400,98,104
37063001501,4,0
37063001502,152,166
37063001503,,
37063001601,240,266
37063001603,275,289
37063001604,255,273
37063001705,199,204
37063001706,132,116
37063001707,248,269
37063001708,190,210
37063001709,247,292
37063001710,147,157
37063001711,153,150
37063001801,301,320
37063001802,293,304
37063001806,233,257
37063001807,361,362
37063001808,248,312
37063001809,177,179
37063001900,143,185
37063002007,178,183
37063002008,80,74
37063002009,291,259
37063002013,182,180
37063002015,137,141
37063002016,98,99
37063002017,195,191
37063002018,154,176
37063002019,61,59
37063002020,172,177
37063002021,94,84
37063002022,106,103
37063002023,70,65
37063002024,151,162
37063002025,216,210
37063002026,197,207
37063002027,210,212
37063002028,163,193
37063002100,274,281
37063002200,36,31
37063002300,57,51
37063980100,4,0
