id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018
37063000101,1011,834,764,718,722,899,959,1014
37063000102,1444,1509,1494,1480,1490,1517,1597,1769
37063000200,1011,878,967,941,1143,1085,1209,1173
37063000301,791,735,821,829,747,738,858,889
37063000302,1349,1245,1240,1135,1199,1158,1226,1332
37063000401,947,1027,1158,1109,1201,1262,1111,1067
37063000402,692,709,683,566,693,729,781,876
37063000500,534,527,444,566,693,804,850,1069
37063000600,1637,1819,1770,1740,1887,1957,1938,2051
37063000700,1058,1117,1038,1115,1221,1227,1318,1421
37063000900,520,429,442,425,494,363,505,516
37063001001,665,757,820,892,900,1078,933,1110
37063001002,854,872,1098,1293,1580,1766,2135,1892
37063001100,333,443,500,409,495,564,573,578
37063001301,197,195,152,194,306,333,376,457
37063001303,382,456,466,471,637,699,682,843
37063001304,499,495,617,655,629,786,771,713
37063001400,337,328,325,411,481,537,525,626
37063001501,73,89,75,29,42,27,28,68
37063001502,1220,1183,1085,1138,1199,1111,1246,1262
37063001503,66,47,32,18,31,28,28,40
37063001601,2266,2337,2303,2219,2164,2391,2650,2733
37063001603,2533,2585,2693,2602,2608,2722,2727,2651
37063001604,2832,2818,2843,2625,2509,2535,2678,2559
37063001705,1750,1799,1784,1912,1960,2148,1911,2035
37063001706,2057,1952,2020,1916,1862,2157,2279,2373
37063001707,2944,2948,2968,2836,2634,2497,2503,2284
37063001708,1535,1417,1571,1766,1892,1865,2062,2045
37063001709,1402,1399,1411,1528,1769,1988,2077,2166
37063001710,1366,1335,1446,1617,1642,1608,1673,1779
37063001711,1694,1752,1677,1779,1669,1791,2022,1989
37063001801,2275,2499,2705,2997,3022,3279,3066,3582
37063001802,1904,1962,2105,2352,2081,2223,2507,2443
37063001806,2144,2187,2439,2500,2603,2794,3054,2913
37063001807,3878,3777,4001,3739,3775,3884,4524,4433
37063001808,1781,2182,2584,3038,3393,3732,4357,4878
37063001809,2981,2828,2911,2684,2956,2941,3068,3167
37063001900,1116,1201,1239,1220,1420,1497,1639,1751
37063002007,2299,2368,2183,2390,2368,2508,2558,2578
37063002008,1313,1291,1366,1349,1377,1375,1333,1281
37063002009,1383,1485,1382,1317,1307,1322,1390,1444
37063002013,1941,2005,1847,1704,1769,1724,1780,1877
37063002015,1684,1602,1688,1823,2140,2056,2054,2090
37063002016,1810,1972,2039,2082,1939,2063,2138,2263
37063002017,2306,2499,2562,2796,2959,3078,3008,3010
37063002018,3099,3027,3175,3495,3611,3998,4616,4522
37063002019,1839,1909,2527,2368,2347,2293,2309,1990
37063002020,2570,2729,2823,2949,3047,3085,2820,3119
37063002021,1920,1984,2040,2157,2020,2153,2310,1994
37063002022,2458,2224,2239,2215,2218,2345,2458,2395
37063002023,1499,1482,1552,1517,1578,1681,1749,1689
37063002024,3185,3156,3085,3181,3119,3165,3100,3074
37063002025,2724,3109,2891,3155,2974,3109,3006,3009
37063002026,2019,2130,2323,2379,2475,2489,2478,2450
37063002027,3754,3524,3472,3762,3969,4256,4384,4886
37063002028,2991,3194,3414,3737,3985,4234,4622,5572
37063002100,2561,2715,2616,2511,2629,2477,2293,2480
37063002200,511,535,583,625,651,606,665,728
37063002300,133,159,197,219,221,224,230,310
37063980100,24,54,41,24,0,0,0,0
