id,y_2015,y_2017
37063000101,14,12
37063000102,39,22
37063000200,14,12
37063000301,15,14
37063000302,17,15
37063000401,13,12
37063000402,7,10
37063000500,10,8
37063000600,23,26
37063000700,29,31
37063000900,0,0
37063001001,11,13
37063001002,17,13
37063001100,14,16
37063001301,0,0
37063001303,0,0
37063001304,0,0
37063001400,0,3
37063001501,0,0
37063001502,12,8
37063001503,,
37063001601,85,81
37063001603,81,80
37063001604,98,92
37063001705,61,54
37063001706,30,26
37063001707,130,122
37063001708,17,17
37063001709,22,22
37063001710,25,20
37063001711,22,24
37063001801,84,69
37063001802,24,20
37063001806,54,55
37063001807,38,39
37063001808,49,46
37063001809,52,56
37063001900,61,70
37063002007,37,34
37063002008,29,28
37063002009,3,4
37063002013,37,38
37063002015,40,33
37063002016,7,8
37063002017,76,73
37063002018,39,39
37063002019,9,11
37063002020,23,21
37063002021,17,17
37063002022,23,18
37063002023,8,6
37063002024,19,21
37063002025,13,14
37063002026,9,5
37063002027,41,47
37063002028,25,26
37063002100,83,76
37063002200,6,6
37063002300,0,0
37063980100,0,0
