id,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016
37063000101,362040,373670,396960,421603,341172,377536,354450
37063000102,563140,627354,666900,747488,798246,817148,859215
37063000200,487730,455846,491172,533210,468944,509787,536328
37063000301,458005,514085,556710,657408,621845,607824,651565
37063000302,694554,710242,684864,717042,746010,752352,748512
37063000401,269204,276115,305185,398796,342142,332592,365982
37063000402,825989,925412,860677,835580,793280,808640,830844
37063000500,702104,667680,641071,681749,710616,803335,916244
37063000600,662590,615428,745008,951334,874832,1126426,1356945
37063000700,272483,322575,384485,437152,615188,,786944
37063000900,279930,302880,334310,374127,396604,421632,506328
37063001001,606020,626780,695019,671202,672768,689128,784030
37063001002,818720,893074,845572,840203,947138,,1137017
37063001100,412614,366080,381004,376243,449000,457470,587430
37063001301,189175,182085,216511,246400,255510,281160,315510
37063001303,247723,213712,224000,224753,264627,340008,408697
37063001304,373896,407160,411983,432490,414700,471779,554075
37063001400,434150,356700,386750,402724,322455,,287749
37063001501,35700,29448,35373,30987,37557,27222,31590
37063001502,1443856,1544256,1685192,1746191,1997736,,2556477
37063001503,,,,,,,
37063001601,253726,239976,329478,348189,361725,247954,291580
37063001603,101120,82544,44485,91296,225216,,244378
37063001604,219030,168096,166400,223178,200976,295425,284867
37063001705,770705,803384,831954,851922,981864,1106625,1206712
37063001706,799994,793336,875160,1013600,1119690,1116968,1155582
37063001707,645120,729504,873829,865418,927303,1000330,1018197
37063001708,330407,436506,415520,499986,513906,529575,473921
37063001709,1155057,1323036,1412070,1407838,1445844,1622018,1758710
37063001710,697410,614431,610435,616140,707472,670437,614771
37063001711,1068480,1125360,1126026,1139922,1212897,1336569,1401975
37063001801,353353,334640,493568,483917,348876,410024,428152
37063001802,583100,679320,679184,647976,700070,773952,831796
37063001806,243936,248848,265240,366928,311212,363164,367822
37063001807,505152,675024,641096,687534,764181,828135,849750
37063001808,45192,55185,103395,144977,233172,362454,552270
37063001809,1201877,1127200,1050111,1046682,1044582,1272296,1362744
37063001900,87308,121655,150639,150094,100920,106726,117480
37063002007,456660,391620,419881,373644,380730,431401,563178
37063002008,86490,101742,161130,143600,154140,163603,141470
37063002009,536300,532030,598299,517992,458216,508277,568861
37063002013,266062,406197,419768,401792,435000,490464,487600
37063002015,1380834,1494176,1619680,1539944,1590990,1846652,1871472
37063002016,1702740,1827072,1858986,1911780,2016956,2014317,2054346
37063002017,1097652,1027700,1280331,1395973,1595242,1813864,1986656
37063002018,1250600,1293138,1297384,1555616,1780614,1805750,1843452
37063002019,1127169,1112208,1321742,1148559,1234177,1300160,1266478
37063002020,28638,56850,72128,146472,114422,190224,
37063002021,1070916,1071084,1273090,1416960,1423486,1408498,1575196
37063002022,1122300,1297296,1284192,1344263,1302336,1467144,1428375
37063002023,513240,511629,569067,632079,632896,683124,720452
37063002024,399360,574652,594825,650315,763110,1030887,923025
37063002025,400980,381248,376821,365452,411502,497112,611439
37063002026,1071616,1056198,1110256,1115346,1256742,1446445,1437465
37063002027,1773672,1843101,1857176,1951362,2152090,2287391,2765606
37063002028,1568463,1871855,1962180,1999982,2090900,,2434293
37063002100,225817,242778,248518,171600,162432,206912,260360
37063002200,436696,569590,620256,776440,785850,743239,761280
37063002300,176808,185590,208650,215196,225570,,209085
37063980100,,,,,,,
