"id","y_2010","y_2011","y_2012","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019"
"37063000101",378578496600,291283534500,12595572900,75618493832,82375888144,78441234235,85674500000,86250978000,69780090699,142339931003
"37063000102",370005957625,318060698211,473699271168,407460991568,509970703125,329787115471,425141768448,311832070965,801639838100,930057375127
"37063000200",29938663125,30311903916,51520423822,55911415824,48824347456,144048153780,224604769125,3.969e+11,403163083872,776611167878
"37063000301",,41836548645,124796483392,148002163812,128298937824,170009760448,169725569868,141592658944,133270312500,123169806600
"37063000302",223854265125,240543413358,2.793e+11,281919577986,289093586860,280731227715,216098690400,372515096368,371337890625,
"37063000401",,82788552900,,4.76288e+11,591230859375,,245246044336,262318750000,216737468750,
"37063000402",84936224225,124350711732,88496482932,148823296116,182229392340,,179491625000,200154288267,,
"37063000500",52058785075,6.75e+10,61003763334,40677301774,52744261118,43719589980,90968918931,111809487516,106649905824,106715963340
"37063000600",170705798592,446559232680,187537596740,309013814928,248537886096,298584568184,243334780110,337757377992,374268421404,373194193421
"37063000700",95846035068,1.56816e+11,222148437500,261945737144,214937609375,,,76154850772,274489460818,181835937500
"37063000900",245548777288,110463233616,82413541125,108091591128,77573817760,131984765625,173309748768,250312500000,2.28096e+11,531242319450
"37063001001",215909816688,190980562500,202190937536,162460215000,253415587216,262948659950,480845812500,4.55e+11,469247966208,432937125000
"37063001002",389280153418,407136373616,366178240000,469322087975,578225659752,770384029265,954226437200,949143146798,787112014451,790702405316
"37063001100",63927063425,56174984424,90758768904,213893627454,220830629888,242693488336,343765383480,293729362145,198460036700,156440874813
"37063001301",,,9790312500,8853657162,9472998645,,,6805244448,8137278897,
"37063001303",88522990017,75751429754,117353125000,117148752900,,,,,,
"37063001304",4.2875e+10,138143750000,4895727515,19286485722,14756472226,244921340832,197567390625,382750926542,108736997786,136581394455
"37063001400",49063948479,7598722752,905055530580,,,,,,247876342956,129810269277
"37063001501",,,,,1203326721,1139062500,1392187500,,,
"37063001502",458068061250,662287500000,762230118447,771555321540,538143997536,336487402988,297203855437,165851607105,294248821248,170060250240
"37063001503",,,,,,,,,,
"37063001601",60095877120,,596185488665,,,,983404759986,1045668634240,644495660046,594811328125
"37063001603",426716986115,168583353937,173979898497,223616626128,221842308373,,,,,
"37063001604",22941011808,,,,,,,,,1394331250000
"37063001705",259582006062,340743802700,228661088768,216363587904,470559375000,2.8717e+11,258337141829,266640342238,378102312500,510522218073
"37063001706",81547369225,59065041280,82387500000,119048707900,120602140344,139648437500,141420841596,,,1556724629504
"37063001707",154387769552,162513569020,344368893440,371278926000,544849708644,,,,,
"37063001708",57219129344,64687500000,137417546940,40441240899,7.25904e+11,636979632219,681394921875,763693943808,587101127223,178780980625
"37063001709",181381807984,229925901942,191463651225,293610156250,195830048221,172321780045,,,244641067387,698564965550
"37063001710",487529701113,361120705884,318424770360,326501089395,157478920640,157540264371,347122312704,372507481296,416446033050,453035801020
"37063001711",259042624400,251244247620,307061076357,227574961952,2.299e+11,211123340032,293641917996,278809873776,289149940247,262554858000
"37063001801",208728718011,402355457440,780725202008,536953119588,599552782400,873724625000,1437755826816,883282205885,579643651260,988406904375
"37063001802",235572480000,393694543872,352309147920,459924486196,765228145500,868171473575,927870650532,1038257865216,966920133452,1610481134076
"37063001806",222974403125,255810546875,259461947888,295190625000,331522608400,,463359995744,639234851940,534758625000,699859403776
"37063001807",613771496992,667387500000,604208132352,562363301880,635624209305,275042970944,352678641829,1113366610620,924919371960,1188425246062
"37063001808",1218382502480,2135268077166,3099810796520,1786411107072,1999591952481,1442057935760,986474460425,1011923378960,2040900166099,3952732847778
"37063001809",138998748064,1018747944960,470126179440,651288704992,306186694425,,177966173151,334472285120,647861124264,780759982667
"37063001900",31122115975,23237500000,23919677780,,235690214880,2.46402e+11,197409113088,451660156250,,
"37063002007",404183194461,286305550020,232825759400,480626698240,474287352336,381338560896,445301363905,425913056400,257823583325,2.69059e+11
"37063002008",97515849422,91038187500,83811350208,,,,,,,
"37063002009",56178918772,158038291200,135394798350,154441796217,99029837875,258307473600,551479687500,788929522500,832770498582,938908766963
"37063002013",117419185042,129527731520,151009689960,169661610000,187875187500,,,,,550425941654
"37063002015",500101567814,343043785432,323221235688,252772896935,377284070232,396538872340,495010786437,570272202135,774144313200,764648102781
"37063002016",803837204100,781240000032,958694818032,988079045548,767217309308,707164343733,574347145743,543259667016,486415657818,481761157120
"37063002017",602154074676,800989297790,800884581651,98440317504,121887508374,,,,,
"37063002018",130769770572,102920375520,91618430976,516424207860,242446830624,270747279360,,278437500000,570238373600,1644978089984
"37063002019",464168685120,52802943312,216260170875,537943359375,3.5235e+11,3.40605e+11,,462794960983,,
