"id","y_2010","y_2011","y_2012","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019"
"37063000101",21816112,24120120,23886800,24905998,22902388,22811988,28078896,33307988,36208620,39243750
"37063000102",33544928,33762456,36186370,39200802,42782250,44739342,50793750,45342360,42550092,48163005
"37063000200",37081494,34009548,28487500,29689800,35060388,35306880,35702200,38038000,43693260,50013168
"37063000301",23725000,21611434,20057170,20056400,16122046,18421000,24030000,26911800,28205356,27176344
"37063000302",54068952,50055500,42184415,44771940,43783330,57583584,66693258,83302038,101784175,110746883
"37063000401",65093013,79406613,78773376,85441540,89392927,92418750,91322074,91524129,95317500,102122100
"37063000402",32597110,33049923,32659480,24510000,33082762,39322304,40925745,45212136,50767500,55984096
"37063000500",9583410,8312018,9984576,8011616,9863125,14485920,16283262,15903818,18154598,17565700
"37063000600",77920478,72317610,73262145,59019840,65996118,65712892,67847486,75864815,88517198,104768886
"37063000700",59946900,56043456,60152766,58131892,70130250,68513750,73910976,80030000,99073361,102021606
"37063000900",,1159796,1025778,1236194,1052753,918120,1977304,4646250,5219984,6149955
"37063001001",2463370,2056806,1897511,3370899,2058804,5106759,6247052,8349400,8769336,10036445
"37063001002",7897428,6386204,5497120,4675601,3557436,3773184,2972468,4979436,5761350,6727780
"37063001100",1936704,2423882,2452736,3301250,3014388,2914940,3901695,6091500,7029638,10433664
"37063001301",39984,34986,326160,368125,391660,,840957,745704,,
"37063001303",,,879032,822500,814590,1304160,2000331,,776050,1931265
"37063001304",299828,166500,480760,417632,501054,535500,814704,,727016,1184634
"37063001400",863848,,1702728,,,,,222579,,327940
"37063001501",302610,,,,34986,,240000,258750,262338,
"37063001502",17481360,19138515,18487812,19123643,18440410,20016920,23679000,28832239,30865876,30421314
"37063001503",3575062,,,,,,,,,
"37063001601",101608790,94445376,94057152,99407534,107148214,111952500,118279980,124706304,128651598,114719814
"37063001603",147671496,143386614,150370220,138055056,135174542,136349897,152588872,162914094,163529104,175863060
"37063001604",177374649,181316350,185322800,184832160,185518410,202529262,187027299,195511968,217221306,222341790
"37063001705",64534708,67921975,70916436,70724465,70631968,78928509,78417187,90566318,95500380,116054777
"37063001706",64157548,58250232,54786250,55352851,49300072,56887500,71356298,78724530,85976250,95938395
"37063001707",185997544,183645340,183363268,182447265,175913400,162617575,178681391,202293380,190509780,240170000
"37063001708",4528152,3781000,3795000,4882500,4533723,5479067,,15882717,16588600,15843464
"37063001709",12507446,12042371,13444008,11374695,14439663,12761250,11223716,14152700,15963450,19751088
"37063001710",37807462,39918554,40345644,38478000,31824870,28055250,37853496,40683084,43576250,41330009
"37063001711",21523529,17871474,19034730,20570190,22649328,23491980,26507650,31771916,28525000,29063023
"37063001801",37170674,41597292,38491250,49317300,62232159,62757386,47104977,43176360,46353790,47173189
"37063001802",19889190,21591625,20354517,20061216,18283533,15824007,14565267,13745664,13929766,12764598
"37063001806",56383204,61535070,47742410,59448575,54794532,50535996,50998116,44254085,47696520,56731584
"37063001807",54864451,66945123,57312780,65656500,54245160,58522000,49184432,59095778,50256680,59704680
"37063001808",69202936,76174644,81314510,89450991,105483996,115574330,136536775,150823494,168203180,188953601
"37063001809",71756864,61928790,81796095,76644480,71409672,66989582,76860240,73859758,86179752,98002136
"37063001900",57035244,56332905,60829848,66738939,76800000,82025506,82638084,94171875,127092732,151674796
"37063002007",110360250,98529956,101461451,98222388,100387560,122076752,131498928,122430105,137511283,136485782
"37063002008",145106250,156884640,161240048,177256218,198388304,177688404,177283074,157574256,149268960,139014760
"37063002009",4108148,2579984,2462880,3162900,459846,658866,1153698,1397572,3534575,4420347
"37063002013",82262472,81675000,83943408,100755404,92667107,95463360,87489815,96555328,101128417,99529120
"37063002015",60874254,40897386,55757520,58426250,62600400,58378523,62712852,50577164,53111546,52856300
"37063002016",38355885,34417600,28984852,26224440,24110748,28259968,28956000,26986722,41294880,36874656
"37063002017",187321740,197778714,181771412,168865032,178689852,202996776,204457419,204340032,229627323,224638272
"37063002018",209172392,200392962,226011158,244895198,250388502,282953840,284301699,327606820,336763030,302634600
"37063002019",98970625,107389896,118934920,138357772,116903472,135013818,159305415,162669375,153261433,167838660
"37063002020",126960743,148854640,160481178,190841000,189764960,200703825,197281056,206043000,226053856,258630960
"37063002021",72339688,56493325,63836073,71915532,98274180,89865767,86817840,101696062,104077312,81353439
"37063002022",73826389,73586639,86321161,74482848,89003648,82293904,97676250,97349375,91521100,102267060
"37063002023",57001833,61048743,70029037,82777959,78068736,84291480,63893907,76816861,71464760,76092660
"37063002024",131884104,142050695,148177000,145480212,156990468,162765344,170549862,173954060,162416772,182240443
"37063002025",61088717,63623073,69500934,79708992,80326868,73270092,90877050,95428504,93087708,91745472
"37063002026",23073170,24088736,25586388,29537958,30982500,18675000,24510873,35030600,43012098,26725009
"37063002027",67238442,72092239,73458000,74574292,70161102,83524848,81959696,89068611,111143604,138402536
"37063002028",71209578,89640640,119826122,105494108,104526550,111630610,131340076,153231750,169683514,195016581
"37063002100",162415386,173398799,187149025,216888870,206771495,178607233,173622836,179099896,187183809,188460000
"37063002200",16557843,21477017,27930750,38740886,42101170,43528500,44628536,47823477,49609375,61311250
"37063002300",,219742,163338,186000,310775,357788,285750,2239832,4309976,7254000
"37063980100",2957535,,2906709,,,,,,,
