id,y_1970,y_1980,y_1990,y_2000,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
37063000101,8885,15541,24375,33265,40774,44649592,47315640,46116439,40798142,40290512,52810740,48454382,50189217,72589768,103023205,111936344,117920836,131567638
37063000102,8885,15541,27674,33942,38029,63237052,66662400,71349465,71055494,73489028,85454400,70342452,74542776,79193898,81968896,77490588,96199107,104294487
37063000200,6974,12356,24744,34706,33547,44445792,42546357,47037312,48497660,49714730,48530196,58431115,63196892,72360000,59864625,64507500,100833700,85103746
37063000301,5560,8404,16049,29256,40457,44366112,37456650,44089412,39395854,36351471,39632562,43475296,44890945,47119204,57949590,68898948,81891723,83589308
37063000302,6619,12690,26733,35467,43831,60150000,59490930,59210304,64282764,81515510,89696250,105813204,121671722,133431298,138935000,138569772,134951039,146649750
37063000401,8777,16644,31793,48407,57587,81163440,84020070,85191896,90520846,97231408,100247177,105274910,112433750,116834375,110249289,124178968,132660597,139326150
37063000402,4620,9059,18576,26781,40141,46068726,43200000,33834454,41542848,48255380,46922400,55630368,60650250,64578000,58651314,67102715,74351879,79890915
37063000500,3712,7461,14359,21152,20776,29774852,29862490,27856507,28834005,34007171,40250520,46144604,54217344,49974764,49564687,55504970,58252193,62685465
37063000600,8863,16364,29147,45582,49714,108965007,110134125,98036250,101385858,96328926,95331192,103931020,101452770,107065000,128744477,163664926,171828574,176327631
37063000700,9867,15312,35509,40595,55405,62493550,66763136,69096620,75360000,72007336,78138050,91394328,105304764,115618417,120611920,132893765,147276280,167200000
37063000900,3075,6557,13009,18611,17404,14798645,13748626,15134944,17091459,19102578,18995766,21306992,18892128,20865000,27728756,39896875,49620298,56295000
37063001001,5114,9944,15421,17572,25025,30192000,29089480,31717098,37810454,38478225,39043756,40286400,40725296,41609200,41407444,44991538,44850000,44000725
37063001002,8420,12799,17363,25819,28924,41455182,41631564,45898000,53130464,57010240,60472190,67477938,47207286,47321894,55487600,56446530,85650864,93707820
37063001100,2977,7536,8091,16633,18169,18356338,20699800,21546966,23334481,24875156,27331308,30281515,30000192,32585314,28752291,34786557,34403184,40134765
37063001301,4518,9605,15328,19374,13778,6657336,8311950,8174375,10008414,12398364,12925676,14932381,16964640,17203869,27481559,32664658,37629288,47475000
37063001303,1434,11128,21563,27130,23214,16956534,15964794,19151820,17841950,22279950,18568894,17852688,21701647,26690940,29109874,34793716,36562040,44231364
37063001304,1434,11128,17382,21567,24211,23382049,21197406,23122024,22968904,22870717,24434579,27056250,33891082,36034416,37559612,38687232,45443125,44335504
37063001400,3925,9959,14577,18439,16185,18239488,19802055,18381264,15632838,19475568,19693242,16538082,16228941,22848356,42759200,47544519,57098496,63491260
37063001501,1011,8795,6056,4545,9010,286380,330798,344581,378701,282317,368760,348750,,,,,,
