id,y_2001,y_2002,y_2003,y_2004,y_2005,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020
37063000101,2073909,2075183,2167963,2889153,2773196,2467129,3820192,3689204,4049718,4300001,4294061,4368735,4360362,4081611,4051091,3978962,4671930,11872585,6586398
37063000102,2482761,2764669,2649982,3504639,3999156,5417148,6894989,4433759,3562191,3979772,3161596,3797909,5435224,4658056,7813124,21478189,20538502,55411217,34585701
37063000200,1628444,2130058,1619188,2569498,2521395,2843013,5091583,5223343,5344428,5118804,5165917,4200656,3919006,3555167,4820523,5344510,5543434,15300929,9165269
37063000301,2315540,2907903,3294885,3645586,3428363,3086196,4460942,4406407,3651506,3100947,3488874,4363153,4547673,3652918,5715103,5153526,5816602,11994838,5833220
37063000302,6497589,6167736,3433244,3195327,3260864,3354852,6622906,7986848,8995388,9059083,9374661,9312352,10378250,10649984,12621414,13880665,16220520,33599689,15069995
37063000401,3022807,3131693,3547974,4492574,3166735,3148021,5934301,6925944,7553535,6996385,8076596,8128520,8290116,6974683,9101368,10483552,10117414,19459703,11458926
37063000402,607598,701084,850868,1184209,1647169,26901648,53987730,54281074,54682652,54527505,54670751,55426231,57752360,91184688,184051001,181167676,180684605,382025697,200969886
37063000500,11847765,11705171,11865579,13721093,13464895,13431985,18518016,14967037,15313259,17327173,18041900,19889715,19968141,22745641,57550502,22546238,23512699,53298862,51661436
37063000600,16796881,17600244,17108760,19035017,19407151,8935177,12294340,13806725,14375045,15565375,17378326,16546140,14563144,22167340,35950500,34876588,34775692,54704887,22648359
37063000700,3878606,4692258,4018305,5682443,5962773,5004803,7544467,10221880,9710100,10285250,11387461,10762466,28901955,68303654,83782590,83076888,83702509,188026830,194294165
37063000900,1783711,1625687,1945313,2488341,3457298,4018943,5701344,5295975,4596448,4955710,4766859,4272468,4134194,3372099,3912393,3449080,4086622,8406356,4876671
37063001001,2320415,2481916,3244849,4399665,5063459,5641078,7873396,15738713,14530039,13735704,13966664,13411805,12941108,9938239,10459895,8385375,8238835,19749551,11088000
37063001002,11022859,11416278,13175102,13850760,14436123,15019712,18877169,17275618,17399765,16790232,14433495,14009337,13307516,13265137,23143463,23468241,22546425,50180609,32768026
37063001100,5172452,4172270,4549186,4973594,7215339,5246439,8785031,15648349,15344195,14975531,14551208,16345563,16457667,13052729,17277968,14768740,14870440,30923113,17370927
37063001301,2353285,2495950,2951465,3164827,2847744,2805551,3882155,4408694,3876150,4115378,4240798,4550350,5053619,4684603,4079394,3651026,4073992,10485711,7344874
37063001303,4434780,4129317,3827062,3958708,4197512,4104649,5734551,5436663,5558651,5356011,5700201,5594362,6098981,5973347,4922515,4370749,4226915,9646026,5976503
37063001304,1661451,1532196,1487310,2227148,8569208,8612418,9954293,9654632,9234075,9302215,9786812,9696295,9910683,10432808,10943732,10882973,10649470,25932848,15032221
37063001400,1898034,2006965,2289817,2419209,2904978,2517105,3147904,3503352,3067035,3845420,3762468,3862367,3868812,3785762,3361253,3419279,3623483,7985607,4496152
37063001501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37063001502,64198213,64177940,64174583,65211382,65751013,95197594,138026795,137822003,138072169,152795143,197173987,200544675,223526122,219269549,191803881,180777649,216180186,506301084,290305533
37063001601,2544471,3102358,4847078,5825897,7404366,8443800,8871098,9505641,8725284,10061677,10983265,12649202,13393965,12753473,12482328,11845973,12260862,26054259,13094903
37063001603,3226452,4172928,6882590,7931886,7568307,7334815,10792472,12316421,11704729,12950155,12859090,13083979,12256003,11804196,11229548,11034589,9902313,19084296,8597018
37063001604,2559326,3686224,4257592,5650407,5414921,4411099,6783293,8423595,7423273,11102227,9700520,10618067,10550794,8602420,8271685,7283840,7526951,15654112,9415704
37063001705,5805293,20205649,21919009,3760295,3880288,4003806,5176966,6193611,7453035,9655037,26681067,26385956,40733992,39662195,44904912,31969551,64473045,152795895,85845439
37063001706,27885588,28336242,28894113,29020693,28122177,30236935,34843894,34175672,34329694,36348612,35918844,35277494,37605271,40160426,43142782,42911109,45394087,109225064,64550858
37063001707,5202773,5213999,5512433,6804978,6231780,7584026,13528402,17266910,14116241,14643570,16744465,18023203,17704650,19241087,19325063,20292321,21296884,45792335,24695503
37063001708,12977104,12960809,12841086,12919353,13411814,16209671,22419103,23757856,25032792,25335457,25998502,26972128,29220289,30335718,28234130,28576221,29001130,64985579,36597434
37063001709,14696556,14796745,15527163,16197913,17265831,23755290,28152912,32274698,38629280,55341971,82370178,82789813,82980747,79276113,86073026,82400816,95259053,216459361,139311958
37063001710,18044753,17774876,18385452,18940513,19107139,19556248,21068043,20953633,22012182,22712423,22860755,23379602,26017176,26343417,29344801,28654743,28456453,71155978,42202124
