"id","y_2010","y_2011","y_2012","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019"
"37063000101",9284,9222,7195,11079,5731,5606,8184,9971,8490,14554
"37063000102",9679,9121,9524,10323,12850,12416,14531,14726,16339,18210
"37063000200",10926,9384,7011,7007,6898,8842,9508,10367,11438,13085
"37063000301",5673,5381,5987,7269,6732,8010,11079,13138,12512,12973
"37063000302",17572,19945,19591,20188,12760,13225,13126,16264,15213,14453
"37063000401",NA,19032,8713,25535,25616,26860,25496,26588,26231,25069
"37063000402",17907,22690,22171,18792,21676,30233,27602,27971,13406,15074
"37063000500",13516,15435,16004,16667,8613,7941,10065,7593,8339,8642
"37063000600",8602,9989,10025,9803,9554,11994,15061,17418,17420,15881
"37063000700",15762,21853,19549,19501,19896,20570,18918,17119,21849,19176
"37063000900",14545,12483,11956,12916,8963,9841,13337,15336,16296,20144
"37063001001",7998,6946,4302,4368,10250,9944,10152,13918,12342,14045
"37063001002",8258,8473,8412,8757,9932,10379,10825,11017,11227,11362
"37063001100",12404,11532,9696,9449,10936,11351,12368,12603,12975,11959
"37063001301",NA,NA,16123,16902,16761,20341,19978,4604,4918,3938
"37063001303",12185,14016,12800,16904,14896,8890,8974,9045,2242,1938
"37063001304",8930,13297,2718,7168,7271,11900,13729,12594,9230,8454
"37063001400",7987,4051,18899,34117,37194,25062,22756,12462,13055,11373
"37063001501",1569,3915,4381,4693,3287,5498,2970,3228,1976,1331
"37063001502",8018,9130,10059,9559,9809,9539,8949,8749,9468,9778
"37063001503",1852,2428,3346,1043,2770,1863,1638,1466,1785,NA
"37063001601",8072,6020,13619,13283,12615,12568,13264,18660,12048,10995
"37063001603",20246,10922,12711,11521,11338,11513,14359,15236,26574,17105
"37063001604",8216,NA,NA,NA,NA,NA,22637,24440,29128,42177
"37063001705",6921,8002,7860,7816,12145,12180,10368,8476,10960,10564
"37063001706",25842,14127,18656,11915,11315,7647,7666,23841,28985,43255
"37063001707",7438,8240,23047,23845,25810,43272,44689,35734,38533,30102
"37063001708",11921,11884,12378,10055,12086,10766,10473,10443,9661,7329
"37063001709",15449,14257,10927,10914,9086,8196,7905,7565,11599,17822
"37063001710",10073,9895,8985,9111,8468,8475,10280,11023,12319,12236
"37063001711",7698,8110,9008,8794,9307,8143,10357,9700,11050,11173
"37063001801",9706,9238,10864,9842,10461,10933,14139,14419,12864,12637
"37063001802",6550,7384,7828,8356,9039,10061,9019,8996,8857,11016
"37063001806",11869,9371,8034,12167,17075,14623,18653,19290,21049,15831
"37063001807",11091,12257,9992,10073,10534,9851,9370,19563,17512,26967
"37063001808",21652,22218,25886,26394,24785,23933,22757,30822,34229,35958
"37063001809",9325,8447,9993,8691,8633,9697,28907,25964,22721,26727
"37063001900",11281,7735,19360,21114,43341,42858,45263,48804,59611,50455
"37063002007",21546,20877,15780,17140,16759,12520,15301,17018,17069,22332
"37063002008",17758,15340,16790,15106,21556,NA,12158,14968,35231,35377
"37063002009",4743,6188,6225,6957,7989,12896,11185,12098,11650,12695
"37063002013",15231,16645,17017,16601,11688,17753,19933,20239,18860,26861
"37063002015",13722,11382,11301,12323,12749,8709,8975,8973,9615,12063
"37063002016",11059,11008,12535,10951,11477,11803,10759,11179,12480,13168
"37063002017",53955,47824,69550,57721,39896,41164,53408,17843,22309,8413
"37063002018",17549,13392,13074,24185,25181,21571,25400,28103,27781,20965
"37063002019",18787,14427,17321,24099,23469,29816,37219,45013,54083,68951
"37063002020",28499,31584,34962,37820,34949,35912,39571,50909,62490,69259
"37063002021",27776,22828,16256,24639,16437,17087,15701,30189,9885,17429
"37063002022",15062,23457,31405,33829,33181,40388,24096,24482,25046,43400
"37063002023",32114,28901,32688,33043,31497,31083,33898,34066,32349,33436
"37063002024",30203,29558,39282,46264,50125,39266,43711,44440,39501,36734
"37063002025",13092,12094,14078,11856,12367,11493,15257,12351,13062,15098
"37063002026",23251,22019,19433,18902,22611,13556,14420,28231,38509,23920
"37063002027",16188,12863,12955,15869,11729,10071,11320,10839,10781,12865
"37063002028",22097,21133,21170,25305,35430,102478,86414,95982,80649,66746
"37063002100",13050,10707,11612,10027,9568,7010,10846,8623,8842,9629
"37063002200",11085,14871,13442,12177,10321,10885,42245,47776,41054,53691
"37063002300",5788,7058,5792,6034,5010,6220,5063,7910,8286,10878
"37063980100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
