"id","y_2010","y_2011","y_2012","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019"
"37063000101",30493,33445,30440,31634,33992,37124,38671,39157,42146,46555
"37063000102",29507,29814,30984,34797,36464,34920,35775,34035,31315,32609
"37063000200",45231,39237,40945,36822,33935,36701,36151,40324,44297,44578
"37063000301",35583,32890,33298,34197,33768,33139,34869,33604,37292,41389
"37063000302",40151,40680,40294,43422,43646,45790,47726,55040,56675,60376
"37063000401",37550,40030,37658,38064,42331,42364,42111,45958,49154,47382
"37063000402",30919,32933,31202,26502,26133,31483,32875,38231,38830,39906
"37063000500",21074,22618,26029,23860,24373,24154,22290,25476,32935,30086
"37063000600",43040,50742,49132,45025,43503,43771,48989,51486,56925,65283
"37063000700",67274,58520,58018,58836,53551,54603,59761,57096,61513,59751
"37063000900",NA,19604,23400,24115,21238,24017,23807,21597,27064,33724
"37063001001",20294,18493,12911,17733,11963,15588,15642,23289,24065,27343
"37063001002",19211,14034,15868,11480,9806,9237,6701,10918,11849,14902
"37063001100",13620,14867,18389,20151,22362,23455,23744,20187,25621,30053
"37063001301",NA,2381,NA,6696,6457,16412,16253,20406,23979,21924
"37063001303",NA,3853,4076,4174,4126,6362,7023,1895,4655,5585
"37063001304",13808,13343,12802,15830,8848,8655,9505,NA,37367,43231
"37063001400",NA,NA,NA,NA,NA,NA,4139,4352,4121,4314
"37063001501",4083,4234,3898,3492,2990,2008,1047,471,401,336
"37063001502",16540,15406,14576,15778,16569,23476,25515,28680,30226,31862
"37063001503",6928,6594,2830,2336,1880,1348,489,221,159,62
"37063001601",35526,34849,37025,36934,36119,36725,37136,42682,45004,47012
"37063001603",37485,39017,36446,37446,41665,41843,42665,43315,50878,49949
"37063001604",42782,41438,39880,38884,39157,38871,41573,45275,48953,48638
"37063001705",40024,41026,36505,42294,41755,45766,46239,47440,43290,46724
"37063001706",35859,35783,34913,40742,36871,39102,41641,42979,38272,41587
"37063001707",43406,45234,47582,48078,48461,48994,49580,53541,51659,55766
"37063001708",30664,32338,35797,36918,32541,37954,31046,28272,29421,29620
"37063001709",28887,22624,22621,23745,24600,22079,21537,25950,27180,26607
"37063001710",28771,31222,32490,33861,32948,34744,33135,32008,34399,33829
"37063001711",25473,26525,25262,26155,26319,25928,27421,32012,38756,36685
"37063001801",26595,26085,28544,31826,34992,33144,31200,26386,26893,25256
"37063001802",25837,27167,26262,27603,25385,24840,26775,27957,27383,29773
"37063001806",29903,29903,30918,29776,26590,25231,26565,23252,23551,25701
"37063001807",31148,30837,30702,32468,29991,31138,31075,34026,35959,37345
"37063001808",42454,42741,46194,37107,37781,39070,40940,45744,48302,50596
"37063001809",32365,31582,34599,35132,33070,35934,39662,38441,36305,40801
"37063001900",37989,40646,37302,38463,37560,36583,38169,42360,47308,50802
"37063002007",47382,45621,46910,46266,44100,48911,49764,48393,52628,56866
"37063002008",67636,75338,74242,83488,93705,95394,97545,100901,91844,90081
"37063002009",45344,33887,36117,32971,38035,36584,19651,21077,18295,20099
"37063002013",35463,38793,39889,39138,37144,38837,38277,40908,43243,44314
"37063002015",43780,43188,42702,45532,46421,44170,45006,44680,41069,43092
"37063002016",33028,28716,30565,29077,26129,30063,30124,29964,38805,33023
"37063002017",48786,49427,46326,49314,51679,51479,50427,57720,57831,59702
"37063002018",51424,52703,58237,56425,59465,61411,62245,70663,73491,76034
"37063002019",37825,42436,45599,51321,55386,54225,58232,58839,61025,61473
"37063002020",60086,53024,52857,53331,53687,51635,55701,58785,60545,62888
"37063002021",47332,44770,41393,45768,45168,49093,56921,60137,61489,58448
"37063002022",41829,40423,44635,45813,50905,46858,52038,51729,52521,52106
"37063002023",41435,39529,42018,49364,46704,44794,43344,47340,51102,50403
"37063002024",44005,46529,47711,50010,52800,52833,53363,51604,49797,49402
"37063002025",42378,39570,41725,45036,43852,40078,42404,45871,46885,48079
"37063002026",26988,25383,26243,28706,28911,31654,34342,42850,36217,34196
"37063002027",35222,32879,34059,35503,37821,39025,42840,47745,45614,43089
"37063002028",40612,42666,43315,45724,45313,51725,57507,62674,61152,65691
"37063002100",45699,44312,50215,52993,52897,46541,49799,46451,41644,41068
"37063002200",32604,44840,52601,57288,59943,60240,51321,51100,59642,68760
"37063002300",5614,8114,7348,7288,6301,8846,11323,18654,22880,35874
"37063980100",38159,NA,38793,33323,NA,NA,NA,NA,NA,NA
