"id","y_2011","y_2012","y_2013","y_2014","y_2015","y_2016"
"37063000101",96,124,115,84,103,79
"37063000102",101,69,90,97,88,74
"37063000200",74,36,39,45,28,21
"37063000301",54,71,73,58,95,91
"37063000302",56,78,56,43,39,59
"37063000401",8,9,20,12,41,54
"37063000402",26,19,21,27,57,51
"37063000500",84,60,100,103,97,110
"37063000600",43,119,116,96,106,112
"37063000700",34,63,100,104,102,110
"37063000900",73,83,59,90,92,105
"37063001001",217,186,140,181,144,145
"37063001002",229,266,290,309,294,133
"37063001100",47,79,107,107,143,169
"37063001301",19,28,43,43,27,24
"37063001303",108,81,51,76,47,72
"37063001304",84,120,129,132,168,183
"37063001400",90,76,92,137,68,66
"37063001501",0,0,0,0,0,0
"37063001502",98,163,164,251,225,251
"37063001503",0,0,0,0,0,0
"37063001601",26,46,48,33,16,30
"37063001603",62,124,120,117,132,114
"37063001604",29,33,71,72,86,99
"37063001705",53,71,101,123,101,52
"37063001706",15,17,19,33,57,34
"37063001707",73,61,37,58,78,91
"37063001708",77,97,165,115,115,127
"37063001709",257,240,255,271,323,271
"37063001710",28,36,47,54,37,48
"37063001711",84,116,137,153,202,152
"37063001801",60,37,72,122,135,147
"37063001802",142,106,138,137,129,160
"37063001806",91,83,74,37,28,82
"37063001807",58,48,36,105,114,122
"37063001808",63,51,38,3,2,27
"37063001809",91,83,109,67,76,37
"37063001900",37,43,35,32,33,37
"37063002007",7,8,8,0,0,0
"37063002008",0,0,0,0,0,0
"37063002009",88,96,75,83,113,97
"37063002013",60,59,49,65,45,49
"37063002015",78,103,126,140,67,162
"37063002016",0,10,23,25,35,62
"37063002017",49,39,31,27,25,56
"37063002018",0,0,0,14,31,32
"37063002019",17,24,12,0,0,0
"37063002020",0,0,0,0,25,27
"37063002021",10,16,57,43,45,39
"37063002022",82,99,78,73,105,63
"37063002023",0,3,4,13,14,29
"37063002024",24,46,38,27,61,73
"37063002025",34,38,11,17,71,103
"37063002026",118,55,71,119,57,51
"37063002027",36,55,53,57,40,85
"37063002028",0,0,16,63,50,81
"37063002100",43,57,72,99,121,89
"37063002200",6,5,3,5,10,19
"37063002300",48,72,62,58,57,60
"37063980100",0,0,0,0,0,0
