id,y_2015,y_2016,y_2021,y_2022,y_2023
37063000101,443,424,815.07,839.76,857.64
37063000102,405,445,485.83,502.1,543.21
37063000200,382,424,782.57,761.8,738.47
37063000301,251,277,462.11,476.09,451.23
37063000302,317,372,595.23,631.19,607.56
37063000401,171,151,394.29,446.77,460.16
37063000402,167,184,338.8,405.8,415.1
37063000500,381,413,670.38,764.85,610.88
37063000600,540,602,758.6,740.64,790.55
37063000700,318,327,654.8,634.93,684.45
37063000900,279,307,354.63,379.82,375.15
37063001001,722,666,679.76,677.04,639.17
37063001002,712,708,1252.7,1235.12,1427.61
37063001100,377,405,734.01,721.29,669.25
37063001301,228,209,473.7,498.6,488.5
37063001303,411,330,637.87,599.18,577.59
37063001304,347,345,403,447.6,418.4
37063001400,296,375,629.81,748.02,645.68
37063001501,345,530,535,60,60
37063001502,637,533,678.61,721.05,812.37
37063001503,194,225,343,45,51
37063001601,549,609,719.17,761.56,825.32
37063001603,363,452,1083.67,1152.48,1142.4
37063001604,376,397,941.66,1070.69,1084.58
37063001705,337,381,785.24,912.3,837.92
37063001706,391,417,916.72,911.03,890.69
37063001707,397,336,1352.9,1410.37,1444.86
37063001708,442,328,1047.5,1164.2,1197.4
37063001709,666,668,1317.6,1449,1598.4
37063001710,384,449,853.39,752.1,828.64
37063001711,481,461,734.98,788.8,760.97
37063001801,602,754,1420.84,1518.36,1494.58
37063001802,829,682,1151.71,1192.7,1269.38
37063001806,362,388,1557.79,1658.84,1343.13
37063001807,852,791,1534.55,1807.92,1874.59
37063001808,486,424,1468.82,1491.2,1425.71
37063001809,624,382,1186.63,1075.65,1654.52
37063001900,238,268,623.78,630.46,618.47
37063002007,459,484,777.82,962.44,969.22
37063002008,165,202,924.35,896.26,886.77
37063002009,323,417,945.39,854.44,917.61
37063002013,304,302,627.61,661.78,670.61
37063002015,522,547,657.57,831.95,710.95
37063002016,493,573,876.26,969.88,1094.4
37063002017,405,407,754.41,918.77,827.07
37063002018,610,705,1399.1,1315.43,1387.41
37063002019,488,475,555.54,656.44,615.97
37063002020,484,476,1482.52,1582.13,1591.35
37063002021,449,538,841.58,835.89,752.82
37063002022,273,341,591.06,683.53,740.72
37063002023,372,345,381.62,378.15,389.8
37063002024,405,429,715.67,721.12,772.02
37063002025,501,396,1060.12,1202.17,1176.6
37063002026,610,581,2307.92,2247.48,2334.31
37063002027,692,708,1377.21,1422.32,1341.68
37063002028,471,390,1164.9,1515.36,1384.64
37063002100,519,427,1044.55,939.11,917.47
37063002200,270,223,393.1,327.6,414.8
37063002300,250,230,246.37,199.44,165.71
