id,y_2010,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
37063000101,293,311,316,317,319,355,314,145,304,308
37063000102,514,477,483,500,482,472,272,224,323,346
37063000200,193,258,244,248,194,221,183,203,205,267
37063000301,139,225,244,252,237,254,281,257,295,319
37063000302,212,241,249,265,260,263,217,159,276,329
37063000401,259,342,367,357,359,418,420,239,496,486
37063000402,99,87,156,115,136,168,183,126,191,214
37063000500,341,303,319,352,361,433,452,284,488,463
37063000600,487,451,459,472,458,527,551,284,502,595
37063000700,369,478,474,478,570,573,552,288,542,548
37063000900,137,232,245,219,236,190,123,114,107,189
37063001001,260,340,304,332,334,326,476,359,424,420
37063001002,374,352,276,356,360,414,321,366,341,399
37063001100,294,282,288,400,401,419,476,266,407,327
37063001301,125,88,112,121,140,174,210,118,196,183
37063001303,326,224,265,269,278,324,379,202,414,378
37063001304,342,369,392,334,367,351,402,204,420,388
37063001400,237,274,239,241,183,212,346,227,234,299
37063001501,0,0,0,0,0,0,0,45,0,0
37063001502,276,387,431,396,375,358,245,291,374,404
37063001503,3,0,0,0,0,0,0,45,0,0
37063001601,919,1076,1126,1125,1144,1227,1139,592,1222,1223
37063001603,833,874,997,1071,1157,1335,1214,553,1165,1159
37063001604,1009,1183,1303,1395,1519,1660,1835,882,1976,1876
37063001705,829,954,931,1228,1402,1004,880,514,995,856
37063001706,260,380,480,503,514,484,427,353,445,520
37063001707,1505,1963,2065,2040,2099,2119,1960,892,2110,2124
37063001708,486,656,685,670,640,659,616,354,794,725
37063001709,648,670,739,640,657,799,1050,659,1035,1067
37063001710,358,341,369,327,370,436,508,273,543,542
37063001711,236,375,380,416,437,412,318,212,376,403
37063001801,662,797,940,1224,933,985,1222,899,1337,1209
37063001802,459,564,559,533,787,873,729,460,762,865
37063001806,560,560,509,542,577,562,907,676,941,982
37063001807,589,584,603,578,662,783,801,767,1241,1601
37063001808,470,605,760,844,885,978,932,543,946,832
37063001809,338,420,478,458,434,477,876,728,1034,1122
37063001900,349,456,449,642,1028,1364,1840,668,2579,2714
37063002007,766,933,960,1158,1161,1160,1342,785,1233,1153
37063002008,480,548,514,536,566,581,818,393,833,923
37063002009,784,834,853,889,887,851,918,475,1208,1040
37063002013,428,598,563,584,639,688,818,379,988,943
37063002015,610,483,538,527,493,526,510,302,619,696
37063002016,160,269,229,191,141,154,191,277,131,152
37063002017,966,1237,1404,1373,1351,1418,1721,709,1802,1910
37063002018,1209,1598,1621,1745,1938,2015,2162,1133,2112,2358
37063002019,546,691,728,783,925,1007,664,294,855,993
37063002020,346,478,577,738,650,837,941,537,1164,1301
37063002021,310,321,349,441,363,241,365,381,347,440
37063002022,360,494,528,593,693,704,637,329,616,623
37063002023,278,334,371,403,411,447,384,201,393,401
37063002024,403,585,684,799,916,922,826,442,677,622
37063002025,388,585,647,724,732,804,722,408,546,700
37063002026,531,594,598,583,557,479,479,320,522,531
37063002027,444,537,481,581,971,1056,1274,1048,1291,989
37063002028,195,200,287,425,504,762,752,495,1032,1313
37063002100,953,1289,1389,1475,1544,1660,1891,970,2004,1942
37063002200,66,81,114,144,212,221,231,147,279,271
37063002300,104,74,94,73,107,124,168,89,144,184
37063980100,0,0,0,0,0,0,0,45,0,0
