id,y_2010,y_2011,y_2016,y_2019,y_2020,y_2021
37063000101,36,149,7,22,20.07791017415,13
37063000102,74,24,12,57,37,1
37063000200,47,13,49,28,23,5
37063000301,19,14,21,5,26.590914092908,0
37063000302,42,10,0,0,45,0
37063000401,14,24,9,12,12.807921016456,0
37063000402,18,43,0,0,11.601164890627,13
37063000500,62,16,36,34,27.472527472522,28
37063000600,77,35,49,44,53.527472527478,20
37063000700,45,0,21,59,12,22
37063000900,8,62,29,17,73,0
37063001001,60,340,41,29,79,23
37063001002,105,125,104,116,172,42
37063001100,47,29,28,29,43,0
37063001301,9,46,0,6,11,0
37063001303,45,12,30,27,2,4
37063001304,31,1,299,265,28,0
37063001400,27,46,0,0,12,0
37063001501,21,43,9,4,1,14
37063001502,73,40,102,201,53,18
37063001503,10,20,10,6,0,10
37063001601,69,0,100,85,57,0
37063001603,63,138,31,10,46.804878048784005,34.146341463430005
37063001604,33,62,35,33,29,0
37063001705,43,7,25,23,44.603355302573,49
37063001706,37,41,21,42,19,27
37063001707,39,140,14,33,22.774358974358,0
37063001708,61,227,45,55,43,0
37063001709,73,292,134,133,74.92208982585,0
37063001710,67,77,55,47,38,0
37063001711,85,22,32,39,30.396644697427,0
37063001801,81,58,0,0,94,59
37063001802,122,17,71,78,116,245
37063001806,49,0,25,82,50,15
37063001807,97,141,82,78,105,8
37063001808,64,237,68,51,58.874335106387,49.76728723405
37063001809,89,22,32,35,35.125664893613,0.23271276595
37063001900,16,0,76,31,15.999999269291,6.999999269291
37063002007,60,42,37,32,45,0
37063002008,17,16,81,59,10,11
37063002009,68,19,65,60,33,0
37063002013,78,167,48,94,31,10
37063002015,77,3,0,0,74.546635183055,24
37063002016,116,0,32,33,50.678558526024,0
37063002017,50,36,92,93,28.453364817004,91
37063002018,89,38,148,182,10.321441473976,141
37063002019,28,14,4,0,15.95268605224,0
37063002020,54,28,243,171,15.870275888855,37
37063002021,43,33,0,0,7,0
37063002022,45,92,0,0,24,0
37063002023,28,71,13,7,11,0
37063002024,54,49,14,46,21,0
37063002025,75,17,22,6,27,0
37063002026,46,41,6,24,24,0
37063002027,71,56,41,33,82,0
37063002028,81,103,69,135,63.647830332411,70.982636428061
37063002100,57,181,270,277,54.999997961019,31
37063002200,38,23,21,16,17,0
37063002300,15,63,0,0,12,7
37063980100,0,0,0,0,0.005834219146,0
