id,y_1970,y_1980,y_1990,y_2000,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
37063000101,170,589,1349,1704,1664,1323,1283,1458,1482,1368,1476,1625,1310.98258478427,2274.75343721313
37063000102,201,698,692,1417,1606,1503,1479,1469,1398,1403,1250,1065,1274,1157
37063000200,416,837,1218,1564,1151,1451,1203,928,917,905,894,645,757,948
37063000301,1370,1226,1364,1299,989,1008,834,804,806,961,830,826,585.700215226293,816.548871081871
37063000302,120,453,827,878,523,645,510,503,445,306,337,348,380,196
37063000401,4,73,150,387,230,98,35,56,51,94,137,136,165.48734105492,191.72810487772
37063000402,385,473,203,229,166,173,121,104,82,90,87,84,140.812443718574,179.723024040144
37063000500,2489,2292,2333,2385,1895,1626,1594,1772,1821,2047,2093,2290,1455.6263736260998,1823.549450549062
37063000600,96,890,1370,1841,1335,1832,1941,1926,2106,1450,1071,991,1194.3736263739002,1221.4505494509378
37063000700,299,471,873,1087,970,984,1205,1164,1340,1135,916,617,867,782
37063000900,2865,2110,1916,1732,1127,1160,1344,1409,1319,1242,965,920,782,813
37063001001,1410,2170,3329,3680,2309,2445,2914,2733,2437,2577,2622,2167,2023,2070
37063001002,280,2624,3443,3884,3057,2825,3000,2983,2496,2410,2363,2194,2690,1509
37063001100,2138,2319,2288,2591,2154,1901,1949,2233,2363,2047,1976,1982,2206,1768
37063001301,2211,1694,1511,1334,1012,776,873,984,1123,1152,1279,1139,979,1329
37063001303,3506,3237,3591,3583,3441,2404,2539,2739,2808,3065,3180,3095,3556,3040.0000000000005
37063001304,3997,3690,2783,2370,2195,2408,2389,2412,2499,2409,2263,2330,1978,1657
37063001400,3609,3188,3051,3224,2356,2632,2279,2067,1982,1988,2126,1945,2069,1746
37063001501,753,804,202,234,358,573,508,598,666,735,883,874,2916,817
37063001502,630,708,2111,2484,2028,2113,2365,2199,1900,1780,1752,1616,1887,2287
37063001503,112,120,0,172,243,427,449,442,471,450,460,412,1468,334
37063001601,158,628,724,1298,1661,2162,2284,1607,1665,1827,1812,2051,1604,1769
37063001603,154,249,274,640,1096,1121,1294,1470,1111,1100,1193,1317,1323.536585365898,1238.536585365862
37063001604,147,237,502,663,1140,1107,944,895,965,1029,1030,792,1047,1449
37063001705,24,91,370,795,1251,1154,1360,1366,1528,1430,1257,475,1323.804673456953,1451.732174954727
37063001706,22,50,324,746,984,1470,1664,1252,1574,1259,1289,1324,1121,1063
37063001707,40,119,99,360,518,358,310,346,394,327,456,672,589.894017094008,671.157264957257
37063001708,457,1670,2337,2201,3142,3598,3747,3851,3773,3908,3437,3399,3239,3615
37063001709,589,2130,2556,3820,4587,4770,4671,4706,4566,4883,4913,4998,5147.01741521573,4830.24656278687
37063001710,12,262,704,1395,1960,1731,1788,1887,1973,2007,2168,2436,1906,2338
37063001711,13,258,1298,1733,2201,1731,1939,2126,2190,2218,2198,2188,2185.195326543047,2318.267825045273
37063001801,1094,1076,1049,2439,3629,4234,4160,3906,4099,4044,3662,3635,3567,3980
37063001802,691,1997,3158,4218,4444,4208,4142,3561,3896,4433,4174,4249,3607,3766
37063001806,79,95,237,1212,2681,2516,2707,2751,3013,3392,4002,3741,2993,3017
37063001807,160,192,482,2461,5612,5128,5186,5270,5140,5050,5474,5631,5307,5201
37063001808,59,77,66,568,1783,1991,1998,2332,2967,3614,4188,4695,4132.78590425555,5096.446143617263
37063001809,63,83,72,608,2076,2298,2031,2139,2403,2803,2829,2771,2724.21409574445,2343.5538563827367
37063001900,201,136,78,94,311,215,114,274,326,380,422,552,542.99996242068,589.999960854875
37063002007,94,421,1420,1506,1589,1399,1376,1432,1452,1672,1434,1366,1423,1753
37063002008,82,366,47,178,213,53,132,300,301,164,251,223,152,221
37063002009,2399,3106,4601,4548,3964,3563,3692,3859,3605,3381,3417,3678,3266,3876
37063002013,37,62,607,1127,1247,982,1107,1183,1160,1145,1303,1463,1074,1303
37063002015,20,725,1326,1606,1385,1606,1594,1493,1401,1414,1179,1573,1329.54191263351,1355.541912633761
37063002016,15,554,1270,1400,1626,1801,2136,1891,1880,1903,1498,1359,1857.219235996568,1574.73436209776
37063002017,100,94,138,312,527,624,603,659,626,532,489,510,779.458087367206,1021.458087367206
37063002018,95,104,341,595,1097,1356,1369,1314,1631,1730,1688,2043,1734.780764003432,1993.26563790224
37063002019,101,169,347,1053,565,284,253,481,543,569,719,731,545.80137999008,619
37063002020,54,91,186,564,1409,1486,1391,1391,1493,1230,1448,1611,1600.841477753163,2405.693159509986
37063002021,56,94,193,586,1465,1244,1251,1188,1343,1100,914,1370,1385,1116
37063002022,102,171,350,1064,1526,1609,1489,1684,1650,1811,1851,1810,1391,1646
37063002023,360,593,252,605,793,591,597,687,670,488,733,775,614,688
37063002024,602,992,420,1011,1092,1382,1264,1180,1229,1185,1207,1096,1197,947
37063002025,1273,2095,1696,2598,2711,3045,2706,3013,2940,3058,3390,3214,2675,3388
37063002026,934,1537,1244,1907,4083,3889,4223,4719,4607,4449,4830,4659,4262,5676
37063002027,277,464,459,851,3222,2969,3407,3406,4187,4754,4615,4488,4401,3616
37063002028,102,171,169,314,2214,1660,2473,2494,2566,2795,3347,3561,3751.536459611927,3861.275302727229
37063002100,1148,675,537,795,929,2450,2464,2542,2588,2557,2635,2656,2373.9997961019,2390.9998613492917
37063002200,754,675,839,734,656,370,359,461,495,767,588,584,489,391
37063002300,3586,1798,1964,2247,1088,926,846,986,1096,889,859,906,1120,1074
37063980100,27,46,45,84,1,0,0,0,0,0,0,0,0.311297264433,0.272541380106
