id,y_2010,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
37063000101,830,772,787,794,801,646,628,709,621,628
37063000102,1102,923,883,935,792,958,825,882,861,966
37063000200,572,693,693,671,587,606,667,684,615,644
37063000301,541,476,441,499,494,447,401,348,264,281
37063000302,685,656,685,740,788,932,861,867,844,773
37063000401,503,550,563,612,592,584,622,656,601,637
37063000402,215,206,206,189,165,174,163,155,176,241
37063000500,767,600,615,784,911,883,792,733,733,622
37063000600,1207,1411,1315,1117,1029,1138,848,971,780,808
37063000700,519,652,934,784,645,695,737,787,755,701
37063000900,477,589,486,485,464,385,384,404,381,350
37063001001,1083,1410,1325,935,1011,958,963,974,816,617
37063001002,1946,1905,1692,1857,1797,1998,1813,1979,1903,2086
37063001100,858,949,1080,947,826,849,771,569,698,719
37063001301,231,278,339,384,330,305,457,518,463,506
37063001303,295,241,292,358,369,375,493,418,461,415
37063001304,771,1007,990,1113,1060,1121,852,740,578,555
37063001400,920,821,968,859,1049,972,843,793,1003,817
37063001501,32,21,27,20,5,5,6,6,4,4
37063001502,1005,1180,1092,1046,1013,1080,968,902,848,1077
37063001503,45,28,37,39,33,30,35,21,4,5
37063001601,1293,1282,1384,1207,1309,1415,1258,894,993,945
37063001603,1498,1448,1391,1499,1352,1418,1753,1900,1852,1748
37063001604,1522,1686,1434,1359,1225,1123,1073,1013,1062,1163
37063001705,885,710,1076,1097,922,1073,964,1366,1226,1149
37063001706,741,829,869,842,847,941,1060,1040,986,940
37063001707,1217,1198,1182,1085,976,1128,1592,1666,1860,2004
37063001708,1094,1652,1611,1871,1577,1590,1433,1208,996,1140
37063001709,1891,2095,2054,2437,2434,1832,1823,1793,1899,2185
37063001710,1391,1191,1305,1313,1346,1554,1440,1382,1381,1372
37063001711,1139,1236,1172,1160,1035,947,779,1007,1017,1098
37063001801,1962,2363,1993,2002,2202,2239,2181,2175,2081,1908
37063001802,2111,1829,2240,2546,2297,2385,2671,2148,2158,2278
37063001806,1564,1524,1530,1616,2398,2377,2055,1929,2061,1498
37063001807,2731,2661,2500,2613,2504,2764,3075,2863,3287,3175
37063001808,1212,1805,1836,1944,2312,2583,2356,2481,2548,2380
37063001809,1133,1416,1168,1545,1592,1473,1330,1560,772,1947
37063001900,573,489,496,517,559,463,488,481,416,447
37063002007,936,884,934,906,803,865,845,911,962,1004
37063002008,730,665,682,692,718,765,992,999,974,981
37063002009,1130,823,958,952,1130,1264,1431,1174,884,1093
37063002013,1092,989,973,907,916,962,1005,917,978,830
37063002015,1083,1127,1217,1587,1595,1470,1114,1300,1175,1123
37063002016,1126,1297,1369,1444,1134,1166,1114,1123,916,1218
37063002017,1488,1471,1444,1559,1572,1559,1374,1500,1516,1472
37063002018,1205,1174,1225,1284,1226,1396,1931,1959,1923,2192
37063002019,624,657,635,561,540,579,478,532,593,608
37063002020,1689,2004,2018,1754,1705,1805,2400,2351,2673,2545
37063002021,888,908,964,542,982,646,1065,1233,1244,1050
37063002022,798,871,924,912,1036,973,783,729,964,1001
37063002023,505,530,560,478,511,517,532,571,545,515
37063002024,1146,1108,1076,1192,1110,1099,980,1071,1223,1256
37063002025,1509,1714,1915,1812,1921,1627,1693,1789,1733,1680
37063002026,1353,1576,1648,1626,2040,1952,2444,2708,2191,2288
37063002027,1531,1927,2097,2017,2093,1982,1636,1439,1572,1637
37063002028,1101,1286,1421,1396,1279,1281,1323,1186,1373,1468
37063002100,1341,1337,1220,1124,1080,935,930,1024,1150,996
37063002200,250,190,274,328,171,171,107,159,108,149
37063002300,234,310,342,248,427,361,334,308,352,338
37063980100,1,0,0,0,0,0,0,0,0,0
