id,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
37063000101,17,17,35,16,26,33,21,36,16,24
37063000102,17,25,26,24,30,39,36,27,14,37
37063000200,14,32,26,21,26,20,27,28,8,11
37063000301,17,14,18,10,27,24,41,20,24,33
37063000302,19,64,19,7,14,15,15,16,9,13
37063000401,3,13,10,11,4,9,191,42,10,5
37063000402,10,10,23,4,6,9,29,18,6,6
37063000500,58,145,42,39,63,49,24,28,26,26
37063000600,20,54,43,57,28,29,27,46,39,41
37063000700,7,28,18,22,14,9,20,27,20,13
37063000900,157,69,63,55,85,59,40,54,22,19
37063001001,288,529,124,72,69,80,48,67,41,38
37063001002,61,222,122,92,101,169,127,87,68,52
37063001100,457,137,64,86,59,49,51,41,30,30
37063001301,106,297,87,64,62,110,80,49,33,49
37063001303,46,94,69,44,35,62,95,77,29,17
37063001304,16,12,159,27,16,19,28,39,23,27
37063001400,355,69,47,37,59,31,33,30,398,23
37063001501,0,0,0,0,0,0,0,0,0,0
37063001502,9,3,14,13,12,13,13,14,11,17
37063001503,0,0,1,1,0,0,0,0,0,0
37063001601,4,3,4,7,0,2,7,5,4,4
37063001603,1,3,7,3,3,3,4,2,3,1
37063001604,1,1,3,0,2,1,2,1,1,1
37063001705,7,12,14,16,16,20,21,20,10,10
37063001706,4,7,8,9,6,5,12,7,7,7
37063001707,3,5,2,1,3,5,8,7,2,5
37063001708,6,10,14,26,41,23,35,88,19,15
37063001709,44,27,43,36,33,48,32,38,26,38
37063001710,7,21,18,20,33,26,20,25,21,18
37063001711,13,16,14,17,21,37,12,32,34,18
37063001801,9,13,15,7,23,18,32,15,9,14
37063001802,57,36,85,110,107,56,83,87,36,25
37063001806,3,1,0,4,3,4,6,4,0,1
37063001807,8,11,10,11,10,9,17,8,10,8
37063001808,2,1,1,2,4,1,2,5,2,4
37063001809,3,13,8,4,7,3,8,5,6,7
37063001900,0,0,0,0,0,0,0,0,1,0
37063002007,2,6,8,12,6,2,13,9,6,4
37063002008,1,0,3,1,0,4,0,1,1,0
37063002009,144,52,55,50,45,42,45,92,40,28
37063002013,4,7,6,3,3,1,5,12,19,11
37063002015,8,12,12,11,15,4,7,13,14,22
37063002016,20,10,8,20,13,19,28,16,30,29
37063002017,2,0,2,3,5,5,7,15,6,4
37063002018,7,7,8,6,4,11,4,3,7,7
37063002019,1,0,0,1,3,1,1,3,3,1
37063002020,0,1,0,1,2,3,1,1,0,2
37063002021,0,0,4,1,6,0,4,2,11,2
37063002022,2,2,4,4,3,3,3,5,6,5
37063002023,0,6,5,1,4,0,4,2,2,3
37063002024,5,30,6,6,15,3,12,4,6,4
37063002025,9,5,11,13,7,10,6,9,25,13
37063002026,22,8,26,21,20,21,43,9,18,21
37063002027,13,6,12,19,13,21,18,34,23,32
37063002028,2,0,3,5,3,3,4,8,8,8
37063002100,0,0,2,1,0,1,1,0,0,1
37063002200,11,36,20,21,27,7,25,36,9,12
37063002300,27,152,46,24,78,21,17,12,26,16
37063980100,0,0,0,0,0,0,0,0,1,1
