"id","y_2010","y_2011","y_2012","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018"
"37063000101",87,153,54,48,85,89,91,129,200
"37063000102",321,281,284,283,343,354,491,493,339
"37063000200",168,158,151,89,70,89,80,37,49
"37063000301",78,72,70,112,143,145,166,162,169
"37063000302",126,109,98,63,54,54,74,84,67
"37063000401",75,98,62,56,48,30,23,43,73
"37063000402",31,34,62,95,85,109,144,137,139
"37063000500",47,24,91,93,90,200,198,180,217
"37063000600",282,289,268,249,286,272,286,184,189
"37063000700",75,157,178,110,110,138,75,64,126
"37063000900",61,71,75,107,87,85,73,107,92
"37063001001",103,87,48,104,159,159,170,229,203
"37063001002",196,133,132,133,158,279,272,228,218
"37063001100",121,113,138,154,105,80,117,84,70
"37063001301",48,56,66,65,57,62,46,19,66
"37063001303",172,139,177,183,158,185,240,267,278
"37063001304",73,55,88,102,94,77,133,86,94
"37063001400",151,159,160,141,118,101,122,146,166
"37063001501",57,64,94,72,58,76,61,39,63
"37063001502",417,286,276,260,217,232,264,268,210
"37063001503",0,72,35,30,21,26,17,19,21
"37063001601",161,182,225,214,154,187,237,219,201
"37063001603",252,214,186,255,317,389,325,313,283
"37063001604",162,225,267,277,233,335,312,341,281
"37063001705",261,219,199,181,240,191,185,231,267
"37063001706",242,192,137,131,56,45,270,276,343
"37063001707",316,347,339,342,258,309,317,352,343
"37063001708",73,136,106,146,179,200,168,169,220
"37063001709",222,275,323,281,269,306,249,186,187
"37063001710",196,233,357,344,360,273,229,203,299
"37063001711",288,259,252,283,282,282,324,320,298
"37063001801",188,173,200,247,291,306,349,421,478
"37063001802",181,199,318,278,232,264,316,248,312
"37063001806",209,204,145,205,166,146,170,409,354
"37063001807",331,468,478,468,467,337,346,327,448
"37063001808",201,128,173,196,213,260,421,432,438
"37063001809",210,240,237,296,228,167,135,105,93
"37063001900",138,108,206,244,259,299,276,167,166
"37063002007",201,181,114,85,117,157,184,171,185
"37063002008",82,33,42,61,65,67,89,105,74
"37063002009",155,185,187,134,159,205,201,242,296
"37063002013",199,222,197,206,249,240,214,271,245
"37063002015",224,301,385,304,265,346,357,243,168
"37063002016",217,263,367,403,290,254,278,222,287
"37063002017",163,202,229,230,274,275,233,221,167
"37063002018",522,496,454,389,402,450,459,492,459
"37063002019",162,194,146,220,206,181,172,163,87
"37063002020",357,372,284,318,313,282,181,202,122
"37063002021",224,290,271,251,280,285,273,173,138
"37063002022",188,214,237,231,181,197,169,232,271
"37063002023",152,124,154,178,135,167,192,130,116
"37063002024",231,200,96,90,83,106,173,171,186
"37063002025",227,210,126,168,186,162,215,246,240
"37063002026",237,307,326,308,309,438,446,508,444
"37063002027",424,395,351,366,332,350,486,539,453
"37063002028",309,180,138,158,97,108,235,259,431
"37063002100",87,115,200,189,207,258,239,120,159
"37063002200",50,37,60,83,81,79,110,125,115
"37063002300",42,60,16,53,43,39,51,40,68
"37063980100",0,0,0,0,0,0,0,0,0
