id,y_2015,y_2017
37063000101,48,50
37063000102,38,32
37063000200,31,37
37063000301,29,21
37063000302,13,8
37063000401,6,3
37063000402,0,0
37063000500,43,39
37063000600,37,33
37063000700,42,42
37063000900,50,42
37063001001,79,83
37063001002,92,82
37063001100,78,71
37063001301,31,24
37063001303,63,52
37063001304,76,64
37063001400,67,54
37063001501,0,0
37063001502,65,43
37063001503,,
37063001601,48,48
37063001603,20,19
37063001604,27,27
37063001705,23,20
37063001706,11,10
37063001707,12,11
37063001708,85,82
37063001709,114,119
37063001710,39,33
37063001711,35,33
37063001801,80,83
37063001802,97,90
37063001806,32,37
37063001807,78,72
37063001808,19,27
37063001809,17,18
37063001900,4,6
37063002007,44,38
37063002008,5,6
37063002009,143,122
37063002013,20,20
37063002015,22,17
37063002016,8,9
37063002017,13,13
37063002018,20,14
37063002019,4,0
37063002020,22,16
37063002021,19,19
37063002022,27,26
37063002023,13,12
37063002024,23,19
37063002025,58,51
37063002026,101,87
37063002027,51,50
37063002028,12,12
37063002100,26,23
37063002200,14,11
37063002300,30,28
37063980100,,
