id,y_2015,y_2017
37063000101,26,22
37063000102,48,30
37063000200,22,25
37063000301,8,9
37063000302,20,18
37063000401,41,33
37063000402,19,13
37063000500,11,12
37063000600,41,32
37063000700,28,27
37063000900,0,0
37063001001,11,10
37063001002,20,18
37063001100,8,10
37063001301,0,3
37063001303,0,0
37063001304,0,3
37063001400,0,0
37063001501,0,0
37063001502,12,11
37063001503,,
37063001601,120,98
37063001603,132,122
37063001604,124,119
37063001705,111,97
37063001706,49,43
37063001707,191,182
37063001708,24,23
37063001709,32,29
37063001710,44,37
37063001711,28,32
37063001801,91,76
37063001802,28,23
37063001806,85,72
37063001807,57,51
37063001808,81,69
37063001809,78,73
37063001900,72,80
37063002007,87,78
37063002008,66,49
37063002009,0,0
37063002013,37,30
37063002015,67,62
37063002016,24,21
37063002017,107,94
37063002018,84,81
37063002019,24,24
37063002020,39,41
37063002021,31,25
37063002022,33,29
37063002023,19,9
37063002024,49,45
37063002025,19,19
37063002026,6,3
37063002027,50,46
37063002028,31,28
37063002100,144,122
37063002200,6,6
37063002300,0,0
37063980100,0,0
