id,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019
37063000101,159,178,156,117,111,105,89,83
37063000102,334,386,459,404,296,401,343,291
37063000200,252,284,278,264,288,159,254,185
37063000301,244,188,135,166,151,147,184,145
37063000302,168,181,146,155,133,95,91,90
37063000401,65,69,31,33,27,27,18,32
37063000402,48,35,20,28,28,30,23,47
37063000500,185,226,147,166,157,137,135,176
37063000600,322,382,375,364,394,307,364,218
37063000700,95,82,86,67,85,101,131,83
37063000900,174,179,189,169,141,180,134,149
37063001001,278,297,265,257,266,202,178,221
37063001002,516,457,457,413,417,324,348,363
37063001100,260,342,264,261,310,227,178,216
37063001301,124,113,135,118,105,136,119,120
37063001303,96,100,106,96,106,94,109,121
37063001304,237,257,220,129,205,151,198,229
37063001400,308,375,385,351,496,393,345,407
37063001501,1,0,0,0,0,0,0,0
37063001502,529,494,500,369,374,385,334,360
37063001601,40,43,26,36,41,24,30,25
37063001603,33,16,13,25,28,23,17,18
37063001604,18,21,10,10,12,10,18,17
37063001705,127,156,95,87,75,99,148,176
37063001706,334,338,344,406,423,283,232,179
37063001707,45,71,42,39,22,34,30,23
37063001708,200,231,223,153,150,131,176,116
37063001709,570,615,586,563,504,461,401,556
37063001710,379,312,253,178,343,256,164,151
37063001711,524,459,478,490,501,437,481,485
37063001801,101,75,56,116,136,101,93,77
37063001802,300,282,267,257,291,278,219,199
37063001806,53,38,38,50,33,40,37,37
37063001807,345,341,288,238,271,169,105,107
37063001808,33,69,78,69,83,69,69,95
37063001809,261,267,340,205,229,225,304,327
37063001900,2,4,6,1,4,7,7,8
37063002007,96,63,67,62,96,83,53,61
37063002008,1,3,13,17,9,4,5,10
37063002009,162,153,136,122,91,95,92,94
37063002013,48,71,39,36,33,30,18,19
37063002015,501,410,444,335,351,270,217,225
37063002016,611,508,474,470,465,412,445,533
37063002017,42,47,66,101,130,118,144,103
37063002018,344,382,289,297,268,178,232,245
37063002019,61,77,77,50,73,46,51,63
37063002020,3,4,11,10,7,12,11,18
37063002021,110,118,124,92,92,146,179,127
37063002022,171,178,163,137,128,87,100,144
37063002023,166,156,142,147,126,80,104,129
37063002024,139,89,98,64,54,42,53,23
37063002025,261,176,134,161,171,144,180,108
37063002026,364,508,544,462,407,320,325,438
37063002027,472,429,461,409,331,402,446,504
37063002028,346,337,303,257,271,299,401,425
37063002100,29,30,23,13,8,16,20,18
37063002200,65,79,61,73,48,52,56,48
37063002300,104,132,104,92,114,71,90,86
37063980100,5,9,16,19,10,19,7,1
