"id","y_2011","y_2012","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018"
37063000101,266,284,314,281,303,248,297,276
37063000102,507,555,589,644,615,627,735,714
37063000200,517,504,498,383,309,295,354,318
37063000301,271,340,354,426,414,429,398,410
37063000302,600,544,548,416,379,397,366,313
37063000401,168,190,270,226,189,168,108,67
37063000402,409,398,445,392,397,425,456,546
37063000500,658,523,597,627,684,710,813,702
37063000600,333,506,580,605,682,851,773,827
37063000700,335,411,365,438,431,361,450,471
37063000900,299,325,368,352,369,354,357,275
37063001001,566,592,545,478,465,448,582,662
37063001002,753,876,832,864,912,851,981,1133
37063001100,457,441,432,527,449,485,481,506
37063001301,216,202,218,208,168,212,181,203
37063001303,153,158,134,208,218,281,340,363
37063001304,347,382,386,389,442,482,565,539
37063001400,392,409,443,436,377,304,386,400
37063001501,20,25,33,39,22,26,22,29
37063001502,921,1067,1160,1392,1523,1635,1794,1863
37063001503,0,0,0,0,0,0,0,0
37063001601,131,169,141,123,27,77,57,79
37063001603,29,26,24,54,27,61,156,168
37063001604,103,104,110,81,92,66,40,41
37063001705,469,464,449,429,473,517,583,485
37063001706,519,426,518,612,562,516,576,570
37063001707,266,333,356,400,355,346,348,343
37063001708,250,256,289,303,270,204,240,251
37063001709,897,1036,1098,1186,1174,1195,1265,1161
37063001710,466,419,406,483,518,437,524,490
37063001711,571,665,714,713,802,850,773,830
37063001801,260,284,220,162,243,226,236,288
37063001802,517,488,383,361,368,511,677,789
37063001806,79,137,212,199,233,222,343,317
37063001807,311,281,303,330,340,352,371,300
37063001808,0,32,46,55,65,101,127,121
37063001809,615,626,665,603,587,555,811,904
37063001900,22,17,10,14,22,33,51,97
37063002007,168,152,162,141,151,142,225,197
37063002008,12,40,38,54,61,52,45,19
37063002009,288,347,320,300,266,337,371,441
37063002013,222,254,180,231,163,174,195,196
37063002015,1019,1031,827,917,852,928,1115,1125
37063002016,982,852,927,1045,1023,1164,1331,1207
37063002017,535,644,692,778,830,907,817,793
37063002018,746,654,628,679,754,691,837,872
37063002019,527,618,549,586,523,396,455,463
37063002020,31,47,51,40,84,60,76,96
37063002021,757,822,827,697,621,548,479,548
37063002022,815,737,752,635,620,403,508,526
37063002023,236,235,274,268,303,255,243,282
37063002024,198,177,145,210,296,228,325,293
37063002025,207,259,307,195,158,209,266,249
37063002026,658,708,722,760,798,826,1070,963
37063002027,1031,968,805,952,1124,1375,1579,1721
37063002028,496,429,379,403,486,550,647,886
37063002100,85,147,105,142,156,160,135,211
37063002200,296,240,259,263,243,198,314,322
37063002300,148,201,198,205,176,152,179,159
37063980100,0,0,0,0,0,0,0,0
