fips,year,value
37063000101,2012,17
37063000101,2013,17
37063000101,2014,35
37063000101,2015,16
37063000101,2016,26
37063000101,2017,33
37063000101,2018,21
37063000101,2019,36
37063000101,2020,16
37063000101,2021,24
37063000101,2022,15
37063000102,2012,17
37063000102,2013,25
37063000102,2014,26
37063000102,2015,24
37063000102,2016,30
37063000102,2017,39
37063000102,2018,36
37063000102,2019,27
37063000102,2020,14
37063000102,2021,37
37063000102,2022,43
37063000200,2012,14
37063000200,2013,32
37063000200,2014,26
37063000200,2015,21
37063000200,2016,26
37063000200,2017,20
37063000200,2018,27
37063000200,2019,28
37063000200,2020,8
37063000200,2021,11
37063000200,2022,12
37063000301,2012,17
37063000301,2013,14
37063000301,2014,18
37063000301,2015,10
37063000301,2016,27
37063000301,2017,24
37063000301,2018,41
37063000301,2019,20
37063000301,2020,24
37063000301,2021,33
37063000301,2022,6
37063000302,2012,19
37063000302,2013,64
37063000302,2014,19
37063000302,2015,7
37063000302,2016,14
37063000302,2017,15
37063000302,2018,15
37063000302,2019,16
37063000302,2020,9
37063000302,2021,13
37063000302,2022,8
37063000401,2012,3
37063000401,2013,13
37063000401,2014,10
37063000401,2015,11
37063000401,2016,4
37063000401,2017,9
37063000401,2018,191
37063000401,2019,42
37063000401,2020,10
37063000401,2021,5
37063000401,2022,4
37063000402,2012,10
37063000402,2013,10
37063000402,2014,23
37063000402,2015,4
37063000402,2016,6
37063000402,2017,9
37063000402,2018,29
37063000402,2019,18
37063000402,2020,6
37063000402,2021,6
37063000402,2022,8
37063000500,2012,58
37063000500,2013,145
37063000500,2014,42
37063000500,2015,39
37063000500,2016,63
37063000500,2017,49
37063000500,2018,24
37063000500,2019,28
37063000500,2020,26
37063000500,2021,26
37063000500,2022,44
37063000600,2012,20
37063000600,2013,54
37063000600,2014,43
37063000600,2015,57
37063000600,2016,28
37063000600,2017,29
37063000600,2018,27
37063000600,2019,46
37063000600,2020,39
37063000600,2021,41
37063000600,2022,37
37063000700,2012,7
37063000700,2013,28
37063000700,2014,18
37063000700,2015,22
37063000700,2016,14
37063000700,2017,9
37063000700,2018,20
37063000700,2019,27
37063000700,2020,20
37063000700,2021,13
37063000700,2022,10
37063000900,2012,157
37063000900,2013,69
37063000900,2014,63
37063000900,2015,55
37063000900,2016,85
37063000900,2017,59
37063000900,2018,40
37063000900,2019,54
37063000900,2020,22
37063000900,2021,19
37063000900,2022,25
37063001001,2012,288
37063001001,2013,529
37063001001,2014,124
37063001001,2015,72
37063001001,2016,69
37063001001,2017,80
37063001001,2018,48
37063001001,2019,67
37063001001,2020,41
37063001001,2021,38
37063001001,2022,42
37063001002,2012,61
37063001002,2013,222
37063001002,2014,122
37063001002,2015,92
37063001002,2016,101
37063001002,2017,169
37063001002,2018,127
37063001002,2019,87
37063001002,2020,68
37063001002,2021,52
37063001002,2022,79
37063001100,2012,457
37063001100,2013,137
37063001100,2014,64
37063001100,2015,86
37063001100,2016,59
37063001100,2017,49
37063001100,2018,51
37063001100,2019,41
37063001100,2020,30
37063001100,2021,30
37063001100,2022,37
37063001301,2012,106
37063001301,2013,297
37063001301,2014,87
37063001301,2015,64
37063001301,2016,62
37063001301,2017,110
37063001301,2018,80
37063001301,2019,49
37063001301,2020,33
37063001301,2021,49
37063001301,2022,39
37063001303,2012,46
37063001303,2013,94
37063001303,2014,69
37063001303,2015,44
37063001303,2016,35
37063001303,2017,62
37063001303,2018,95
37063001303,2019,77
37063001303,2020,29
37063001303,2021,17
37063001303,2022,19
37063001304,2012,16
37063001304,2013,12
37063001304,2014,159
37063001304,2015,27
37063001304,2016,16
37063001304,2017,19
37063001304,2018,28
37063001304,2019,39
37063001304,2020,23
37063001304,2021,27
37063001304,2022,24
37063001400,2012,355
37063001400,2013,69
37063001400,2014,47
37063001400,2015,37
37063001400,2016,59
37063001400,2017,31
37063001400,2018,33
37063001400,2019,30
37063001400,2020,398
37063001400,2021,23
37063001400,2022,33
37063001501,2012,0
37063001501,2013,0
37063001501,2014,0
37063001501,2015,0
37063001501,2016,0
