year,fips,value
2018,37063000101,0
2019,37063000101,0
2018,37063000102,0
2019,37063000102,0
2018,37063000200,0
2019,37063000200,0
2018,37063000301,0
2019,37063000301,0
2018,37063000302,0
2019,37063000302,0
2018,37063000401,0
2019,37063000401,0
2018,37063000402,0
2019,37063000402,0
2018,37063000500,0
2019,37063000500,0
2018,37063000600,0
2019,37063000600,0
2018,37063000700,0
2019,37063000700,0
2018,37063000900,0
2019,37063000900,0
2018,37063001001,0
2019,37063001001,0
2018,37063001002,0
2019,37063001002,0
2018,37063001100,0
2019,37063001100,0
2018,37063001301,0
2019,37063001301,0
2018,37063001303,0
2019,37063001303,0
2018,37063001304,0
2019,37063001304,0
2018,37063001400,0
2019,37063001400,0
2018,37063001501,0
2019,37063001501,0
2018,37063001502,0
2019,37063001502,0
2018,37063001503,0
2019,37063001503,0
2018,37063001601,0
2019,37063001601,0
2018,37063001603,5
2019,37063001603,0
2018,37063001604,0
2019,37063001604,0
2018,37063001705,0
2019,37063001705,3
2018,37063001706,0
2019,37063001706,0
2018,37063001707,0
2019,37063001707,0
2018,37063001708,0
2019,37063001708,0
2018,37063001709,0
2019,37063001709,0
2018,37063001710,3
2019,37063001710,5
2018,37063001711,0
2019,37063001711,0
2018,37063001801,0
2019,37063001801,0
2018,37063001802,0
2019,37063001802,0
2018,37063001806,0
2019,37063001806,0
2018,37063001807,0
2019,37063001807,3
2018,37063001808,6
2019,37063001808,5
2018,37063001809,0
2019,37063001809,0
2018,37063001900,3
2019,37063001900,3
2018,37063002007,0
2019,37063002007,0
2018,37063002008,0
2019,37063002008,0
2018,37063002009,0
2019,37063002009,0
2018,37063002013,0
2019,37063002013,0
2018,37063002015,5
2019,37063002015,3
2018,37063002016,0
2019,37063002016,0
2018,37063002017,4
2019,37063002017,4
2018,37063002018,5
2019,37063002018,6
2018,37063002019,0
2019,37063002019,0
2018,37063002020,5
2019,37063002020,5
2018,37063002021,5
2019,37063002021,3
2018,37063002022,4
2019,37063002022,3
2018,37063002023,0
2019,37063002023,0
2018,37063002024,3
2019,37063002024,6
2018,37063002025,4
2019,37063002025,0
2018,37063002026,0
2019,37063002026,3
2018,37063002027,0
2019,37063002027,0
2018,37063002028,0
2019,37063002028,0
2018,37063002100,0
2019,37063002100,0
2018,37063002200,0
2019,37063002200,0
2018,37063002300,0
2019,37063002300,0
2018,37063980100,0
2019,37063980100,0
2015,37063000101,0
2015,37063000102,0
2015,37063000200,0
2015,37063000301,0
2015,37063000302,0
2015,37063000401,0
2015,37063000402,0
2015,37063000500,0
2015,37063000600,0
2015,37063000700,0
2015,37063000900,
2015,37063001001,
2015,37063001002,0
2015,37063001100,
2015,37063001301,
2015,37063001303,
2015,37063001304,
2015,37063001400,
2015,37063001501,0
2015,37063001502,0
2015,37063001503,
2015,37063001601,0
2015,37063001603,0
2015,37063001604,0
2015,37063001705,0
2015,37063001706,0
2015,37063001707,0
2015,37063001708,0
2015,37063001709,0
2015,37063001710,0
2015,37063001711,0
2015,37063001801,0
2015,37063001802,0
2015,37063001806,0
2015,37063001807,0
2015,37063001808,3
2015,37063001809,0
2015,37063001900,0
2015,37063002007,0
2015,37063002008,0
2015,37063002009,
2015,37063002013,3
2015,37063002015,5
2015,37063002016,0
2015,37063002017,5
2015,37063002018,3
2015,37063002019,0
2015,37063002020,5
2015,37063002021,0
2015,37063002022,5
2015,37063002023,0
2015,37063002024,3
2015,37063002025,4
2015,37063002026,0
2015,37063002027,0
2015,37063002028,0
2015,37063002100,0
2015,37063002200,0
2015,37063002300,
2015,37063980100,
2017,37063000101,0
2017,37063000102,0
2017,37063000200,0
2017,37063000301,0
2017,37063000302,0
2017,37063000401,0
2017,37063000402,0
2017,37063000500,0
2017,37063000600,0
2017,37063000700,0
2017,37063000900,
2017,37063001001,0
2017,37063001002,0
2017,37063001100,0
2017,37063001301,
2017,37063001303,
2017,37063001304,
2017,37063001400,
2017,37063001501,0
2017,37063001502,0
2017,37063001503,
2017,37063001601,0
2017,37063001603,4
2017,37063001604,0
2017,37063001705,0
2017,37063001706,0
2017,37063001707,0
2017,37063001708,0
2017,37063001709,0
2017,37063001710,3
2017,37063001711,0
2017,37063001801,0
2017,37063001802,0
2017,37063001806,0
2017,37063001807,0
2017,37063001808,6
2017,37063001809,0
2017,37063001900,0
2017,37063002007,0
2017,37063002008,0
2017,37063002009,
2017,37063002013,0
2017,37063002015,5
2017,37063002016,0
2017,37063002017,4
2017,37063002018,4
2017,37063002019,0
2017,37063002020,6
2017,37063002021,5
2017,37063002022,5
2017,37063002023,0
2017,37063002024,3
2017,37063002025,5
2017,37063002026,3
2017,37063002027,0
2017,37063002028,3
2017,37063002100,0
2017,37063002200,0
2017,37063002300,0
2017,37063980100,
