year,fips,value
2018,37063000101,947
2019,37063000101,1085
2018,37063000102,733
2019,37063000102,918
2018,37063000200,572
2019,37063000200,626
2018,37063000301,403
2019,37063000301,513
2018,37063000302,276
2019,37063000302,330
2018,37063000401,103
2019,37063000401,131
2018,37063000402,104
2019,37063000402,115
2018,37063000500,820
2019,37063000500,1005
2018,37063000600,785
2019,37063000600,877
2018,37063000700,590
2019,37063000700,633
2018,37063000900,661
2019,37063000900,692
2018,37063001001,1414
2019,37063001001,1577
2018,37063001002,1615
2019,37063001002,2053
2018,37063001100,1280
2019,37063001100,1517
2018,37063001301,625
2019,37063001301,784
2018,37063001303,1001
2019,37063001303,1103
2018,37063001304,1229
2019,37063001304,1400
2018,37063001400,914
2019,37063001400,1183
2018,37063001501,14
2019,37063001501,16
2018,37063001502,998
2019,37063001502,1188
2018,37063001503,0
2019,37063001503,0
2018,37063001601,971
2019,37063001601,1136
2018,37063001603,768
2019,37063001603,878
2018,37063001604,613
2019,37063001604,691
2018,37063001705,777
2019,37063001705,939
2018,37063001706,611
2019,37063001706,737
2018,37063001707,344
2019,37063001707,435
2018,37063001708,1905
2019,37063001708,2213
2018,37063001709,2566
2019,37063001709,3020
2018,37063001710,1125
2019,37063001710,1302
2018,37063001711,1116
2019,37063001711,1390
2018,37063001801,2225
2019,37063001801,2611
2018,37063001802,2339
2019,37063001802,2608
2018,37063001806,1476
2019,37063001806,1723
2018,37063001807,2949
2019,37063001807,3501
2018,37063001808,1698
2019,37063001808,2161
2018,37063001809,1019
2019,37063001809,1354
2018,37063001900,164
2019,37063001900,247
2018,37063002007,887
2019,37063002007,1004
2018,37063002008,111
2019,37063002008,115
2018,37063002009,2343
2019,37063002009,2590
2018,37063002013,636
2019,37063002013,706
2018,37063002015,765
2019,37063002015,884
2018,37063002016,860
2019,37063002016,1081
2018,37063002017,401
2019,37063002017,448
2018,37063002018,545
2019,37063002018,773
2018,37063002019,141
2019,37063002019,212
2018,37063002020,763
2019,37063002020,904
2018,37063002021,592
2019,37063002021,749
2018,37063002022,778
2019,37063002022,906
2018,37063002023,289
2019,37063002023,402
2018,37063002024,634
2019,37063002024,743
2018,37063002025,1437
2019,37063002025,1700
2018,37063002026,2098
2019,37063002026,2344
2018,37063002027,1705
2019,37063002027,2225
2018,37063002028,1090
2019,37063002028,1566
2018,37063002100,588
2019,37063002100,698
2018,37063002200,622
2019,37063002200,501
2018,37063002300,458
2019,37063002300,694
2018,37063980100,3
2019,37063980100,9
