year,fips,value
2015,37063000101,1152
2017,37063000101,1201
2018,37063000101,1080
2019,37063000101,1271
2015,37063000102,1496
2017,37063000102,1504
2018,37063000102,1318
2019,37063000102,1595
2015,37063000200,1117
2017,37063000200,1132
2018,37063000200,971
2019,37063000200,1116
2015,37063000301,966
2017,37063000301,890
2019,37063000301,892
2015,37063000302,1360
2019,37063000302,1274
2015,37063000401,1052
2017,37063000401,1052
2018,37063000401,939
2019,37063000401,1067
2015,37063000402,831
2019,37063000402,1092
2015,37063000500,1310
2017,37063000500,1213
2018,37063000500,1011
2019,37063000500,1237
2015,37063000600,2031
2017,37063000600,2053
2018,37063000600,1726
2019,37063000600,1986
2015,37063000700,1172
2017,37063000700,1243
2018,37063000700,1138
2019,37063000700,1280
2015,37063000900,667
2017,37063000900,673
2018,37063000900,569
2019,37063000900,631
2015,37063001001,1328
2017,37063001001,1409
2018,37063001001,1239
2019,37063001001,1451
2015,37063001002,2151
2017,37063001002,2049
2018,37063001002,1763
2019,37063001002,2118
2015,37063001100,1305
2017,37063001100,1381
2018,37063001100,1028
2019,37063001100,1208
2015,37063001301,504
2017,37063001301,514
2018,37063001301,436
2019,37063001301,572
2015,37063001303,786
2017,37063001303,781
2018,37063001303,664
2019,37063001303,782
2015,37063001304,1071
2017,37063001304,1077
2018,37063001304,935
2019,37063001304,1085
2015,37063001400,966
2017,37063001400,930
2018,37063001400,667
2019,37063001400,887
2015,37063001502,2294
2017,37063001502,2541
2018,37063001502,2018
2019,37063001502,2611
2015,37063001601,2091
2017,37063001601,2256
2018,37063001601,2075
2019,37063001601,2440
2015,37063001603,2312
2017,37063001603,2537
2018,37063001603,2368
2019,37063001603,2741
2015,37063001604,2346
2017,37063001604,2486
2018,37063001604,2284
2019,37063001604,2614
2015,37063001705,1887
2017,37063001705,1978
2018,37063001705,1835
2019,37063001705,2136
2015,37063001706,1811
2017,37063001706,1865
2018,37063001706,1680
2019,37063001706,1954
2015,37063001707,2626
2017,37063001707,2845
2018,37063001707,2605
2019,37063001707,3049
2015,37063001708,1581
2017,37063001708,1715
2018,37063001708,1613
2019,37063001708,1913
2015,37063001709,2299
2017,37063001709,2446
2018,37063001709,2238
2019,37063001709,2702
2015,37063001710,1588
2017,37063001710,1603
2018,37063001710,1458
2019,37063001710,1770
2015,37063001711,1599
2017,37063001711,1643
2018,37063001711,1462
2019,37063001711,1908
2015,37063001801,2603
2017,37063001801,2899
2018,37063001801,2697
2019,37063001801,3090
2015,37063001802,2515
2017,37063001802,2563
2018,37063001802,2284
2019,37063001802,2640
2015,37063001806,1953
2017,37063001806,2106
2018,37063001806,1943
2019,37063001806,2297
2015,37063001807,3125
2017,37063001807,3332
2018,37063001807,3034
2019,37063001807,3664
2015,37063001808,2351
2017,37063001808,3012
2018,37063001808,2767
2019,37063001808,3371
2015,37063001809,1855
2017,37063001809,1985
2018,37063001809,1685
2019,37063001809,2202
2015,37063001900,1128
2017,37063001900,1481
2018,37063001900,1184
2019,37063001900,1717
2015,37063002007,1865
2017,37063002007,1948
2018,37063002007,1724
2019,37063002007,1973
2015,37063002008,1022
2017,37063002008,1085
2018,37063002008,982
2019,37063002008,1157
2015,37063002009,1843
2017,37063002009,1930
2018,37063002009,1728
2019,37063002009,1899
2015,37063002013,1431
2017,37063002013,1491
2018,37063002013,1304
2019,37063002013,1517
2015,37063002015,1864
2017,37063002015,1931
2018,37063002015,1683
2019,37063002015,1959
2015,37063002016,1665
2017,37063002016,1742
2018,37063002016,1510
2019,37063002016,1799
2015,37063002017,2707
2017,37063002017,2843
2018,37063002017,2566
2019,37063002017,2881
2015,37063002018,2547
2017,37063002018,2602
2018,37063002018,2332
2019,37063002018,2821
2015,37063002019,1003
2017,37063002019,1009
2018,37063002019,865
2019,37063002019,1101
2015,37063002020,1879
2017,37063002020,2202
2018,37063002020,1942
2019,37063002020,2390
2015,37063002021,1487
2017,37063002021,1478
2018,37063002021,1258
2019,37063002021,1503
2015,37063002022,1665
2017,37063002022,1593
2018,37063002022,1417
2019,37063002022,1604
2015,37063002023,962
2019,37063002023,974
2015,37063002024,2315
2017,37063002024,2458
2018,37063002024,2187
2019,37063002024,2519
2015,37063002025,2062
2017,37063002025,2115
2018,37063002025,1913
2019,37063002025,2180
2015,37063002026,2060
2017,37063002026,2111
2018,37063002026,1954
2019,37063002026,2255
2015,37063002027,2634
2017,37063002027,2882
2018,37063002027,2502
2019,37063002027,3374
2015,37063002028,2132
2017,37063002028,2499
2018,37063002028,2023
2019,37063002028,2739
2015,37063002100,2126
2017,37063002100,2346
2018,37063002100,2107
2019,37063002100,2555
2018,37063002200,784
2019,37063002200,966
2015,37063002300,418
2017,37063002300,476
2018,37063002300,371
2019,37063002300,682
