year,fips,value
2015,37063000101,39
2017,37063000101,40
2018,37063000101,34
2019,37063000101,45
2015,37063000102,62
2017,37063000102,42
2018,37063000102,37
2019,37063000102,48
2015,37063000200,30
2017,37063000200,32
2018,37063000200,25
2019,37063000200,24
2015,37063000301,18
2017,37063000301,16
2019,37063000301,11
2015,37063000302,14
2019,37063000302,12
2015,37063000401,25
2017,37063000401,23
2018,37063000401,16
2019,37063000401,22
2015,37063000402,12
2019,37063000402,12
2015,37063000500,35
2017,37063000500,36
2018,37063000500,33
2019,37063000500,43
2015,37063000600,40
2017,37063000600,37
2018,37063000600,27
2019,37063000600,33
2015,37063000700,37
2017,37063000700,36
2018,37063000700,31
2019,37063000700,34
2015,37063000900,31
2017,37063000900,26
2018,37063000900,18
2019,37063000900,26
2015,37063001001,55
2017,37063001001,54
2018,37063001001,44
2019,37063001001,51
2015,37063001002,73
2017,37063001002,59
2018,37063001002,44
2019,37063001002,66
2015,37063001100,47
2017,37063001100,42
2018,37063001100,34
2019,37063001100,39
2015,37063001301,15
2017,37063001301,13
2018,37063001301,11
2019,37063001301,24
2015,37063001303,39
2017,37063001303,28
2018,37063001303,21
2019,37063001303,31
2015,37063001304,46
2017,37063001304,42
2018,37063001304,38
2019,37063001304,46
2015,37063001400,42
2017,37063001400,31
2018,37063001400,22
2019,37063001400,25
2015,37063001502,43
2017,37063001502,34
2018,37063001502,34
2019,37063001502,40
2015,37063001601,89
2017,37063001601,78
2018,37063001601,72
2019,37063001601,86
2015,37063001603,79
2017,37063001603,73
2018,37063001603,74
2019,37063001603,87
2015,37063001604,84
2017,37063001604,81
2018,37063001604,74
2019,37063001604,81
2015,37063001705,84
2017,37063001705,73
2018,37063001705,64
2019,37063001705,77
2015,37063001706,36
2017,37063001706,29
2018,37063001706,24
2019,37063001706,33
2015,37063001707,101
2017,37063001707,95
2018,37063001707,85
2019,37063001707,97
2015,37063001708,63
2017,37063001708,60
2018,37063001708,56
2019,37063001708,63
2015,37063001709,89
2017,37063001709,85
2018,37063001709,79
2019,37063001709,105
2015,37063001710,46
2017,37063001710,40
2018,37063001710,40
2019,37063001710,44
2015,37063001711,36
2017,37063001711,39
2018,37063001711,26
2019,37063001711,43
2015,37063001801,106
2017,37063001801,101
2018,37063001801,87
2019,37063001801,115
2015,37063001802,81
2017,37063001802,69
2018,37063001802,60
2019,37063001802,69
2015,37063001806,56
2017,37063001806,49
2018,37063001806,45
2019,37063001806,63
2015,37063001807,72
2017,37063001807,67
2018,37063001807,62
2019,37063001807,86
2015,37063001808,60
2017,37063001808,53
2018,37063001808,50
2019,37063001808,58
2015,37063001809,49
2017,37063001809,47
2018,37063001809,41
2019,37063001809,46
2015,37063001900,41
2017,37063001900,41
2018,37063001900,35
2019,37063001900,53
2015,37063002007,71
2017,37063002007,60
2018,37063002007,48
2019,37063002007,53
2015,37063002008,33
2017,37063002008,24
2018,37063002008,22
2019,37063002008,29
2015,37063002009,83
2017,37063002009,80
2018,37063002009,71
2019,37063002009,75
2015,37063002013,29
2017,37063002013,25
2018,37063002013,24
2019,37063002013,28
2015,37063002015,54
2017,37063002015,50
2018,37063002015,45
2019,37063002015,51
2015,37063002016,23
2017,37063002016,24
2018,37063002016,21
2019,37063002016,30
2015,37063002017,65
2017,37063002017,56
2018,37063002017,50
2019,37063002017,76
2015,37063002018,54
2017,37063002018,47
2018,37063002018,36
2019,37063002018,64
2015,37063002019,13
2017,37063002019,12
2018,37063002019,12
2019,37063002019,20
2015,37063002020,34
2017,37063002020,37
2018,37063002020,29
2019,37063002020,41
2015,37063002021,33
2017,37063002021,32
2018,37063002021,26
2019,37063002021,35
2015,37063002022,38
2017,37063002022,37
2018,37063002022,32
2019,37063002022,37
2015,37063002023,20
2019,37063002023,13
2015,37063002024,36
2017,37063002024,31
2018,37063002024,28
2019,37063002024,31
2015,37063002025,50
2017,37063002025,46
2018,37063002025,39
2019,37063002025,47
2015,37063002026,64
2017,37063002026,53
2018,37063002026,49
2019,37063002026,63
2015,37063002027,62
2017,37063002027,59
2018,37063002027,58
2019,37063002027,65
2015,37063002028,24
2017,37063002028,19
2018,37063002028,15
2019,37063002028,30
2015,37063002100,81
2017,37063002100,64
2018,37063002100,55
2019,37063002100,81
2018,37063002200,11
2019,37063002200,13
2015,37063002300,14
2017,37063002300,16
2018,37063002300,12
2019,37063002300,15
